"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KAMX20100627_100610",3945.65,"2010","06","27",0.461786566,3916.2,1.872760303,45251.50719,9.848493654,24163,2.70588314,45247.77786,11.74314627,16722,1.474816008,29.45,0.027934246,675.031057,0.200649945,24165,0.114483283,665.8347724,0.396779217,5816
"KAMX20100627_101602",5296.43,"2010","06","27",0.460762237,5244.72,2.172776864,52505.15292,9.551977102,24165,3.042165443,52501.69122,11.18543865,17258,1.473203094,51.71,0.036374024,879.0510315,0.211520519,24167,0.145401545,869.9374428,0.406131772,5983
"KAMX20100627_102555",5320.72,"2010","06","27",0.46177061,5217.2,2.234029387,53987.55416,10.35806523,24166,3.171051144,53983.97468,12.2201385,17024,1.473862475,103.52,0.180467573,4360.818433,2.425152018,24164,0.675033178,4351.938899,4.659698352,6447
"KAMX20100627_103547",4263.56,"2010","06","27",0.459530168,4183.5,1.902346553,45970.20444,10.43604936,24165,3.485078733,45964.70341,13.92979576,13189,1.434667941,80.06,0.115937862,2801.986258,1.231091098,24168,0.529989433,2792.51432,2.594895924,5269
"KAMX20100627_104141",2514.35,"2010","06","27",0.460188,2449.81,1.116286209,26969.47481,8.395719273,24160,2.392246918,26963.01501,12.16758724,11271,1.428003102,64.54,0.085985381,2078.180682,0.888906416,24169,0.392842146,2068.70674,1.872602994,5266
"KAMX20100627_104735",1467.92,"2010","06","27",0.464218619,1413.48,0.85285813,20611.02243,8.549648129,24167,2.03979534,20603.97273,13.13298319,10101,1.427465198,54.44,0.08450071,2041.87516,1.06234484,24164,0.410140838,2032.247854,2.317580501,4955
"KAMX20100627_105329",719.07,"2010","06","27",0.466491131,649.82,0.498662817,12050.18697,5.37973915,24165,1.377697822,12042.45666,8.877263601,8741,1.424177167,69.25,0.101101689,2443.324511,3.85789432,24167,0.48097793,2433.748327,8.420968968,5060
"KAMX20100627_105922",437.1,"2010","06","27",0.467378168,348.97,0.440812506,10651.35257,4.571547245,24163,1.26092559,10643.47291,7.667847906,8441,1.42208896,88.13,0.128053255,3094.663005,4.558139078,24167,0.629208267,3085.008134,10.10494958,4903
"KAMX20100627_110517",374.12,"2010","06","27",0.465909009,349.23,0.533602465,12895.03717,7.882148969,24166,1.547070873,12887.10037,13.36733737,8330,1.431696151,24.89,0.037098221,896.4043178,0.241044308,24163,0.186394425,886.6782783,0.517126252,4757
"KAMX20100627_111110",317.23,"2010","06","27",0.464866424,290.13,0.419008664,10126.18239,5.753191818,24167,1.275116209,10118.04712,9.9862328,7935,1.427273254,27.1,0.037044033,895.0579216,0.240385018,24162,0.203477793,885.1284001,0.535944153,4350
"KAMX20100627_111703",293.36,"2010","06","27",0.464724544,260.56,0.325155062,7857.046908,4.05965205,24164,0.827502686,7849.690482,6.447419835,9486,1.471457113,32.8,0.045870196,1108.407419,0.290991941,24164,0.214705316,1098.861807,0.603057205,5118
"KAMX20100627_112655",321.78,"2010","06","27",0.462286901,292.64,0.341035871,8240.790797,3.671065514,24164,0.838623015,8233.600765,5.723089064,9818,1.473313429,29.14,0.036702337,886.9119754,0.23461455,24165,0.17765809,877.2756484,0.494403498,4938
"KAMX20100627_113647",331.51,"2010","06","27",0.463189777,306.69,0.416028962,10053.33986,5.94015027,24165,1.035359342,10046.09169,9.340316822,9703,1.473368618,24.82,0.035100943,848.2493831,0.82922634,24166,0.167361633,838.6491416,1.815087595,5011
"KAMX20100627_114640",344.95,"2010","06","27",0.46307589,306.88,0.389172051,9404.34261,4.694477535,24165,1.036028356,9396.777189,7.619042333,9070,1.473461869,38.07,0.044678877,1079.665056,0.240742242,24165,0.188715903,1070.3966,0.468868887,5672
"KAMX20100627_115631",402.52,"2010","06","27",0.462677679,303.47,0.429544338,10379.50938,8.051392779,24164,1.177010344,10371.81515,13.30016047,8812,1.473834079,99.05,0.103490895,2501.064467,2.346938826,24167,0.358212063,2492.439536,4.363715494,6958
"KAMX20100627_120624",383.91,"2010","06","27",0.463492651,253.69,0.31260352,7553.751464,3.051211389,24164,0.801865631,7546.357449,4.849105176,9411,1.473297203,130.22,0.128412711,3102.707933,0.715195004,24162,0.369704179,3094.793685,1.177888203,8371
"KAMX20100627_121616",461.34,"2010","06","27",0.463411969,311.88,0.441963036,10678.26891,7.904679305,24161,0.973069777,10671.65624,11.71095237,10967,1.47361446,149.46,0.146808156,3547.472278,0.550452972,24164,0.381672248,3540.010101,0.836609933,9275
"KAMX20100627_122607",490.71,"2010","06","27",0.462647798,326.81,0.404158285,9766.889125,4.194542848,24166,0.828862043,9760.679415,5.979588094,11776,1.474222478,163.9,0.159132939,3845.447465,0.792631694,24165,0.380340295,3838.394257,1.19181271,10092
"KAMX20100627_123559",803.23,"2010","06","27",0.462203894,602.97,0.708326601,17116.71231,9.538147132,24165,1.255056059,17111.43431,12.67147053,13634,1.474052521,200.26,0.184212764,4451.317224,0.531127494,24164,0.399746311,4444.779236,0.725966969,11119
"KAMX20100627_124552",1090.68,"2010","06","27",0.462019766,846.61,0.890994794,21530.8892,11.23677947,24165,1.404846159,21526.4577,14.08575547,15323,1.473053794,244.07,0.215719736,5213.083148,0.581538625,24166,0.435838214,5206.959141,0.766987052,11947
"KAMX20100627_125544",1439.23,"2010","06","27",0.461126113,1139.8,1.049925571,25366.2018,13.1208927,24160,1.552539209,25362.28051,15.93224402,16336,1.473659987,299.43,0.247673109,5984.52533,0.822102932,24163,0.468778994,5978.807285,1.084865541,12754
"KAMX20100628_100548",4076.99,"2010","06","28",0.460982927,4032.38,2.231361941,53916.39858,10.69810085,24163,3.556193034,53911.88639,13.33080506,15160,1.47271258,44.61,0.043895208,1060.815501,0.186392561,24167,0.144277347,1052.358968,0.317311785,7294
"KAMX20100628_101541",7409.49,"2010","06","28",0.461962958,7381.58,3.119328898,75375.46349,12.08568644,24164,4.51922962,75371.71161,14.32839976,16678,1.473088156,27.91,0.034446609,832.4023133,0.388533836,24165,0.137284766,823.2967437,0.770906627,5997
"KAMX20100628_102534",5744.83,"2010","06","28",0.457641162,5717.06,2.214354698,53516.52433,11.18838648,24168,3.6684529,53511.72246,14.21520796,14587,1.433631709,27.77,0.031656086,764.9376589,0.21584924,24164,0.152158514,755.314864,0.456678188,4964
"KAMX20100628_103128",4634.73,"2010","06","28",0.464206811,4594.85,1.922004239,46433.70041,15.5865767,24159,3.458347908,46428.32066,20.78190385,13425,1.423483839,39.88,0.066089389,1597.31444,2.878587538,24169,0.333316901,1587.5884,6.478064829,4763
"KAMX20100628_103723",3705.93,"2010","06","28",0.464009141,3693.19,1.591184881,38449.39146,16.13440434,24164,3.287424462,38443.14166,23.07293483,11694,1.435182498,12.74,0.020808861,502.7628809,0.111483907,24161,0.10836087,492.9335968,0.23786223,4549
"KAMX20100628_104316",2517.07,"2010","06","28",0.466337009,2501.25,1.226940827,29649.02509,11.46555317,24165,3.088644764,29641.7238,18.03555243,9597,1.429884971,15.82,0.020488461,495.1241543,0.112584156,24166,0.117086382,485.0888823,0.250368159,4143
"KAMX20100628_104910",1353.16,"2010","06","28",0.481552985,1320.43,0.789168436,19069.4661,9.920173437,24164,2.463964916,19061.23259,17.41526646,7736,1.424827647,32.73,0.036528463,882.7103047,0.491240962,24165,0.212738904,872.6549852,1.176643361,4102
"KAMX20100628_105506",646.73,"2010","06","28",0.464592239,629.38,0.582342838,14071.73235,7.976846362,24164,2.082174515,14063.00668,14.98509307,6754,1.42402509,17.35,0.024097618,582.2707477,0.175257021,24163,0.134814629,572.2881004,0.399991142,4245
"KAMX20100628_110100",287.24,"2010","06","28",0.467822651,270.34,0.440528381,10644.04675,7.821125136,24162,1.748600013,10634.98528,15.51622794,6082,1.426595507,16.9,0.024444041,590.6902516,0.245959686,24165,0.136381662,580.7131173,0.57287045,4258
"KAMX20100628_110654",176.09,"2010","06","28",0.466684372,161.81,0.367603464,8883.872923,5.378385607,24167,1.488302752,8874.74931,10.75097082,5963,1.425194336,14.28,0.020948618,506.2652616,0.09223446,24167,0.113218585,496.3502746,0.191055643,4384
"KAMX20100628_111247",330.51,"2010","06","28",0.467027836,314.65,0.681201464,16460.55217,12.74960652,24164,2.652620098,16451.54985,25.0634688,6202,1.42707765,15.86,0.02526797,610.6004878,0.164857664,24165,0.130579279,600.7952607,0.359257293,4601
"KAMX20100628_111843",258.79,"2010","06","28",0.468822909,241.48,0.528865992,12777.40235,8.529748687,24160,2.019048574,12768.46318,16.5825488,6324,1.423995466,17.31,0.02744287,663.019733,0.147193463,24160,0.136561189,653.3087291,0.307546908,4784
"KAMX20100628_112436",158.85,"2010","06","28",0.4665484,141.67,0.38499621,9303.048417,6.419490262,24164,1.536193374,9293.969911,12.76112949,6050,1.424749449,17.18,0.026918186,650.477969,0.208485688,24165,0.143568596,640.603077,0.467709507,4462
"KAMX20100628_113031",192.03,"2010","06","28",0.465529914,176.42,0.390118935,9428.004303,9.294519665,24167,1.592637155,9418.856133,18.73891551,5914,1.424336638,15.61,0.023419368,565.9290287,0.130018197,24165,0.12875914,555.9819657,0.284796149,4318
"KAMX20100628_113625",197.68,"2010","06","28",0.485076557,181.29,0.418350824,10107.77427,9.058728902,24161,1.675574206,10098.68574,18.08033686,6027,1.42741655,16.39,0.022500638,543.7054085,0.120759784,24164,0.121869845,533.7899203,0.261542441,4380
"KAMX20100628_114219",290.68,"2010","06","28",0.468083418,276.15,0.371488511,8975.905409,5.599159546,24162,1.476266041,8966.839934,11.094838,6074,1.424101249,14.53,0.020462007,494.4234647,0.125096887,24163,0.117652821,484.3766655,0.283683387,4117
"KAMX20100628_114815",536.51,"2010","06","28",0.463950368,484.69,0.864243431,20882.71401,18.01696467,24163,3.511706407,20873.58288,36.20012154,5944,1.423928323,51.82,0.29345894,7091.728733,8.652103903,24166,1.610602857,7081.820763,20.23317492,4397
"KAMX20100628_115409",253.62,"2010","06","28",0.46443877,203.47,0.575655776,13911.29747,9.262449527,24166,2.310103344,13902.20193,18.45395359,6018,1.434801496,50.15,0.178592563,4315.689287,4.011789228,24165,0.880218705,4306.029906,8.882417059,4892
"KAMX20100628_120004",253.42,"2010","06","28",0.484820663,197.25,0.434707573,10503.83909,6.829633678,24163,1.685107627,10494.8503,13.37463402,6228,1.427366012,56.17,0.154992842,3744.937047,4.154066892,24162,0.694077434,3735.52475,8.781098365,5382
"KAMX20100628_120558",238.75,"2010","06","28",0.461582183,174.17,0.337962843,8166.534128,7.01120634,24164,1.229317257,8157.749319,13.33874049,6636,1.425400374,64.58,0.120687752,2916.298829,4.202424483,24164,0.476831865,2907.243879,8.356528558,6097
"KAMX20100628_121151",312.16,"2010","06","28",0.465516837,252.04,0.394282492,9526.25929,5.762405473,24161,1.325038303,9517.750133,10.51040185,7183,1.424475003,60.12,0.097997035,2368.196353,1.819760294,24166,0.36973558,2359.282738,3.527385556,6381
"KAMX20100628_121745",282.37,"2010","06","28",0.465168546,217.7,0.800987866,19347.86191,17.14084152,24155,2.580321832,19339.51213,30.69831441,7495,1.430428657,64.67,0.366560824,8852.077342,12.95022216,24149,1.342330904,8843.275993,24.76914249,6588
"KAMX20100628_122338",645.16,"2010","06","28",0.464964758,495.85,1.309601348,31607.22854,26.33131826,24135,3.803935928,31599.29575,44.77815156,8307,1.426317556,149.31,0.962117934,23244.7693,26.09673649,24160,3.39312102,23236.09274,48.93604135,6848
"KAMX20100628_122933",406.68,"2010","06","28",0.464487619,357.71,0.582963526,14083.81584,11.33260056,24159,1.524072826,14076.33662,18.28996024,9236,1.427554311,48.97,0.081174559,1961.502038,0.916558141,24164,0.272307008,1952.985864,1.666950631,7172
"KAMX20100628_123527",324.72,"2010","06","28",0.466964869,266.6,0.338675889,8183.086819,4.867278565,24162,0.808868533,8176.043134,7.500152277,10108,1.423742157,58.12,0.078044364,1886.020102,1.231492274,24166,0.25982978,1877.52999,2.241704204,7226
"KAMX20100628_124120",372.45,"2010","06","28",0.468040036,324.25,0.402661105,9730.708267,5.993093975,24166,0.901789936,9724.000878,8.947007531,10783,1.422524686,48.2,0.065634368,1586.120148,0.409131859,24166,0.223070256,1577.552854,0.73280475,7072
"KAMX20100628_124713",434.97,"2010","06","28",0.468675275,373.77,0.437820252,10578.17511,5.229186362,24161,0.92105058,10571.81855,7.557595177,11478,1.426882267,61.2,0.077592304,1875.173222,0.425476367,24167,0.24960682,1866.80941,0.736317721,7479
"KAMX20100628_125307",640.04,"2010","06","28",0.467454803,568.46,0.699848406,16909.73719,13.17388756,24162,1.432624885,16903.54101,18.82456885,11799,1.424705349,71.58,0.085426717,2064.336619,0.267527266,24165,0.2571256,2056.233424,0.414994246,7997
"KAMX20100628_125901",766.09,"2010","06","28",0.466683225,619.66,0.836951163,20225.76179,12.91318579,24166,1.593883664,20220.00817,17.78916124,12686,1.425367648,146.43,0.198667971,4801.010176,2.189429907,24166,0.550064934,4793.265831,3.619619248,8714
"KAMX20100629_100342",2910.26,"2010","06","29",0.468035717,2605.49,1.637573271,39573.59568,7.034547607,24166,3.076582673,39567.92976,9.410593842,12861,1.426170505,304.77,0.177663333,4293.412101,2.518716424,24166,0.497921939,4285.614129,4.201661907,8607
"KAMX20100629_100938",4572.72,"2010","06","29",0.467441866,4376.83,2.063472552,49855.56033,9.8289087,24161,3.60973009,49850.37254,12.78442813,13810,1.425610079,195.89,0.144038975,3480.70183,1.189396949,24165,0.40929207,3472.843214,1.980096422,8485
"KAMX20100629_101532",5505.99,"2010","06","29",0.465105471,5389.53,2.309537644,55805.35809,11.80970308,24163,3.799837101,55800.60784,14.96091209,14685,1.424115571,116.46,0.103357195,2497.419912,0.912114208,24163,0.294551084,2489.545759,1.523936577,8452
"KAMX20100629_102126",6013.13,"2010","06","29",0.468212056,5913,2.280749558,55118.87458,9.447316164,24167,3.699438117,55114.22907,11.81256826,14898,1.427592301,100.13,0.085580349,2068.049144,0.491739852,24165,0.254634433,2059.992559,0.824243681,8090
"KAMX20100629_102718",6819.18,"2010","06","29",0.467505225,6722.34,2.688406247,64962.64855,15.98386716,24164,4.57706107,64957.65071,20.64868492,14192,1.42244374,96.84,0.070236717,1697.20002,0.285201475,24164,0.215052923,1689.025656,0.468189316,7854
"KAMX20100629_103310",7249.95,"2010","06","29",0.46524058,7143.76,2.747250775,66384.56773,14.06303674,24164,4.928661051,66379.20703,18.54975677,13468,1.42359346,106.19,0.067629949,1634.412971,0.357626676,24167,0.209157236,1626.19751,0.606664301,7775
"KAMX20100629_103903",5588.46,"2010","06","29",0.468530731,5500.98,2.151494076,51995.15733,13.44253748,24167,4.331338906,51989.06089,18.82555059,12003,1.427786622,87.48,0.064376659,1555.533206,0.726629562,24163,0.224673013,1546.873693,1.348051614,6885
"KAMX20100629_104456",3097.06,"2010","06","29",0.467506865,3023.74,1.255814633,30342.99316,9.379731339,24162,3.005641728,30335.94196,14.3307413,10093,1.432041793,73.32,0.049881494,1205.186777,0.312437236,24161,0.183685218,1196.341825,0.581078216,6513
"KAMX20100629_105052",1223.38,"2010","06","29",0.465928144,1151.36,0.655420311,15839.54267,4.872376354,24167,1.872462213,15831.66801,8.098338657,8455,1.424108466,72.02,0.048240623,1165.686425,0.334140932,24164,0.189736052,1156.630974,0.644860692,6096
"KAMX20100629_105646",477.39,"2010","06","29",0.465340053,428.53,0.502118369,12134.19251,6.72098897,24166,1.741179076,12125.57109,12.43425312,6964,1.433894713,48.86,0.053591133,1295.08331,0.625697685,24166,0.208168979,1286.067954,1.224528095,6178
"KAMX20100629_110242",303.96,"2010","06","29",0.467622387,254.8,0.386684413,9342.682099,5.271795682,24161,1.459543082,9333.778007,10.17089062,6395,1.427189264,49.16,0.048016581,1160.320686,0.219758551,24165,0.172183229,1151.561436,0.391398959,6688
"KAMX20100629_110836",261.62,"2010","06","29",0.463870773,208.2,0.357124843,8631.707454,7.624430511,24170,1.435903978,8622.603388,15.24665206,6005,1.455078655,53.42,0.056717469,1370.747788,0.191654017,24168,0.191777422,1362.195028,0.314886278,7103
"KAMX20100629_111429",272.59,"2010","06","29",0.468172941,212.45,0.439165787,10611.5629,8.938019805,24163,1.654339963,10602.66482,17.29787166,6409,1.427261819,60.14,0.0591552,1429.544556,0.248235997,24166,0.198466671,1421.021366,0.424755909,7160
"KAMX20100629_112022",225.93,"2010","06","29",0.46798648,165.67,0.41775261,10094.57408,7.167963379,24164,1.576378554,10085.66999,13.86532661,6398,1.426432366,60.26,0.056234497,1358.962844,0.222061282,24166,0.183895952,1350.531873,0.372642068,7344
"KAMX20100629_112617",336.92,"2010","06","29",0.464188162,278.11,0.456650666,11034.96335,9.066652488,24165,1.618653295,11026.26625,17.02241606,6812,1.430761932,58.81,0.054817418,1324.717713,0.24285197,24166,0.180878544,1316.253162,0.416092013,7277
"KAMX20100629_113211",440.18,"2010","06","29",0.48270554,378.3,0.443674494,10720.95048,7.08211241,24164,1.517548898,10712.37767,13.04148578,7059,1.422660171,61.88,0.053333667,1289.021404,0.392858856,24169,0.181520213,1280.443584,0.711091792,7054
