"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KBRO20100701_100016_V03",130012.35,"2010","07","01",0.527453341,66711.58,31.83182194,899885.6062,105.853034,28270,33.32290214,899884.9722,108.0743609,27005,0.86942758,63300.77,19.71312969,559300.9155,81.65983895,28372,20.92171077,559300.0941,83.97555525,26733
"KBRO20100701_100443_V03",112564.05,"2010","07","01",0.52799013,57341.64,26.80523748,759258.3515,96.45498471,28325,28.02930196,759257.7316,98.45875168,27088,0.868522672,55222.41,16.443231,467398.8411,75.45554546,28425,17.36506482,467398.0848,77.43863385,26916
"KBRO20100701_100911_V03",106584.05,"2010","07","01",0.527441077,52076.4,26.37351344,747240.7562,95.46661234,28333,27.46701676,747240.1908,97.27147777,27205,0.870145263,54507.65,15.806255,449672.1486,71.47610162,28449,16.61941276,449671.4509,73.19946979,27057
"KBRO20100701_101338_V03",100387.45,"2010","07","01",0.527903795,51571.35,25.08157278,711463.8934,96.15276006,28366,26.16924642,711463.3025,98.07059097,27187,0.868629215,48816.1,14.06446782,400401.3344,66.65712611,28469,14.85881811,400400.5716,68.42758598,26947
"KBRO20100701_101805_V03",109343.35,"2010","07","01",0.52793372,54354.1,26.0124698,738468.0052,97.92850209,28389,27.25776447,738467.3551,100.0758427,27092,0.869873579,54989.25,14.24771905,405575.5704,67.83667113,28466,15.07881117,405574.784,69.69743592,26897
"KBRO20100701_102332_V03",94135.88,"2010","07","01",0.538754743,45879.7,23.82194806,676066.8859,93.82969991,28380,25.04783779,676066.1898,96.05410725,26991,0.868580243,48256.18,12.72859172,362561.2065,64.21539935,28484,13.61677591,362560.2753,66.32711345,26626
"KBRO20100701_102759_V03",63148.98,"2010","07","01",0.5281331,32404.32,20.76323065,589966.4356,82.68782731,28414,21.77316855,589965.775,84.54511877,27096,0.869032549,30744.66,10.60638986,302250.2917,55.40829329,28497,11.27375778,302249.4462,57.05913594,26810
"KBRO20100701_103226_V03",36494.06,"2010","07","01",0.527851338,19419.56,19.23301303,546371.4342,80.58282303,28408,20.21798181,546370.7405,82.50000257,27024,0.869827086,17074.5,7.93473812,226211.4491,47.54927741,28509,8.570847897,226210.3886,49.36348948,26393
"KBRO20100701_103653_V03",24495.19,"2010","07","01",0.52820803,13772.51,16.98155042,482666.6075,75.07202842,28423,17.94496943,482665.8426,77.06023639,26897,0.868093059,10722.68,7.658953486,218211.2438,47.18507328,28491,8.187697332,218210.3216,48.74240323,26651
"KBRO20100701_104120_V03",27434.78,"2010","07","01",0.527621709,15120.12,15.59035186,443670.2332,70.01631299,28458,16.5789538,443669.3827,72.0886607,26761,0.870049228,12314.66,6.308323089,179894.4495,38.30534755,28517,6.797922386,179893.4201,39.72234127,26463
"KBRO20100701_104547_V03",32282.77,"2010","07","01",0.528595242,17600.48,14.91419759,424264.1788,67.15229434,28447,15.75664475,424263.4165,68.92673857,26926,0.868800223,14682.29,7.804032584,222500.773,44.9810213,28511,8.287084809,222499.94,46.30917043,26849
"KBRO20100701_105014_V03",39177.83,"2010","07","01",0.527612444,21441.56,16.54304054,470781.8477,68.121484,28458,17.39832021,470781.1465,69.75377526,27059,0.870287257,17736.27,8.983302685,256266.6757,49.65961576,28527,9.546128989,256265.8327,51.13927044,26845
"KBRO20100701_105441_V03",29925.67,"2010","07","01",0.528045522,17091.93,15.28377868,434991.6251,63.69354258,28461,16.05547335,434990.9395,65.18686457,27093,0.868905425,12833.74,8.760261051,249860.1657,45.85359336,28522,9.25782346,249859.3974,47.08903343,26989
"KBRO20100701_105909_V03",22470.06,"2010","07","01",0.52738947,13071.35,12.55717037,357565.4262,52.96982129,28475,13.19865389,357564.7326,54.22804412,27091,0.870659669,9398.71,6.447766877,183961.2368,34.62544879,28531,7.008270527,183960.0931,36.04480372,26249
"KBRO20100701_110336_V03",19158.94,"2010","07","01",0.528441072,10709.14,10.60078284,302005.7025,51.38443987,28489,11.19200075,302004.9482,52.73530302,26984,0.868249724,8449.8,5.744408735,163801.8151,33.35920671,28515,6.2421659,163800.6754,34.72995696,26241
"KBRO20100701_110803_V03",15671.44,"2010","07","01",0.52752584,9025.04,9.456201859,269293.7165,46.22605015,28478,10.034015,269292.8946,47.55661933,26838,0.87016927,6646.4,5.16652288,147344.066,33.83086958,28519,5.744351973,147342.6281,35.62627094,25650
"KBRO20100701_111230_V03",13298.32,"2010","07","01",0.52850396,8027.73,10.12780172,288571.4544,50.73711169,28493,10.81842029,288570.5427,52.36733531,26674,0.868674697,5270.59,4.438159681,126585.1904,30.38072574,28522,4.86655384,126583.9319,31.78063791,26011
"KBRO20100701_111657_V03",9774.34,"2010","07","01",0.527463809,6039.11,8.921925421,253909.0756,51.98480761,28459,9.556555697,253908.1283,53.7457047,26569,0.870690285,3735.23,3.800215381,108408.7442,31.94235476,28527,4.252431004,108407.2236,33.76131846,25493
"KBRO20100701_112124_V03",8234.76,"2010","07","01",0.528223119,5565.25,8.036597124,228721.5542,46.66036671,28460,8.624456329,228720.5819,48.28449534,26520,0.868843698,2669.51,3.174898831,90563.98915,25.51011568,28525,3.5507734,90562.47557,26.95348801,25505
"KBRO20100701_112551_V03",7079.04,"2010","07","01",0.527710077,5021.09,9.868701128,280873.1028,55.95440433,28461,10.53060161,280872.2062,57.74023762,26672,0.870446046,2057.95,2.732825417,77967.50915,22.2256494,28530,3.075214644,77965.91688,23.55482999,25353
