"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KBRO20110703_100530",386.78,"2011","07","03",0.539632839,284.65,0.138186545,1154.27221,0.565983859,8353,1.075347723,1150.622064,1.2225068,1070,0.52734375,102.13,0.062329222,520.9476369,0.439581063,8358,1.404736823,516.9431509,1.584267776,368
"KBRO20110703_101103",326.68,"2011","07","03",0.52734375,234.98,0.121295706,1013.546923,0.661478072,8356,1.046469066,1009.842648,1.680349346,965,0.52734375,91.7,0.056104755,468.9796475,0.420528601,8359,1.309769422,464.9681449,1.590378568,355
"KBRO20110703_101636",285.51,"2011","07","03",0.52734375,211.09,0.108872175,910.17138,0.592583436,8360,0.990644854,906.440041,1.528874541,915,0.52734375,74.42,0.046526526,388.8221747,0.337142992,8357,1.233301678,384.7901234,1.259452077,312
"KBRO20110703_102209",269.72,"2011","07","03",0.52734375,201.88,0.106539885,891.4192151,0.501043247,8367,0.957594803,887.6903821,1.205261614,927,0.52734375,67.84,0.043992538,367.6896299,0.304539314,8358,1.161845299,363.6575786,1.087108252,313
"KBRO20110703_102743",211.59,"2011","07","03",0.52734375,155.11,0.081829616,683.8501046,0.363607427,8357,0.866312248,680.0551149,0.853838117,785,0.52734375,56.48,0.036435714,304.6390031,0.261948698,8361,1.101045424,300.5854008,0.965924299,273
"KBRO20110703_103316",238.45,"2011","07","03",0.52734375,173.21,0.092693642,775.1042324,0.426543878,8362,0.94293799,771.3232759,1.029392391,818,0.52734375,65.24,0.040278477,336.5266733,0.266967308,8355,1.138649317,332.4856007,0.889748275,292
"KBRO20110703_103849",268.17,"2011","07","03",0.52734375,199.03,0.101073815,844.5728022,0.450244472,8356,0.939478709,840.8334442,1.051867152,895,0.52734375,69.14,0.04148505,346.7735299,0.279692669,8359,1.150112281,342.7334596,0.960554458,298
"KBRO20110703_104422",257.99,"2011","07","03",0.52734375,197.81,0.101807864,850.91013,0.452129326,8358,0.93301353,847.1762851,1.052401162,908,0.52734375,60.18,0.036044126,301.1847177,0.245052742,8356,0.983934291,297.1481558,0.855322357,302
"KBRO20110703_104955",275.46,"2011","07","03",0.52734375,222.76,0.107746738,901.1937148,0.638875195,8364,0.989477797,897.4563616,1.701363049,907,0.52734375,52.7,0.032081884,268.1083005,0.274523266,8357,1.128363917,264.0371566,1.208700226,234
"KBRO20110703_105528",302.95,"2011","07","03",0.52735098,251.7,0.110484215,923.3165864,0.529400363,8357,1.044965011,919.5692094,1.298894509,880,0.52734375,51.25,0.029778285,248.9166859,0.241430782,8359,1.117977269,244.8370218,1.006551982,219
"KBRO20110703_110101",329.77,"2011","07","03",0.52734375,228,0.099850895,834.254231,0.455045166,8355,0.956799357,830.5018422,1.083857516,868,0.52734375,101.77,0.042441415,354.640467,0.463983333,8356,1.479203915,350.5713279,2.342633406,237
"KBRO20110703_110634",912.33,"2011","07","03",0.52734375,616.33,0.208800055,1745.359662,1.230037067,8359,1.546833548,1741.734575,3.028140057,1126,0.52734375,296,0.102773138,858.8751175,0.872050361,8357,2.31046523,854.8721351,3.479563866,370
"KBRO20110703_111207",1167.63,"2011","07","03",0.52734375,770.04,0.259179204,2166.997326,1.527335285,8361,1.72111129,2163.436892,3.606869208,1257,0.52734375,397.59,0.138381725,1156.179316,1.128982132,8355,2.277165015,1152.245498,4.025697862,506
"KBRO20110703_111741",870.84,"2011","07","03",0.52734375,578.26,0.219346514,1832.420774,1.218773574,8354,1.180006901,1829.010697,2.62226029,1550,0.52734375,292.58,0.121509539,1015.212196,0.757554463,8355,1.420479806,1011.381622,2.212665121,712
"KBRO20110703_112313",762.59,"2011","07","03",0.52734375,501.82,0.230808443,1929.789391,0.675385403,8361,1.01078396,1926.554228,1.101527417,1906,0.52734375,260.77,0.144059222,1204.335092,0.553148724,8360,1.192303736,1200.649862,1.136589622,1007
"KBRO20110703_112846",817.15,"2011","07","03",0.52734375,492.7,0.255347012,2133.67963,0.601605,8356,1.003558987,2130.55573,0.821082378,2123,0.52734375,324.45,0.185151322,1547.309599,0.530025067,8357,1.195792572,1543.76821,0.781511414,1291
