"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KHGX20110701_100828",19683.22,"2011","07","01",0.490027923,18852.94,9.858384504,114662.8702,29.62417848,11631,12.72320878,114661.5576,33.1090183,9012,1.48649476,830.28,0.631080083,7343.247848,5.043331571,11636,4.824574845,7338.178339,13.20807814,1521
"KHGX20110701_101808",16780.65,"2011","07","01",0.488943068,16240.5,9.054238166,105337.0068,31.48866613,11634,13.18007777,105335.1815,37.27006402,7992,1.48692468,540.15,0.388623308,4521.632185,3.093217783,11635,3.328283701,4516.480983,8.502955734,1357
"KHGX20110701_102749",13230.49,"2011","07","01",0.489566325,12858.7,7.169521558,83410.2138,29.58146179,11634,11.34340653,83408.06822,36.56847402,7353,1.488451529,371.79,0.271651339,3160.663335,2.535166526,11635,2.674087646,3155.423422,7.549286257,1180
"KHGX20110701_103729",8374.32,"2011","07","01",0.488007633,8188.9,4.352120684,50628.21992,20.12786737,11633,7.831935223,50625.62928,26.49324381,6464,1.48882926,185.42,0.121988019,1419.086627,1.367571399,11633,1.286448699,1413.807121,4.279519193,1099
"KHGX20110701_104709",6891.55,"2011","07","01",0.510630335,6718.69,3.212490687,37341.99175,22.81478003,11624,8.701541958,37338.31654,36.9116512,4291,1.434948536,172.86,0.108405991,1261.303699,1.151746989,11635,1.343252402,1255.940996,3.855310199,935
"KHGX20110701_105204",6970.9,"2011","07","01",0.49572841,6853.03,3.372499372,39212.0502,23.08444021,11627,10.09999189,39208.16851,39.09447727,3882,1.444995413,117.87,0.078960591,918.469595,1.447496395,11632,1.426500851,912.9605449,6.017707985,640
"KHGX20110701_105659",7878.82,"2011","07","01",0.494596859,7753.39,4.510580596,52453.54175,27.19600414,11629,14.68762341,52449.50318,47.53465327,3571,1.443795748,125.43,0.086631742,1008.046944,1.346588065,11636,1.556735861,1002.537894,5.524493479,644
"KHGX20110701_110154",10684.31,"2011","07","01",0.499702666,10393.97,6.092980053,70849.17206,32.63818801,11628,20.03538361,70845.11645,56.78304468,3536,1.44398298,290.34,0.215793759,2510.328795,3.567235671,11633,3.357737761,2504.87237,13.71572298,746
"KHGX20110701_110747",12434.12,"2011","07","01",0.508764987,11606.12,6.208253792,72177.15859,31.36654257,11626,18.27635122,72173.31097,51.73387241,3949,1.444839076,828,0.56280723,6547.699309,4.129902112,11634,4.911813873,6542.536078,11.30024907,1332
"KHGX20110701_111242",15015.27,"2011","07","01",0.495959709,13543.97,5.863454692,68162.66079,29.29220011,11625,13.96992822,68159.27978,43.94745052,4879,1.443268205,1471.3,0.899731839,10471.07915,5.536503553,11638,5.502733747,10466.19959,12.73977642,1902
"KHGX20110701_111737",18019.11,"2011","07","01",0.486155648,15902.14,6.031624463,70141.76088,26.53605547,11629,12.28995845,70138.79285,36.85180398,5707,1.442689137,2116.97,1.133058858,13180.8737,4.89095403,11633,4.772338705,13176.42716,9.134788164,2761
"KHGX20110701_112231",18415.13,"2011","07","01",0.48503481,15542.18,5.736935963,66691.88057,24.35841597,11625,10.15676897,66689.34506,31.71213564,6566,1.443210924,2872.95,1.19955507,13954.42413,3.701043671,11633,3.91644555,13950.37905,5.839641394,3562
"KHGX20110701_112726",18671.49,"2011","07","01",0.492467095,15197.97,5.456547468,63443.27742,20.75727968,11627,8.877838175,63441.0316,25.89799275,7146,1.444972606,3473.52,1.236176859,14386.62628,3.522174369,11638,3.555703528,14382.82077,5.23929458,4045
"KHGX20110701_113220",19486,"2011","07","01",0.499862339,15410.92,5.690869323,66167.73762,26.5399016,11627,8.864637081,66165.65117,32.6976841,7464,1.444469843,4075.08,1.265126556,14718.48235,3.57465006,11634,3.473742816,14714.77457,5.237078415,4236
