"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KHGX20110629_100040",38111.28,"2011","06","29",0.488997862,37591.17,22.17164796,455028.731,43.66878711,20523,25.46177616,455027.4018,45.89325161,17871,1.489170976,520.11,0.581526662,11935.25322,3.058941454,20524,1.546387479,11928.83301,4.837972375,7714
"KHGX20110629_101022",34894.97,"2011","06","29",0.488239852,34520.61,19.55479431,401323.0437,44.62245316,20523,23.43482281,401321.3407,47.90979614,17125,1.488696703,374.36,0.370666789,7608.306509,1.874648966,20526,1.07976527,7601.547498,3.079277446,7040
"KHGX20110629_102004",26231.76,"2011","06","29",0.488813177,25961.29,14.32695551,294032.1079,35.20687862,20523,18.05637334,294029.9834,38.66356404,16284,1.488937307,270.47,0.228265332,4685.145939,1.04483006,20525,0.759160563,4677.947386,1.798282816,6162
"KHGX20110629_102944",17082.4,"2011","06","29",0.488590768,16877.51,9.242888674,189701.0471,26.60788932,20524,12.37674969,189698.4425,30.15403107,15327,1.486980214,204.89,0.175041386,3592.374373,1.067166896,20523,0.623689863,3584.969331,1.946039167,5748
"KHGX20110629_103924",12265.96,"2011","06","29",0.48830148,11993.07,6.613790644,135688.5289,25.03248745,20516,9.315863117,135685.5463,29.28307537,14565,1.486844598,272.89,0.220172457,4518.819509,1.295488972,20524,0.80530896,4511.340793,2.382967622,5602
"KHGX20110629_105000",9181.07,"2011","06","29",0.517706263,8784.28,5.620764739,115231.2979,25.6281713,20501,9.517394148,115227.0909,32.78913405,12107,1.445635298,396.79,0.315356252,6471.425647,1.949274081,20521,1.487187976,6463.318944,4.025175299,4346
"KHGX20110629_105454",12017.51,"2011","06","29",0.492184284,11460.56,9.034583644,185163.7918,43.07584527,20495,15.31510168,185159.5793,55.22148003,12090,1.442752443,556.95,0.442004734,9072.147163,3.402248957,20525,2.126700224,9063.996355,7.223019544,4262
"KHGX20110629_105949",17187.21,"2011","06","29",0.487139206,16409.81,12.04983859,246840.9434,50.72063487,20485,19.50201629,246837.0202,63.39115623,12657,1.441044946,777.4,0.610724848,12533.29534,3.752524535,20522,2.629728559,12525.39713,7.441233218,4763
"KHGX20110629_110444",20975.05,"2011","06","29",0.484808681,20042.07,13.22879713,270886.0788,48.7497162,20477,20.41622443,270882.4657,59.3392342,13268,1.441110433,932.98,0.649248243,13324.5217,3.614353468,20523,2.681579687,13316.72473,6.967501214,4966
"KHGX20110629_110939",20007.38,"2011","06","29",0.494606422,18903.84,12.73873448,261080.3632,46.89965297,20495,19.0123051,261076.9737,56.24647592,13732,1.443513953,1103.54,0.645270519,13242.2416,3.430520568,20522,2.399767957,13234.72028,6.291858274,5515
"KHGX20110629_111433",18056.36,"2011","06","29",0.500569632,16705.47,11.23702704,230415.2394,42.73435917,20505,15.9609447,230412.1977,50.18601535,14436,1.443788495,1350.89,0.686975643,14096.74019,3.208683915,20520,2.067176044,14089.87192,5.30527169,6816
"KHGX20110629_111928",19627.14,"2011","06","29",0.500673772,18002.45,12.24912294,251021.2763,46.53946228,20493,16.22301818,251018.7604,52.95469185,15473,1.443301495,1624.69,0.750379922,15403.04865,2.759473783,20527,1.826234882,15396.98629,4.071409778,8431
"KHGX20110629_112423",22615.55,"2011","06","29",0.485154888,20632.51,13.15054882,269507.3475,41.69211168,20494,16.51683852,269505.2541,46.12622366,16317,1.441729941,1983.04,0.972444667,19958.45435,3.94415105,20524,1.983223381,19953.21043,5.452663874,10061
"KHGX20110629_112917",25868.6,"2011","06","29",0.490201246,23907.49,14.5953453,299175.388,47.39419473,20498,17.41102989,299173.7266,51.28894181,17183,1.441882904,1961.11,0.960453924,19713.3168,3.499510954,20525,1.809114179,19708.48986,4.641044858,10894
"KHGX20110629_113412",27665.31,"2011","06","29",0.492383476,25625.11,14.3016422,293197.9667,41.05517236,20501,16.61546729,293196.5358,43.81555541,17646,1.443290248,2040.2,1.048512983,21518.63196,3.74467735,20523,1.871768465,21514.10674,4.84749684,11494
