"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KTLH20100609_100045",28.8,"2010","06","09",0.545703527,25.1,0.006343769,88.71761204,0.072494418,13985,0.534543727,81.78519023,0.446725297,153,1.556262252,3.7,0.000537284,7.512307933,0.003037883,13982,0.252855203,0.505710407,0.040988278,2
"KTLH20100609_101031",66.74,"2010","06","09",0.545358201,62.4,0.019570417,273.6335679,0.137819184,13982,0.63532492,266.8364666,0.491893125,420,1.556829955,4.34,0.000658505,9.207216766,0.007972479,13982,0.367103998,2.202623989,0.128529101,6
"KTLH20100609_102017",567.96,"2010","06","09",0.545495946,564.39,0.112001224,1565.77711,1.076481648,13980,1.403534952,1559.327332,3.574917449,1111,1.554928864,3.57,0.000501187,7.007098713,0,13981,NA,0,NA,0
"KTLH20100609_103003",2025.11,"2010","06","09",0.545329198,1994.64,0.454515767,6356.402996,1.258651012,13985,1.819290615,6351.143537,1.965897861,3491,1.555670505,30.47,0.005865563,82.0181665,0.088541145,13983,0.758178616,75.05968295,0.73665902,99
"KTLH20100609_103949",3541.19,"2010","06","09",0.545631248,3309.89,0.806686586,11279.09184,1.627649161,13982,2.474076838,11274.36815,2.001101874,4557,1.555778364,231.3,0.046426707,649.2774962,0.335311113,13985,0.966318319,642.6016822,1.215768235,665
"KTLH20100609_104934",5241.72,"2010","06","09",0.545350911,4891.29,1.093142248,15286.5012,2.07322527,13984,3.028541734,15282.02159,2.460014813,5046,1.55580368,350.43,0.078423926,1096.601754,0.478397341,13983,0.954611216,1090.166009,1.402791931,1142
"KTLH20100609_105920",5889.56,"2010","06","09",0.545343272,5654.57,1.207655212,16885.43517,2.359972634,13982,3.282326497,16881.00518,2.88673729,5143,1.554446824,234.99,0.061949483,866.4874169,0.338656334,13987,0.810564628,860.0090707,0.951964311,1061
"KTLH20100609_110906",5079.55,"2010","06","09",0.545724994,4959.87,1.068616834,14945.67505,2.287374147,13986,3.068618961,14941.10572,2.982187703,4869,1.555071451,119.68,0.033926478,474.3600176,0.20234163,13982,0.666245372,467.7042511,0.628491652,702
"KTLH20100609_111852",4308.3,"2010","06","09",0.545477791,4230.48,0.926896049,12961.71434,2.144449348,13984,2.768009357,12957.0518,2.939999117,4681,1.554107797,77.82,0.021741562,304.0340005,0.175042721,13984,0.680193174,297.244417,0.730812082,437
"KTLH20100609_112838",3656.38,"2010","06","09",0.545727502,3605.67,0.797539451,11151.19661,2.008783838,13982,2.488598755,11146.43382,2.896565152,4479,1.555798749,50.71,0.014602224,204.1536936,0.121281796,13981,0.576953219,197.3180009,0.527179371,342
"KTLH20100609_113824",3020.85,"2010","06","09",0.545487421,2986.7,0.665310895,9300.380998,1.623855985,13979,2.165275215,9295.526499,2.310828519,4293,1.555332658,34.15,0.010602212,148.2507285,0.090637807,13983,0.484208815,141.388974,0.406018525,292
"KTLH20100609_114809",2696.08,"2010","06","09",0.545643297,2661.57,0.57412932,8028.050285,1.486417666,13983,1.91986998,8023.136646,2.193276651,4179,1.555905523,34.51,0.010505989,146.894733,0.087870589,13982,0.459147525,140.0399952,0.385559589,305
