"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KLCH20110701_100849_V03",5875.66,"2011","07","01",0.51705786,5311.91,4.245780443,250895.9037,29.66253861,59093,4.919447993,250891.8476,31.87754419,51000,1.528936983,563.75,0.30387604,17961.80885,3.839108035,59109,0.416310309,17953.79838,4.489373922,43126
"KLCH20110701_101831_V03",11542.13,"2011","07","01",0.530331334,10964.08,5.996176599,354320.0714,36.77747699,59091,6.960884201,354315.9667,39.541163,50901,1.527578965,578.05,0.27210292,16083.45939,1.878963774,59108,0.371071226,16075.54765,2.186396864,43322
"KLCH20110701_102813_V03",19826.86,"2011","07","01",0.515784371,18568.06,7.232603337,427352.8333,36.91329019,59087,8.428967059,427348.6299,39.72300426,50700,1.529286393,1258.8,0.855155586,50549.95698,9.531897069,59112,1.139629277,50542.55846,10.98979833,44350
"KLCH20110701_103755_V03",30612.88,"2011","07","01",0.516511552,28597.24,10.45245074,617269.4784,47.7476539,59055,11.85841295,617265.9691,50.69367506,52053,1.527898831,2015.64,1.279418172,75625.12875,7.542461153,59109,1.743899727,75617.23606,8.760162468,43361
"KLCH20110701_104737_V03",30612.83,"2011","07","01",0.51524494,28653.75,14.13267776,834124.7741,59.51898402,59021,15.76015039,834121.7194,62.64843553,52926,1.534460412,1959.08,1.282975221,75836.6653,9.210402877,59110,1.763578614,75828.58967,10.75989146,42997
"KLCH20110701_105720_V03",68320.34,"2011","07","01",0.524712412,63652.89,32.35980086,1904147.762,98.66841185,58843,35.39895578,1904145.23,102.6753812,53791,1.540707612,4667.45,3.385031285,200075.6591,12.75864619,59106,4.198034361,200069.9216,14.08806433,47658
"KLCH20110701_110702_V03",101617.56,"2011","07","01",0.530059877,87691.43,44.06921889,2591270.071,102.4864802,58800,48.29498634,2591267.492,106.3324748,53655,1.528491116,13926.13,6.996927903,413574.4145,16.04157132,59108,7.957570192,413570.838,16.882581,51972
"KLCH20110701_111643_V03",111523.23,"2011","07","01",0.53019178,91708.02,49.22723148,2888112.444,107.1543351,58669,53.97226474,2888109.858,111.052873,53511,1.527201472,19815.21,9.606056536,567756.3655,21.4834468,59104,10.66744486,567753.418,22.38785917,53223
"KLCH20110701_112626_V03",89885.96,"2011","07","01",0.526531683,75102.67,32.94700782,1943181.574,72.75077157,58979,35.87253159,1943179.164,75.21772596,54169,1.540651019,14783.29,7.166059006,423571.4157,15.55980115,59108,7.929916538,423568.562,16.18208252,53414
"KLCH20110701_113608_V03",71000.57,"2011","07","01",0.516566878,58156.62,25.59564758,1509682.486,62.59171358,58982,27.93841156,1509680.007,64.89122754,54036,1.526942909,12843.95,6.644612547,392716.5354,16.24643243,59103,7.386276723,392713.5608,16.9685855,53168
"KLCH20110701_114550_V03",61361.87,"2011","07","01",0.530241029,48978.41,23.691281,1397714.505,60.8555492,58997,25.96095619,1397711.92,63.2398804,53839,1.54126193,12383.46,6.956864233,411199.3742,18.1789898,59107,7.725625669,411196.4263,19.00155222,53225
"KLCH20110701_115533_V03",49225.46,"2011","07","01",0.52446037,38156.83,22.37670354,1319956.988,63.39407086,58988,24.42550904,1319954.508,65.85393954,54040,1.540549804,11068.63,6.279271847,371142.6418,19.63296777,59106,6.946931109,371139.7945,20.53786321,53425
"KLCH20110701_120516_V03",45874,"2011","07","01",0.516810281,35086.45,21.74974144,1282973.748,60.11338087,58988,23.69816611,1282971.317,62.37932146,54138,1.528325713,10787.55,5.894221583,348389.7551,16.93741279,59107,6.504611184,348386.975,17.68097885,53560
"KLCH20110701_121458_V03",42769.43,"2011","07","01",0.530069045,33608.43,23.57474375,1390084.765,66.3230582,58965,25.63261589,1390082.392,68.77490484,54231,1.525933596,9161,5.02000118,296707.1697,13.98640347,59105,5.534910527,296704.4137,14.588937,53606
"KLCH20110701_122441_V03",42537.12,"2011","07","01",0.525214957,34065.33,24.63477984,1452589.793,69.17273691,58965,26.67794689,1452587.53,71.60463846,54449,1.540642276,8471.79,5.518930738,326201.9202,17.94962282,59106,6.098433416,326199.105,18.77470489,53489
