"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KHGX20100706_100216",36579.05,"2010","07","06",0.492048344,34662.47,17.96340043,228189.0756,42.62374651,12703,21.81737747,228187.951,46.07087973,10459,1.440341226,1916.58,1.456955966,18526.65207,6.084254397,12716,5.28596893,18522.03513,10.68281719,3504
"KHGX20100706_100709",34086.57,"2010","07","06",0.499482688,32440.43,17.07757695,216936.4601,41.32817544,12703,21.13966446,216935.2367,45.03845902,10262,1.441942386,1646.14,1.203459362,15297.17196,4.742820337,12711,4.508402533,15292.50139,8.331241317,3392
"KHGX20100706_101204",30413.38,"2010","07","06",0.498413951,28975.58,15.16397612,192658.3166,38.00643972,12705,19.40150311,192656.9258,42.02357782,9930,1.440170537,1437.8,1.053820748,13395.11552,4.521202834,12711,4.123921247,13390.37229,8.208313219,3247
"KHGX20100706_101658",27143.38,"2010","07","06",0.485271736,25962.77,13.60095229,172732.0941,40.42732426,12700,17.8146234,172730.5885,45.45005789,9696,1.441408496,1180.61,0.862880195,10973.24744,4.330357505,12717,3.53136849,10968.43053,8.207953572,3106
"KHGX20100706_102152",26297.19,"2010","07","06",0.494038712,25522.1,13.30156241,168916.541,40.14049066,12699,17.78051976,168914.9377,45.5438475,9500,1.441367538,775.09,0.531485763,6757.309995,2.190760002,12714,2.351925047,6752.376809,4.120378236,2871
"KHGX20100706_102646",24557.1,"2010","07","06",0.49242493,23956.84,12.18919602,154766.2218,38.52979402,12697,16.34779793,154764.603,43.85332599,9467,1.440596317,600.26,0.378180811,4808.190825,1.589421204,12714,1.749160594,4803.194991,3.049867505,2746
"KHGX20100706_103140",18380.99,"2010","07","06",0.50119999,17953.43,8.98203631,114125.7534,26.20555856,12706,12.45215261,114123.9786,30.14752325,9165,1.440743699,427.56,0.252283441,3206.522532,1.026759812,12710,1.343974085,3201.346271,2.039581568,2382
"KHGX20100706_103635",16853.35,"2010","07","06",0.484890285,16421.23,8.31684075,105682.0954,30.77461919,12707,11.87818207,105680.1859,36.19928758,8897,1.438683006,432.12,0.26370664,3351.711393,1.403689285,12710,1.459437647,3346.490526,3.029880902,2293
"KHGX20100706_104129",14226.59,"2010","07","06",0.496264985,13694.92,6.767078119,85941.89211,25.04204856,12700,9.861146859,85939.89488,29.7215788,8715,1.447933574,531.67,0.363638418,4622.571571,12.33490077,12712,2.243552926,4617.231923,30.59368609,2058
"KHGX20100706_104623",12203.38,"2010","07","06",0.497175665,11629.81,6.476948925,82289.63609,31.74120805,12705,9.873703552,82287.4454,38.76133004,8334,1.442114335,573.57,0.373940654,4754.655414,5.469455731,12715,2.229741947,4749.350347,13.21013378,2130
"KHGX20100706_105117",13099.3,"2010","07","06",0.497264547,12264.39,7.584528723,96338.68384,38.38390198,12702,12.32393956,96336.23554,48.32947422,7817,1.441836563,834.91,0.527050676,6702.503441,9.45654561,12717,2.810459158,6697.324172,21.7018792,2383
"KHGX20100706_105611",14540.44,"2010","07","06",0.485339491,13244.33,8.85818795,112507.8452,44.74570568,12701,14.74512498,112505.3036,56.97556435,7630,1.440526531,1296.11,0.91144349,11586.26964,16.89434676,12712,3.947296876,11581.36903,34.99941761,2934
"KHGX20100706_110105",19507.47,"2010","07","06",0.49651965,18348.29,12.4607524,158226.634,52.61693447,12698,20.79160104,158224.0839,66.68271966,7610,1.442244396,1159.18,0.746492465,9476.721845,8.159095362,12695,3.185956711,9471.849303,16.63020735,2973
"KHGX20100706_110558",30793.41,"2010","07","06",0.494750196,29155.98,19.50934348,247222.4006,65.6328936,12672,30.99549235,247220.047,80.54906516,7976,1.445597693,1637.43,1.243818593,15785.30176,19.41965254,12691,5.439639828,15780.39514,40.34114885,2901
"KHGX20100706_111052",44289.29,"2010","07","06",0.490773483,42741.95,28.70492837,362973.8193,83.59150424,12645,40.72388072,362971.9488,97.07802484,8913,1.440516757,1547.34,1.121824084,14225.85121,13.07198479,12681,4.676428728,14221.01976,26.38388766,3041
"KHGX20100706_111546",56942.75,"2010","07","06",0.485304016,54235.54,36.36079603,459200.493,102.2331171,12629,47.30109488,459199.0291,114.3640681,9708,1.441084171,2707.21,2.254766567,28626.51633,26.05559311,12696,8.86671967,28621.77109,51.10894008,3228
"KHGX20100706_112040",61520,"2010","07","06",0.499000219,58173.2,35.96377993,456236.5122,86.33465186,12686,43.89833185,456235.3629,93.54135695,10393,1.44425235,3346.8,2.497369893,31719.09502,15.76164862,12701,8.300090153,31714.64447,27.88831225,3821
"KHGX20100706_112535",65920.71,"2010","07","06",0.495520461,60074.67,33.40143421,423763.9958,68.54290864,12687,38.82036535,423763.1082,72.4571479,10916,1.44072355,5846.04,4.187249003,53198.99859,22.81880285,12705,11.36159282,53194.97756,36.49139502,4682
"KHGX20100706_113029",66100.85,"2010","07","06",0.48641425,58131.89,30.57931479,388387.8771,57.90930934,12701,34.03323091,388387.2311,60.12275426,11412,1.436995637,7968.96,5.055724213,64243.08757,19.85182283,12707,11.70544269,64239.4695,28.8918514,5488
"KHGX20100706_113523",64872.21,"2010","07","06",0.485044051,55577.46,27.98089402,355301.3923,49.29906007,12698,30.15880933,355300.9327,50.53613438,11781,1.438711373,9294.75,5.392886359,68581.33583,17.29485036,12717,10.96547756,68578.09666,23.39136447,6254
"KHGX20100706_114016",64489.75,"2010","07","06",0.491850391,54621.71,26.99817126,342795.7805,49.84739737,12697,28.4690185,342795.4517,50.77665944,12041,1.440301824,9868.04,5.569864449,70776.26756,26.65546822,12707,10.19642382,70773.37771,35.40699871,6941
"KHGX20100706_114511",65498.27,"2010","07","06",0.498482346,55792.27,27.40436478,347761.389,51.12654002,12690,28.89100787,347761.0618,52.08440447,12037,1.441455166,9706,5.294443526,67302.9661,30.65158597,12712,9.044526857,67300.32434,39.63860152,7441
"KHGX20100706_115004",59921.84,"2010","07","06",0.494645542,51480.77,25.61038326,325303.0881,53.06875226,12702,26.95804839,325302.7699,54.11259875,12067,1.440954274,8441.07,4.410932927,56032.08097,25.61263737,12703,7.20360152,56029.61262,32.42411763,7778
"KHGX20100706_115458",56870.9,"2010","07","06",0.486112569,49512.33,24.62925859,312693.067,47.42587963,12696,26.2282066,312692.6791,48.51092158,11922,1.439210281,7358.57,3.608864743,45875.88861,17.88146674,12712,5.860173839,45873.44081,22.49607317,7828
"KHGX20100706_115952",48872.09,"2010","07","06",0.495252995,43032.94,21.25513883,269897.7529,40.63351403,12698,22.77999045,269897.3269,41.65100546,11848,1.440931406,5839.15,2.548528218,32389.24512,7.662742886,12709,4.272084821,32386.67503,9.543470219,7581
"KHGX20100706_120446",43422.87,"2010","07","06",0.492170715,39194.56,18.73978052,237957.7331,33.8418702,12698,20.2207059,237957.267,34.72522332,11768,1.441611919,4228.31,1.705231414,21670.08081,4.184840053,12708,3.077295922,21667.24059,5.23336428,7041
"KHGX20100706_120940",37828.48,"2010","07","06",0.49476972,34084.97,16.22887259,206106.6819,31.60072359,12700,17.67634311,206106.1606,32.58980487,11660,1.440554619,3743.51,1.444755074,18365.7265,4.339092604,12712,2.784752841,18362.66023,5.706796655,6594
"KHGX20100706_121434",33234.47,"2010","07","06",0.487249922,30248.24,14.38469706,182757.5761,30.17185962,12705,15.80122819,182757.0053,31.2668123,11566,1.440570933,2986.23,1.115436312,14180.54184,2.217265646,12713,2.283343874,14177.28212,2.720361156,6209
"KHGX20100706_121928",30365.46,"2010","07","06",0.485010158,27645.16,12.76878381,162240.1671,23.43834669,12706,14.12867318,162239.5542,24.26223579,11483,1.440287906,2720.3,0.999422958,12700.66695,2.115045303,12708,2.184654295,12697.21076,2.681960923,5812
"KHGX20100706_122422",27164.29,"2010","07","06",0.498187127,25194.27,11.64606869,147940.0105,25.44362128,12703,12.88670711,147939.3976,26.46436337,11480,1.441908245,1970.02,0.717592877,9121.323054,1.639183716,12711,1.764571724,9117.542097,2.182517387,5167
"KHGX20100706_122917",27653.71,"2010","07","06",0.493451801,26025.24,12.07324397,153402.6379,25.6801304,12706,13.36487389,153402.0225,26.69769133,11478,1.441602876,1628.47,0.652711865,8300.536789,1.612096519,12717,1.784575868,8296.49321,2.256143735,4649
"KHGX20100706_123410",23342.45,"2010","07","06",0.486926114,22107.65,10.17284803,129276.5527,23.15753594,12708,11.20145289,129275.9678,24.06201123,11541,1.440385751,1234.8,0.528496292,6717.716362,1.229850546,12711,1.496899353,6713.593596,1.684597181,4485
"KHGX20100706_123905",22024.44,"2010","07","06",0.486144803,20910.8,9.646274917,122613.8005,22.64783751,12711,10.70296539,122613.1715,23.61800032,11456,1.440579467,1113.64,0.542409379,6896.192846,1.345940003,12714,1.584004003,6892.001417,1.909076446,4351
"KHGX20100706_124400",22054.62,"2010","07","06",0.498080316,21250.95,9.737762962,123698.8029,24.2072419,12703,10.71815445,123698.2205,25.18903418,11541,1.441409361,803.67,0.426021754,5415.588542,1.025812181,12712,1.32531565,5411.263797,1.443971568,4083
"KHGX20100706_124854",20873.81,"2010","07","06",0.490966576,20105.98,9.17831276,116509.5022,18.78166808,12694,10.12328684,116508.9083,19.48096203,11509,1.441104565,767.83,0.423440658,5383.20108,0.963308944,12713,1.287131837,5378.923949,1.308399762,4179
"KHGX20100706_125349",21495.42,"2010","07","06",0.4848706,20579.97,9.449013308,120087.5101,17.5641357,12709,10.45415667,120086.8977,18.18823355,11487,1.440867999,915.45,0.516909519,6568.886171,1.096922143,12708,1.413314338,6564.845099,1.423234941,4645
"KHGX20100706_125843",23254.69,"2010","07","06",0.49312004,22386.2,10.22831058,129899.5444,23.92009164,12700,11.16258586,129899.0116,24.77926061,11637,1.44215507,868.49,0.505878697,6428.200607,1.208480854,12707,1.48360327,6424.002161,1.684066449,4330
"KHGX20100707_100442",27473.83,"2010","07","07",0.492308599,24342.91,15.79510999,200471.536,48.65794033,12692,25.39512684,200469.1313,59.69078763,7894,1.44541252,3130.92,1.452264447,18451.01979,23.36024017,12705,11.45680691,18445.45912,64.76065281,1610
"KHGX20100707_100936",27180.45,"2010","07","07",0.498592756,24317.8,16.09914036,204233.6946,48.37474117,12686,26.30828639,204231.2273,59.62972956,7763,1.441291897,2862.65,1.18027046,14990.61511,20.37262399,12701,10.13869438,14984.99029,58.97350946,1478
"KHGX20100707_101430",24923.01,"2010","07","07",0.488972091,23244.44,15.13831883,192165.8192,47.43450686,12694,25.83880388,192163.1844,59.70100143,7437,1.441685276,1678.57,0.891313506,11321.46415,15.16359528,12702,8.152589137,11315.79372,45.23620286,1388
"KHGX20100707_101924",20361.14,"2010","07","07",0.484996661,19278.78,12.8420375,163003.982,41.41150255,12693,22.41799815,163001.2646,52.71815382,7271,1.440648453,1082.36,0.718067172,9119.453088,13.47481997,12700,6.613772603,9113.778646,40.44091747,1378
"KHGX20100707_102418",18770.98,"2010","07","07",0.491900814,16756.4,11.23934915,142694.7768,36.93437569,12696,20.10878948,142691.9702,47.56553115,7096,1.440769012,2014.58,1.249217219,15875.05242,22.20840678,12708,12.76693991,15869.30631,69.99246975,1243
"KHGX20100707_102912",17203.62,"2010","07","07",0.490603324,15743.46,10.46350285,132938.8037,32.28437654,12705,19.26607164,132935.8943,41.82908665,6900,1.4480677,1460.16,0.920410412,11701.17757,14.63560388,12713,9.187308713,11695.44399,45.43848285,1273
"KHGX20100707_103406",15158.79,"2010","07","07",0.494496695,12202.21,8.142777279,103502.842,29.65507535,12711,16.17182484,103499.679,40.21060069,6400,1.441623728,2956.58,1.741548379,22126.37215,29.30650021,12705,18.32693413,22120.6095,93.50476347,1207
"KHGX20100707_103900",12667.35,"2010","07","07",0.492047608,10952.09,7.336781655,93169.79024,30.71843412,12699,16.21976053,93166.30448,44.07136877,5744,1.44082541,1715.26,1.054728138,13380.28116,22.43102258,12686,11.44098288,13374.50899,73.11303523,1169
"KHGX20100707_104354",14792.05,"2010","07","07",0.487027958,11754.91,8.038173066,102068.7216,39.9063743,12698,18.43995151,102065.1316,58.83856622,5535,1.443188655,3037.14,1.816699697,23097.51995,29.51781078,12714,20.04490037,23091.72523,96.21842678,1152
"KHGX20100707_104848",16944.51,"2010","07","07",0.500553485,14293.89,9.950687691,126304.0789,52.35004889,12693,24.33532148,126300.3185,79.70608724,5190,1.442277382,2650.62,1.535228105,19483.57988,28.05223693,12691,15.96543505,19477.83076,89.2271804,1220
"KHGX20100707_105342",17067.29,"2010","07","07",0.494672558,13835.69,9.744655273,123688.9094,53.75070726,12693,28.51849699,123684.7215,89.00193525,4337,1.44086511,3231.6,1.889131729,23986.30556,25.39634753,12697,17.28957256,23980.63713,75.11076076,1387
"KHGX20100707_105836",22507.46,"2010","07","07",0.48649508,18963,13.43344188,170430.0771,61.23752116,12687,38.25498346,170425.9513,98.64683015,4455,1.440083231,3544.46,2.230192195,28292.21818,28.06103539,12686,15.75864053,28286.75975,73.17371612,1795
"KHGX20100707_110330",26226.91,"2010","07","07",0.490338721,20925.18,14.39165322,182572.5127,58.02964733,12686,39.04373358,182568.4982,90.41241278,4676,1.440052224,5301.73,3.278689536,41649.19318,34.05598834,12703,20.74929371,41643.83248,83.55386922,2007
"KHGX20100707_110824",39517.12,"2010","07","07",0.499696774,33051.51,22.43497414,284363.2973,77.5682275,12675,46.03529878,284360.0406,106.1166766,6177,1.441688721,6465.61,4.142970181,52578.43456,37.56399008,12691,22.67064953,52573.23625,85.46737086,2319
