"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KMOB20100613_100351",4560.14,"2010","06","13",0.487149007,4109.91,1.417991186,85706.22324,13.97962406,60442,2.023880033,85697.15225,16.66553383,42343,1.485079544,450.23,0.170434093,10303.93394,2.290624835,60457,0.269620602,10292.76648,2.878002381,38175
"KMOB20100613_101301",4731.84,"2010","06","13",0.487100441,4248.2,1.658993862,100281.202,11.20153316,60447,2.272733886,100273.0191,13.05808974,44120,1.485825505,483.64,0.268276067,16218.09308,3.089777737,60453,0.425522712,16206.88352,3.884096515,38087
"KMOB20100613_102211",8724.67,"2010","06","13",0.487111985,8139.11,3.312641011,200229.2733,20.76622355,60444,4.385348626,200221.8622,23.79496566,45657,1.485004343,585.56,0.40481928,24472.53995,4.907477597,60453,0.639113344,24461.42412,6.155475188,38274
"KMOB20100613_103122",23411.97,"2010","06","13",0.48755494,20937.08,12.74324298,769679.1329,49.45240054,60399,15.72623495,769673.3908,54.5080335,48942,1.484875665,2474.89,3.405830738,205872.2506,20.74107365,60447,4.98420589,205862.6559,24.93441984,41303
"KMOB20100613_104032",36690.86,"2010","06","13",0.487035456,29718.89,14.25579466,860365.7191,57.45278207,60352,17.37364534,860360.2908,62.9968973,49521,1.48543396,6971.97,3.442804645,208127.8692,15.37283174,60453,4.624377889,208120.1269,17.66297152,45005
"KMOB20100613_104942",36393.8,"2010","06","13",0.486765169,28472.1,12.24665814,739281.7654,50.99615189,60366,14.89815769,739276.3807,55.89447487,49622,1.48519213,7921.7,2.887384437,174553.9387,11.23008868,60454,3.727011126,174547.1121,12.6359103,46833
"KMOB20100613_105853",35054.8,"2010","06","13",0.487548644,26961.62,10.3941209,627742.5379,44.73897244,60394,12.75369642,627736.9376,49.25335448,49220,1.485004615,8093.18,2.741996624,165761.9219,9.317035255,60453,3.521985657,165755.211,10.42873863,47063
"KMOB20100613_110803",34460.36,"2010","06","13",0.487324153,26091.43,9.98142309,602917.8803,44.25270279,60404,12.23864354,602912.2966,48.71922349,49263,1.485415023,8368.93,2.813510834,170087.984,10.628696,60454,3.575920845,170081.5232,11.86852417,47563
"KMOB20100613_111715",33227.92,"2010","06","13",0.478510469,24834.61,9.920804111,598998.3106,45.07637331,60378,12.20118255,598992.6547,49.71050195,49093,1.489227917,8393.31,2.947438209,178181.482,11.54858064,60453,3.747975551,178175.0097,12.90737734,47539
"KMOB20100613_112626",32466.68,"2010","06","13",0.484804285,23718.23,9.916905598,599020.7657,45.03926593,60404,12.14572903,599015.2101,49.57227823,49319,1.485779803,8748.45,3.053951641,184626.6465,11.61806023,60455,3.872150072,184620.2433,12.96075286,47679
"KMOB20100613_113537",30525.2,"2010","06","13",0.478251631,21470.79,9.135947591,551902.594,42.70383664,60410,11.15349252,551897.117,46.94535092,49482,1.487911489,9054.41,3.052845377,184565.8729,10.51509651,60457,3.845152478,184559.6286,11.67141609,47998
"KMOB20100613_114449",28414.09,"2010","06","13",0.47673893,19748.54,8.176261125,493903.4058,38.94213298,60407,9.982575942,493897.9273,42.8195239,49476,1.488366324,8665.55,2.880203275,174119.8088,10.41524051,60454,3.625100605,174113.5821,11.56882861,48030
"KMOB20100613_115400",27045.3,"2010","06","13",0.476915998,18425.19,7.935096429,479343.3051,39.08021497,60408,9.6492859,479337.9264,42.90314109,49676,1.487405173,8620.11,2.798823585,169202.8799,8.555479929,60455,3.531329576,169196.594,9.474730842,47913
"KMOB20100613_120311",26260.1,"2010","06","13",0.476578472,17637.14,7.895246293,476943.9333,41.09123195,60409,9.587090741,476938.5902,45.10122683,49748,1.486787239,8622.96,2.83338029,171294.8388,8.747936823,60456,3.578426251,171288.5294,9.694712688,47867
"KMOB20100613_121222",24259.73,"2010","06","13",0.479213741,16349.79,7.280704848,439900.1869,36.62014784,60420,8.831634219,439894.8688,40.16254525,49809,1.488859813,7909.94,2.888020462,174592.389,8.878028243,60454,3.670933497,174585.9262,9.864937367,47559
"KMOB20100613_122134",23412.07,"2010","06","13",0.477788247,15879.88,7.563868568,456940.8641,39.71363126,60411,9.176333838,456935.5435,43.57323856,49795,1.488488995,7532.19,3.046307222,184164.5031,10.70350188,60455,3.895048646,184157.9,11.96597907,47280
"KMOB20100613_123045",23146.23,"2010","06","13",0.476794468,15855.46,7.991653167,482544.0099,41.38764744,60381,9.604867272,482538.9269,45.20231554,50239,1.487318307,7290.77,2.97325604,179748.1939,8.853101275,60455,3.796101826,179741.6253,9.846274879,47349
"KMOB20100613_123956",23085.36,"2010","06","13",0.476976908,16200.23,7.883210165,476153.7772,39.31853992,60401,9.418432252,476148.8425,42.80865076,50555,1.486878011,6885.13,3.108171693,187907.6279,10.39159089,60456,3.970775021,187901.0448,11.59890698,47321
"KMOB20100613_124908",24538.09,"2010","06","13",0.478878909,17678.75,8.283012474,500219.4063,40.96048551,60391,9.831649014,500214.6385,44.45497308,50878,1.491949175,6859.34,3.325046873,201015.7087,10.27310587,60455,4.263272602,201009.0399,11.45955947,47149
"KMOB20100613_125819",24103.8,"2010","06","13",0.476695502,17748.8,8.528800501,515216.3095,42.0838078,60409,10.03959143,515211.7532,45.49315606,51318,1.487649398,6355,3.309626264,200080.1462,10.89159515,60454,4.260325032,200073.3841,12.19256767,46962
"KMOB20100614_100731",2703.15,"2010","06","14",0.478037668,2339.26,1.01504076,61361.24401,11.5146531,60452,1.31975835,61354.24593,13.11521032,46489,1.490044604,363.89,0.203849126,12323.49504,0.671676518,60454,0.300459616,12313.73643,0.797819237,40983
"KMOB20100614_101642",4344.43,"2010","06","14",0.476636977,3906.77,1.726845977,104372.2977,12.90676684,60441,2.203249935,104365.7462,14.54328207,47369,1.487920666,437.66,0.33855576,20468.06561,2.67160438,60457,0.490087134,20458.68739,3.203544061,41745
"KMOB20100614_102553",11738.96,"2010","06","14",0.476860545,11046.87,5.558813017,335919.0706,30.74917851,60430,6.875578637,335913.2699,34.06545999,48856,1.486973179,692.09,0.94428162,57085.60106,10.32842752,60454,1.377983135,57076.06146,12.45399012,41420
"KMOB20100614_103504",37240.2,"2010","06","14",0.477159229,32144.95,17.61860181,1063758.322,54.79649138,60377,20.9730576,1063753.482,59.19471455,50720,1.488524965,5095.25,4.409581556,266554.7955,18.92248392,60449,6.151255808,266546.2167,22.10863558,43332
"KMOB20100614_104415",41227.44,"2010","06","14",0.476635862,33419.62,15.64752408,943702.1772,57.85139716,60310,18.64388089,943697.3192,62.70432504,50617,1.487476644,7807.82,4.074096898,246291.3798,16.29562217,60453,5.283373256,246284.4443,18.38450547,46615
"KMOB20100614_105325",42226.74,"2010","06","14",0.476690901,34030.32,12.911305,779223.0792,48.58741215,60352,15.42700745,779218.1465,52.74402242,50510,1.486878465,8196.42,4.491345866,271528.8057,14.42941178,60456,5.810565728,271521.9259,16.17736016,46729
"KMOB20100614_110236",41325.93,"2010","06","14",0.476322547,32781.46,10.73826113,648633.9253,39.4366242,60404,12.82914993,648628.9911,42.79336316,50559,1.48668931,8544.47,4.688282843,283411.3861,14.02366958,60451,6.087387708,283404.4221,15.71126623,46556
"KMOB20100614_111147",39835.95,"2010","06","14",0.478814524,31511.14,10.82449265,653626.1642,42.70012038,60384,12.84380833,653621.4059,46.23337851,50890,1.488678537,8324.81,4.79536531,289899.0144,15.50127944,60454,6.229816204,289892.0374,17.41382773,46533
"KMOB20100614_112058",37285.21,"2010","06","14",0.477035687,29639.15,10.86326097,656173.5526,44.38736567,60403,12.78558486,656169.0008,47.89916372,51321,1.486854809,7646.06,4.734028824,286209.9147,17.62126993,60458,6.149744056,286202.9386,19.86638459,46539
"KMOB20100614_113009",35244.32,"2010","06","14",0.47685783,27928.45,10.47433871,632587.212,44.17785041,60394,12.27529488,632582.771,47.59380445,51533,1.486852087,7315.87,4.474284292,270479.434,15.31777625,60452,5.805500999,270472.486,17.22572343,46589
"KMOB20100614_113920",31868.86,"2010","06","14",0.477076139,25059.38,9.342955345,564454.6472,40.55215991,60415,10.92477331,564450.2628,43.65360599,51667,1.488827377,6809.48,4.249069822,256869.0179,12.88984211,60453,5.551850335,256861.9076,14.48669716,46266
"KMOB20100614_114831",33479.48,"2010","06","14",0.477301095,26955.13,9.197349361,555584.2829,38.86156826,60407,10.70688021,555580.0143,41.73662135,51890,1.487750833,6524.35,4.100206585,247882.0893,12.89145102,60456,5.38390235,247874.8642,14.53674441,46040
"KMOB20100614_115742",30622.37,"2010","06","14",0.476564361,24129.25,8.645096383,522129.2411,38.81737246,60396,10.0225565,522125.0808,41.63033408,52095,1.4896587,6493.12,4.051268962,244915.4138,12.38217077,60454,5.359272141,244908.0183,13.99344895,45698
"KMOB20100614_120653",28829.27,"2010","06","14",0.476759307,22761.64,8.527287543,514988.4766,38.94022451,60393,9.844103442,514984.4275,41.68400141,52314,1.487510011,6067.63,3.838198501,232034.4522,11.97129828,60454,5.08686151,232027.014,13.54956883,45613
"KMOB20100614_121604",29796.2,"2010","06","14",0.477174246,23854.19,9.248872537,558493.1682,42.36648072,60385,10.61080829,558489.2834,45.21942725,52634,1.488113092,5942.01,3.935104498,237896.7424,11.89321541,60455,5.214697973,237889.3068,13.44539448,45619
"KMOB20100614_122515",27930.66,"2010","06","14",0.478755922,22530.95,9.175554579,554304.4277,40.60774327,60411,10.48997244,554300.6337,43.26013824,52841,1.488454288,5399.71,3.855633575,233096.1834,11.33444013,60456,5.132528396,233088.6446,12.82454189,45414
"KMOB20100614_123426",28296.89,"2010","06","14",0.47958029,22881.51,9.973939045,602176.5699,43.29848404,60375,11.40111672,602172.7819,46.11688151,52817,1.490317591,5415.38,4.214689538,254790.6266,12.10019373,60453,5.64703535,254782.9409,13.71467102,45118
"KMOB20100614_124337",27363.31,"2010","06","14",0.476504936,22090.16,10.48818603,633182.2788,44.71820901,60371,11.97025356,633178.5324,47.58753502,52896,1.488840082,5273.15,4.458176922,269532.4604,12.56582065,60458,6.02801415,269524.5687,14.28444823,44712
"KMOB20100614_125248",27888.79,"2010","06","14",0.476829715,22958.77,11.57241296,698661.2879,48.78901705,60373,13.24670023,698657.4633,51.98654628,52742,1.487739658,4930.02,4.422701077,267352.2801,11.45443692,60450,6.045364343,267344.1473,13.02074113,44223
"KMOB20100615_100106",1685.92,"2010","06","15",0.488758369,1226.41,0.956224456,57797.07482,14.84919157,60443,1.527793617,57785.73797,18.74827617,37823,1.48516896,459.51,0.129595263,7834.552015,1.251405057,60454,0.197972234,7824.060662,1.543373015,39521
"KMOB20100615_101017",2130.25,"2010","06","15",0.486271052,1628.3,1.57214699,95006.41473,21.18448321,60431,2.390018069,94996.04817,26.08402456,39747,1.48562797,501.95,0.1690604,10220.54649,0.96807692,60455,0.263747047,10209.64817,1.1994618,38710
"KMOB20100615_101928",5640.67,"2010","06","15",0.478355168,5153.13,3.013215836,182115.7519,24.25447244,60439,4.31082835,182106.6328,28.91489594,42244,1.486386136,487.54,0.230983222,13964.09066,1.598499113,60455,0.370274325,13952.67712,2.011954218,37682
"KMOB20100615_102839",29053.82,"2010","06","15",0.485575098,27463.28,8.763375645,529386.7594,38.592988,60409,11.72697505,529379.1077,44.25378117,45142,1.484919989,1590.54,0.866501424,52383.47706,6.242049771,60454,1.298395882,52373.39467,7.604929083,40337
"KMOB20100615_103750",45845.12,"2010","06","15",0.486528666,35764.42,13.09612409,790560.627,46.87190483,60366,16.92580943,790553.7813,52.67497472,46707,1.485371553,10080.7,3.250640862,196517.4933,10.48573183,60455,4.447220676,196509.34,12.04616949,44187
"KMOB20100615_104701",43377.82,"2010","06","15",0.478267467,29313.71,12.68177361,765306.9923,49.96633169,60347,16.06728012,765300.6192,55.75640689,47631,1.486641331,14064.11,3.62615929,219204.9553,11.50113703,60451,4.616939842,219198.4529,12.80038804,47477
"KMOB20100615_105612",35302.72,"2010","06","15",0.485114852,23253.72,10.39717096,627396.4872,46.24470715,60343,12.9543168,627390.5171,51.29773681,48431,1.485346038,12049,2.966514801,179331.7528,8.802289381,60452,3.71983107,179325.6162,9.713777603,48208
"KMOB20100615_110524",31425.31,"2010","06","15",0.478459149,20903.26,9.774562367,589982.8099,44.66588696,60359,12.09886591,589976.9982,49.41009701,48763,1.486342551,10522.05,2.608771177,157702.8264,9.338352894,60451,3.257390577,157696.7926,10.33337711,48412
"KMOB20100615_111435",27205.8,"2010","06","15",0.478697237,17987.58,8.754987101,528678.6511,40.24663513,60386,10.83990137,528672.8298,44.53043267,48771,1.488939956,9218.22,2.414513568,145967.0032,10.21515536,60454,3.006158898,145961.0391,11.32017603,48554
"KMOB20100615_112347",23153.4,"2010","06","15",0.476814099,15161.18,8.114502574,490075.3829,39.73669942,60395,10.07564899,490069.491,44.05562341,48639,1.48784503,7992.22,2.151064396,130040.447,7.278936205,60454,2.666719723,130034.5871,8.019499484,48762
"KMOB20100615_113259",20797.53,"2010","06","15",0.476874862,13346.72,7.663901331,462700.379,39.04358403,60374,9.507161011,462694.5121,43.28447869,48668,1.488012799,7450.81,2.069087856,125090.8445,7.487722522,60457,2.560175022,125085.0312,8.253448076,48858
"KMOB20100615_114210",23307.53,"2010","06","15",0.477050624,15200.24,7.906223143,477267.0662,42.97163536,60366,9.82544481,477261.1562,47.70735771,48574,1.487032632,8107.29,2.10639176,127270.2966,12.44925081,60421,2.616401648,127264.3926,13.82696038,48641
"KMOB20100615_115122",22782.14,"2010","06","15",0.476768289,13663.81,7.346442524,443416.5778,41.53610326,60358,9.155322941,443410.6007,46.19009719,48432,1.486716856,9118.33,2.076569828,125507.8804,14.00399614,60440,2.591300424,125501.8621,15.60135813,48432
"KMOB20100615_120033",19751.93,"2010","06","15",0.47655545,12920.73,6.841479177,413170.6104,39.9678884,60392,8.557143126,413164.5416,44.53519163,48283,1.487394884,6831.2,1.739182299,105140.5267,9.138766994,60454,2.177282266,105134.4288,10.17879365,48287
"KMOB20100615_120944",15524.21,"2010","06","15",0.476653527,10247.05,6.71781778,405621.8375,39.70200543,60380,8.398363908,405615.7817,44.23225058,48297,1.486994178,5277.16,1.615387063,97651.76336,7.282873234,60451,2.028704173,97645.58923,8.110329312,48132
"KMOB20100615_121856",13010.09,"2010","06","15",0.476920405,8405.73,5.663895423,342127.603,34.95242528,60405,7.491464856,342120.217,40.02776503,45668,1.445243942,4604.36,1.403431981,84848.69073,6.041498058,60458,1.81534178,84841.81344,6.816811238,46736
"KMOB20100615_122427",12803.87,"2010","06","15",0.483457266,8592.15,5.499879178,332269.7007,32.31093016,60414,7.250521306,332262.3894,36.9276465,45826,1.43893349,4211.72,1.386856499,83843.79649,7.613261733,60456,1.81041517,83836.70569,8.654707691,46308
"KMOB20100615_122956",12578.25,"2010","06","15",0.485122582,8535,5.603689126,338502.0491,33.45387879,60407,7.404941462,338494.6841,38.2832657,45712,1.43969522,4043.25,1.360450883,82241.97676,7.337073922,60452,1.778627693,82234.85138,8.345217781,46235
"KMOB20100615_123525",12378.02,"2010","06","15",0.487454178,8728.58,5.604815632,338570.0979,33.30490259,60407,7.390264189,338562.783,38.07110825,45812,1.440065326,3649.44,1.240916159,75015.86363,3.933513871,60452,1.631756971,75008.60443,4.439626438,45968
"KMOB20100615_124056",12546.73,"2010","06","15",0.485965697,9081.67,6.096674565,368287.9171,34.99117461,60408,8.017081317,368280.6645,39.93367269,45937,1.440113638,3465.06,1.326721597,80205.62745,8.006865702,60454,1.754884747,80198.23293,9.168244622,45700
"KMOB20100615_124625",12236.87,"2010","06","15",0.484295902,8940.8,6.35700835,384077.7305,36.8959361,60418,8.416688288,384070.3199,42.25027765,45632,1.440917369,3296.07,1.312752321,79359.81605,7.492485373,60453,1.743087906,79352.33383,8.590537405,45524
"KMOB20100615_125154",12683.48,"2010","06","15",0.488187448,9269.73,6.640135643,401037.6323,40.16076293,60396,8.80572192,401030.1877,46.0422576,45542,1.44421734,3413.75,1.345206893,81331.20878,5.5783522,60460,1.784589557,81323.7461,6.36412871,45570
"KMOB20100615_125723",12506.75,"2010","06","15",0.488201273,8974.81,6.792872735,410316.6847,40.52197836,60404,8.997023739,410309.2676,46.42259847,45605,1.439573796,3531.94,1.457498987,88114.55876,8.060751479,60456,1.93876192,88107.03543,9.246922194,45445
"KMOB20100616_100542",32010.35,"2010","06","16",0.487320995,16191.02,1.676635056,101206.7219,22.39508571,60363,2.227537103,101199.2381,25.79069264,45431,1.48673399,15819.33,0.88447001,53390.14771,19.66675306,60364,1.259078305,53381.14288,23.45684715,42397
