"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KGRK20110701_100413_V03",3196.26,"2011","07","01",0.581481946,2594.65,2.163024969,54583.93508,8.873387348,25235,2.861381272,54580.84777,10.10778478,19075,1.594481058,601.61,0.425181308,10734.12731,3.428213481,25246,0.872591177,10727.63594,4.872895943,12294
"KGRK20110701_101353_V03",2783.53,"2011","07","01",0.585973269,2307.95,2.071160932,52269.88845,8.9476071,25237,2.8047534,52266.57961,10.31345789,18635,1.59065721,475.58,0.308039731,7776.771053,2.371784984,25246,0.654652176,7770.066671,3.426255886,11869
"KGRK20110701_102332_V03",2124.76,"2011","07","01",0.585910582,1746.57,1.758561064,44380.80558,10.33666937,25237,2.624283394,44376.6322,12.53765673,16910,1.595448636,378.19,0.201497619,5086.605895,1.018981281,25244,0.439386571,5079.74815,1.470686649,11561
"KGRK20110701_103311_V03",1398.2,"2011","07","01",0.585978346,1133.7,1.23824369,31250.79426,7.066792707,25238,2.178437832,31245.33382,9.264376201,14343,1.594867852,264.5,0.10849035,2739.05587,0.283510191,25247,0.258536621,2731.69794,0.391598614,10566
"KGRK20110701_104250_V03",1091.18,"2011","07","01",0.586406038,865.37,0.772291703,19491.098,6.226875357,25238,1.546778002,19484.76249,8.745788164,12597,1.596126846,225.81,0.079268462,2001.370126,0.523069592,25248,0.219281842,1993.271942,0.854027352,9090
"KGRK20110701_105229_V03",1019.22,"2011","07","01",0.584994111,817.11,0.592385708,14949.44572,3.993092974,25236,1.391653069,14942.17901,6.030445595,10737,1.594139058,202.11,0.053267794,1344.745469,0.153645249,25245,0.200275182,1335.434914,0.24497473,6668
"KGRK20110701_110209_V03",2263.69,"2011","07","01",0.585290994,2126.24,2.365025004,59688.50104,16.60933085,25238,5.845344681,59680.9692,25.72189569,10210,1.596478139,137.45,0.031650401,799.0776789,0.105016643,25247,0.173531815,788.7021008,0.191619314,4545
"KGRK20110701_111148_V03",6159.14,"2011","07","01",0.585834121,6061.82,6.980966698,176073.9421,45.43227032,25222,16.0177229,176066.8102,67.76211471,10992,1.595110481,97.32,0.025260101,637.6659945,0.259998803,25244,0.178112447,626.7777019,0.676679732,3519
"KGRK20110701_112127_V03",16762.79,"2011","07","01",0.584819272,15834.9,10.19049265,257106.1295,44.17076765,25230,16.03377119,257101.5211,54.55487435,16035,1.597085501,927.89,0.541235971,13663.50209,5.408001816,25245,1.766915475,13654.72279,9.663462708,7728
"KGRK20110701_113105_V03",22943.67,"2011","07","01",0.585903108,21039.74,11.61175347,293034.2106,56.77973506,25236,15.32349249,293031.1468,64.78967758,19123,1.594551495,1903.93,0.948880194,23956.37826,7.555500466,25247,1.869790342,23950.1445,10.52618132,12809
