"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KLIX20110701_100159_V03",32761.81,"2011","07","01",0.572424015,18508.47,5.175769177,392344.0067,41.83344117,75804,5.380378242,392342.5618,42.63949232,72921,1.539187526,14253.34,2.239161647,169786.6711,33.41252282,75826,2.696679145,169780.2223,36.65141134,62959
"KLIX20110701_100745_V03",31386.19,"2011","07","01",0.573050525,17380.5,4.981022393,377835.4536,38.38003903,75855,5.168304597,377834.0759,39.08261062,73106,1.553743868,14005.69,2.215628817,167993.4082,32.4131542,75822,2.703530142,167986.5489,35.78692648,62136
"KLIX20110701_101331_V03",31349.47,"2011","07","01",0.572521207,18395.32,4.294824763,325809.7014,37.18458319,75861,4.52881857,325807.7367,38.17035976,71941,1.537731346,12954.15,1.952311635,148106.2653,30.68904112,75862,2.430358978,148098.785,34.22475851,60937
"KLIX20110701_101918_V03",27089.28,"2011","07","01",0.572442518,13783.52,3.335250481,252645.2239,31.83223501,75750,3.532185595,252643.1069,32.74808186,71526,1.534999121,13305.76,2.014485734,152522.7584,33.5349478,75713,2.541533566,152514.8878,37.65046636,60009
"KLIX20110701_102505_V03",40063.19,"2011","07","01",0.572716025,18612.67,5.209149838,393858.6101,44.61684821,75609,5.580516147,393856.0881,46.15759122,70577,1.554918787,21450.52,3.301912254,249773.1525,42.96038007,75645,4.230219192,249764.8318,48.58631224,59043
"KLIX20110701_103050_V03",53874.24,"2011","07","01",0.583072068,32164.44,8.498148659,642324.0682,56.39646253,75584,9.107455779,642321.5337,58.33584735,70527,1.542099105,21709.8,3.461841431,261708.2885,38.90174357,75598,4.474723192,261699.7112,44.17767709,58484
"KLIX20110701_103636_V03",59548.38,"2011","07","01",0.572842363,34807.98,12.1347735,916041.9166,62.9957359,75489,13.11362402,916039.0924,65.38929807,69854,1.5339641,24740.4,5.025240538,379365.4587,42.77731829,75492,6.622840975,379356.331,49.00142684,57280
"KLIX20110701_104224_V03",90629.56,"2011","07","01",0.571878615,53131.55,18.46235114,1391839.728,73.6385381,75388,19.53291873,1391837.657,75.60539594,71256,1.533548369,37498.01,8.273318153,624015.0217,50.06399622,75425,10.68961844,624006.4765,56.6802505,58375
"KLIX20110701_104810_V03",105066.28,"2011","07","01",0.582628769,63940.15,15.30016825,1153984.59,63.54441634,75423,15.99976343,1153982.937,64.89483509,72125,1.551339068,41126.13,7.892510107,595545.1352,48.34345926,75457,9.867735365,595537.5647,53.87522843,60352
"KLIX20110701_105358_V03",124895.3,"2011","07","01",0.572786304,72720,18.32018757,1380645.976,66.44853043,75362,18.91993996,1380644.778,67.44341513,72973,1.537998959,52175.3,9.449396698,713155.4182,54.39634509,75471,11.01373022,713150.0454,58.58002289,64751
