fname,sum_birds,year,month,day,LO_elevation,LO_birds,LO_MeanZ,LO_SumZ,LO_SDZ,LO_Volumes,LO_MeanZ_m33,LO_SumZ_m33,LO_SDZ_m33,LO_Volumes_m33,HI_elevation,HI_birds,HI_MeanZ,HI_SumZ,HI_SDZ,HI_Volumes,HI_MeanZ_m33,HI_SumZ_m33,HI_SDZ_m33,HI_Volumes_m33
KMOB20100614_100731,321.85,2010,6,14,0.47820368,70.01,0.014723896,97.57525633,0.208120194,6627,2.095032044,94.27644196,1.437497295,45,1.49024177,251.84,0.05833437,387.1068816,0.324480552,6636,1.505524729,383.9088059,0.750798129,255
KMOB20100614_101642,277.92,2010,6,14,0.47639455,49.42,0.010666506,70.66560293,0.162778766,6625,1.981243467,67.36227788,1.138934507,34,1.488021448,228.5,0.052429728,347.3469459,0.297169084,6625,1.398983222,344.1498725,0.704827953,246
KMOB20100614_102553,313.32,2010,6,14,0.476917813,75.8,0.015646667,103.7530495,0.240283801,6631,2.51124311,100.4497244,1.840845378,40,1.487209564,237.52,0.054286435,360.0276348,0.305950228,6632,1.399339466,356.8315638,0.74483226,255
KMOB20100614_103504,1302.92,2010,6,14,0.477645708,1092.04,0.238395266,1579.130241,1.104577109,6624,2.708079154,1576.102068,2.685111137,582,1.488776058,210.88,0.047713275,315.9095962,0.253453176,6621,1.198168756,312.7220454,0.502442691,261
KMOB20100614_104415,5413.41,2010,6,14,0.476529288,5197.75,1.174819401,7785.528172,2.663772628,6627,3.616768289,7783.285359,3.60872535,2152,1.487516979,215.66,0.048415,320.6525471,0.249364932,6623,1.167167305,317.469507,0.457644092,272
KMOB20100614_105325,7713.18,2010,6,14,0.476562463,6815.32,1.498490123,9924.500087,2.673220453,6623,3.422778084,9922.633665,3.121107146,2899,1.48671396,897.86,0.167029917,1107.575382,0.643018186,6631,1.89784141,1104.543701,1.195278908,582
KMOB20100614_110236,7083.79,2010,6,14,0.476446126,6872.28,1.592771659,10547.33392,2.990150899,6622,3.971881625,10545.34571,3.585168182,2655,1.486903441,211.51,0.047643488,315.7333975,0.241028432,6627,1.096683748,312.5548681,0.4487962,285
KMOB20100614_111147,5228.67,2010,6,14,0.478728502,5099.54,1.251234429,8290.679329,2.533300032,6626,3.588102253,8288.516205,3.166397212,2310,1.488673994,129.13,0.028535304,189.0463916,0.183065324,6625,1.099471756,185.8107268,0.370719733,169
KMOB20100614_112058,5152.19,2010,6,14,0.477072423,5027.38,1.294055573,8569.236005,3.361078826,6622,4.525549863,8566.865891,4.990251453,1893,1.486903626,124.81,0.025982526,172.3680768,0.172629249,6634,1.070394863,169.1223883,0.36675791,158
KMOB20100614_113009,3719.11,2010,6,14,0.476774962,3623.04,0.932955907,6179.899928,2.930026451,6624,3.832126537,6177.387977,4.917182518,1612,1.486908677,96.07,0.019805636,131.2717562,0.159169419,6628,1.185222365,128.0040155,0.41893802,108
KMOB20100614_113920,2479.58,2010,6,14,0.477072097,2403.94,0.608436703,4031.501591,1.808884584,6626,3.182318505,4028.815228,2.990017544,1266,1.488673994,75.64,0.016159659,107.0577434,0.152292341,6625,1.179335028,103.7814825,0.615558672,88
KMOB20100614_114831,2031.2,2010,6,14,0.477284877,1987.83,0.538414711,3565.920629,1.602708597,6623,3.082336192,3563.180638,2.62303927,1156,1.487972527,43.37,0.009715196,64.36317251,0.123392309,6625,1.24627276,61.06736526,0.727035066,49
