"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KPOE20130709_110206",4648.95,"2013","07","09",0.475603386,4562.83,4.443928114,23659.47328,13.03659299,5324,5.631733026,23658.91044,14.44660823,4201,1.49045047,86.12,0.08976953,477.6636688,0.779567051,5321,0.677134879,475.348685,2.052832556,702
"KPOE20130709_111149",5031.25,"2013","07","09",0.475340386,4342.35,4.628220029,24626.75877,6.511360517,5321,4.67921902,24626.7297,6.52889633,5263,1.490332465,688.9,0.770203591,4099.023514,2.19318114,5322,1.696012858,4097.567064,3.004606334,2416
"KPOE20130709_112133",5025.88,"2013","07","09",0.477731387,4176.03,4.543283432,24183.89771,5.486895417,5323,4.548409761,24183.8947,5.48786685,5317,1.48767553,849.85,1.004280582,5346.78982,1.703229501,5324,1.426360712,5345.999949,1.875944824,3748
"KPOE20130709_113116",5582.34,"2013","07","09",0.475027607,4705.15,5.225932772,27812.41421,5.581059112,5322,5.226914811,27812.41371,5.581123742,5321,1.490383367,877.19,1.026683554,5462.983193,1.740156868,5321,1.302436422,5462.418355,1.866268184,4194
"KPOE20130709_114101",6042.82,"2013","07","09",0.478359425,5062.9,6.154360521,32753.50669,6.9934263,5322,6.154360521,32753.50669,6.9934263,5322,1.488436463,979.92,1.098955543,5850.839308,1.421225201,5324,1.327820976,5850.379218,1.461840207,4406
"KPOE20130709_115044",6723.21,"2013","07","09",0.475791406,5561.45,7.126855428,37929.12459,8.266189677,5322,7.126855428,37929.12459,8.266189677,5322,1.490017398,1161.76,1.237696483,6588.258376,1.549113783,5323,1.435583026,6587.890505,1.581020857,4589
"KPOE20130709_120026",7543.19,"2013","07","09",0.475843273,6225.85,7.974251664,42454.91586,8.467809936,5324,7.975749645,42454.91536,8.467899928,5323,1.489885822,1317.34,1.380870415,7350.373219,1.798232776,5323,1.534148734,7350.106587,1.832392033,4791
"KPOE20130709_121010",6908.52,"2013","07","09",0.475957218,5487.38,7.170641058,38154.98107,7.860376071,5321,7.207209584,38154.96754,7.863656664,5294,1.487542532,1421.14,1.469604352,7821.234363,1.752179074,5322,1.571125342,7821.061955,1.767158545,4978
"KPOE20130709_121953",6885.95,"2013","07","09",0.49086008,5435.63,7.082494156,37700.11639,7.80641281,5323,7.12667294,37700.09985,7.810596854,5290,1.489753938,1450.32,1.495436586,7958.71351,1.83979476,5322,1.595858354,7958.545613,1.857962706,4987
"KPOE20130709_122937",6855.43,"2013","07","09",0.47691989,5297.47,6.598118502,35108.58855,6.074815224,5321,6.664495442,35108.56199,6.06896255,5268,1.488970467,1557.96,1.552586096,8264.415787,1.820161926,5323,1.660486714,8264.242376,1.834176817,4977
"KPOE20130709_123920",6777.15,"2013","07","09",0.476014709,5162.62,6.421603658,34182.19627,6.230924218,5323,6.471445612,34182.17572,6.229225587,5282,1.488135509,1614.53,1.540154236,8196.700844,1.893639269,5322,1.650860407,8196.52192,1.913378116,4965
"KPOE20130709_124903",6873.52,"2013","07","09",0.476347002,5247.48,6.440263261,34281.52134,6.656768479,5323,6.460895744,34281.51282,6.657420533,5306,1.490490732,1626.04,1.515685011,8064.959946,1.802058644,5321,1.636186545,8064.763481,1.818952967,4929
"KPOE20130709_125845",5619.44,"2013","07","09",0.475895277,3960.54,4.874485002,25937.1347,4.575859091,5321,4.88550173,25937.12868,4.575149835,5309,1.488524118,1658.9,1.5076107,8023.504145,1.959191932,5322,1.671857059,8023.242024,1.995561399,4799
