"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KFWS20110624_100430",297.24,"2011","06","24",0.544320428,291.57,0.028584756,286.4478355,0.23564008,10021,1.599509359,281.5136471,0.808083633,176,1.560974212,5.67,0.000824897,8.274540944,0.019866665,10031,0.812284138,3.249136553,0.66427129,4
"KFWS20110624_101406",161.5,"2011","06","24",0.54571318,157.22,0.018439925,184.6389712,0.198140924,10013,1.426061374,179.6837331,1.059175495,126,1.5589513,4.28,0.000580542,5.817609235,0.005616823,10021,0.398107171,0.796214341,0,2
"KFWS20110624_102341",155.72,"2011","06","24",0.54420227,146.49,0.019255423,193.1126354,0.283585394,10029,1.63603361,188.1438652,2.099216281,115,1.559612432,9.23,0.001199159,12.01797119,0.03633599,10022,1.749269372,6.997077488,0.578183824,4
"KFWS20110624_103319",96.07,"2011","06","24",0.546101016,92.12,0.016163805,162.1229668,0.141074436,10030,0.840587063,157.1897808,0.613834582,187,1.559650941,3.95,0.000501187,5.017886583,0,10012,NA,0,NA,0
"KFWS20110624_104255",118.9,"2011","06","24",0.545791311,114.49,0.023201667,232.5503132,0.168685046,10023,0.862345557,227.659227,0.598618908,264,1.558902254,4.41,0.000585448,5.862677346,0.005971889,10014,0.422395381,0.844790763,0.034348717,2
"KFWS20110624_105231",92.32,"2011","06","24",0.546046392,88.15,0.014489345,145.1397653,0.142377182,10017,0.922339166,140.1955533,0.70864862,152,1.560994872,4.17,0.000557744,5.585804179,0.004028254,10015,0.283708205,0.567416409,0.045989605,2
"KFWS20110624_110208",353.91,"2011","06","24",0.545328309,347.93,0.047647898,477.1936957,0.430624927,10015,1.490010037,472.3331819,1.929064887,317,1.559963146,5.98,0.000919197,9.204835974,0.013011428,10014,0.381041825,4.191460076,0.101980496,11
"KFWS20110624_111144",2628.81,"2011","06","24",0.546647436,2621.76,0.404175479,4047.817417,2.359645594,10015,4.24713777,4043.275157,6.503327945,952,1.560052018,7.05,0.001188498,11.91350273,0.02617246,10024,0.689461377,6.894613769,0.485776079,10
"KFWS20110624_112121",4413.35,"2011","06","24",0.546703958,4393.86,0.666444854,6673.112322,3.188296296,10013,3.899971324,6668.950964,6.850952586,1710,1.560025142,19.49,0.003819044,38.25536695,0.066539589,10017,0.831375548,33.25502192,0.657153724,40
"KFWS20110624_113057",4055.76,"2011","06","24",0.546167819,3947.84,0.604227007,6051.937703,1.987422756,10016,2.122226735,6048.346195,3.265405224,2850,1.56165487,107.92,0.018517316,185.4324072,0.164429627,10014,0.955070067,180.5082427,0.735699576,189
"KFWS20110624_114034",3248.99,"2011","06","24",0.545654663,3033.74,0.399486882,4000.86112,1.143223216,10015,1.628135293,3997.072144,1.825563969,2455,1.561346525,215.25,0.031634684,317.0744407,0.234013472,10023,1.156245784,312.1863616,0.857704548,270
"KFWS20110624_115010",1041.27,"2011","06","24",0.545594523,842.37,0.105549666,1057.291004,0.479428311,10017,1.344397243,1052.663041,1.130030545,783,1.561179054,198.9,0.02855464,286.0032715,0.217391649,10016,1.156811394,281.1051687,0.803604434,243
"KFWS20110624_115946",728.95,"2011","06","24",0.54620802,530.12,0.061748566,618.2883918,0.365118931,10013,1.36030164,613.4960395,1.093774739,451,1.560873737,198.83,0.027098914,271.3685239,0.239510191,10014,1.440228944,266.4423546,1.037373344,185
"KFWS20110624_120922",625.57,"2011","06","24",0.546820859,535.05,0.055651003,557.7343492,0.343927203,10022,1.498364197,552.8963888,1.026733837,369,1.560300528,90.52,0.013211901,132.2907635,0.147260503,10013,0.890517801,127.3440455,0.861786468,143
"KFWS20110624_121859",630.72,"2011","06","24",0.544849269,583.55,0.058713847,588.1366025,0.368188363,10017,1.519032984,583.3086659,1.149707592,384,1.561734242,47.17,0.007903682,79.15537138,0.089950438,10015,0.623492626,74.19562252,0.547620407,119
"KFWS20110624_122836",475.28,"2011","06","24",0.544931959,451.47,0.043350199,434.4990483,0.296383552,10023,1.591151738,429.6109692,0.895302865,270,1.560553587,23.81,0.004481828,44.91239602,0.055360623,10021,0.518553119,39.92859017,0.36640103,77
"KFWS20110624_123813",518.08,"2011","06","24",0.544565354,495.96,0.046931438,470.0183525,0.306085527,10015,1.472016891,465.1573375,0.935256317,316,1.561200444,22.12,0.004479633,44.86800646,0.044926517,10016,0.419955031,39.89572791,0.19727624,95
"KFWS20110624_124750",386.55,"2011","06","24",0.54507782,370.2,0.037285716,373.5283001,0.272265364,10018,1.468658185,368.6332044,0.927519507,251,1.562750387,16.35,0.00332618,33.34828025,0.037948453,10026,0.436245449,28.35595422,0.184353473,65
"KFWS20110624_125727",548.1,"2011","06","24",0.54559493,527.72,0.053280594,534.084678,0.340580416,10024,1.594057745,529.2271713,1.024552555,332,1.559743978,20.38,0.004129534,41.38618512,0.040598079,10022,0.409077442,36.40789233,0.142677928,89
"KFWS20110625_100745",40.12,"2011","06","25",0.545213674,35.65,0.006485346,64.95074328,0.172347314,10015,1.30335669,59.95440775,2.209718742,46,1.561764068,4.47,0.000590864,5.918684549,0.006387829,10017,0.449647202,0.899294404,0.072888612,2
"KFWS20110625_101721",48.49,"2011","06","25",0.545181177,38.76,0.006914812,69.25875324,0.117813045,10016,1.212555186,64.26542483,1.08803253,53,1.559161974,9.73,0.001444253,14.47574758,0.025424292,10023,0.591272933,9.460366935,0.245343438,16
"KFWS20110625_102657",47.48,"2011","06","25",0.545469929,30.67,0.00627956,62.86467271,0.105224374,10011,1.157446934,57.87234668,0.950193328,50,1.559209147,16.81,0.002629989,26.3446025,0.057790453,10017,0.969783459,21.3352361,0.781543552,22
"KFWS20110625_103633",77.25,"2011","06","25",0.544129973,58.09,0.00999848,100.0947848,0.152310323,10011,1.378434513,95.11198137,1.225399028,69,1.55977228,19.16,0.002306005,23.09463712,0.065059293,10015,0.861227234,18.08577191,1.158903818,21
"KFWS20110625_104609",71.99,"2011","06","25",0.544879367,63.24,0.010682411,107.1232197,0.213072404,10028,1.309441112,102.1364067,2.046931546,78,1.559990025,8.75,0.001247441,12.49187891,0.026615955,10014,0.67986391,7.478503011,0.449667209,11
"KFWS20110625_105547",127.67,"2011","06","25",0.545278733,121.2,0.020048872,200.9698925,0.35973663,10024,2.278942951,195.9890938,3.170562443,86,1.559081629,6.47,0.000854499,8.556957241,0.016206843,10014,0.708114844,3.540574219,0.178673472,5
"KFWS20110625_112436",3653.24,"2011","06","25",0.545675671,3261.44,0.512301879,5134.801738,2.975199154,10023,4.750295945,5130.319621,7.878412788,1080,1.560233015,391.8,0.071010238,711.1675298,0.585147459,10015,1.945812867,706.3300706,2.411345573,363
"KFWS20110625_113413",2444.07,"2011","06","25",0.545699251,1829.69,0.295278069,2958.686256,1.793617787,10020,2.876513222,2954.179079,4.897354739,1027,1.561063334,614.38,0.100498242,1006.590387,0.633795917,10016,1.698078299,1001.866196,2.028200608,590
"KFWS20110625_114349",1883.77,"2011","06","25",0.544334489,724.42,0.117693532,1178.583034,0.699459403,10014,1.360366941,1173.99667,1.997805574,863,1.560966623,1159.35,0.181682241,1819.002597,0.962462682,10012,2.080758882,1814.421745,2.586869127,872
"KFWS20110625_115326",1721.6,"2011","06","25",0.544787465,466.64,0.071270809,714.2047732,0.333892741,10021,1.028301732,709.5281952,0.797641522,690,1.560372943,1254.96,0.186815156,1870.580162,0.982678959,10013,2.16221819,1865.994298,2.634531279,863
"KFWS20110625_120303",1635.04,"2011","06","25",0.545292255,610.09,0.081480566,815.9463883,0.351453806,10014,1.131501884,811.2868505,0.733584197,717,1.560497893,1024.95,0.146881327,1471.16337,0.841114393,10016,2.068404543,1466.498821,2.455283011,709
"KFWS20110625_121239",1393,"2011","06","25",0.544655856,687.19,0.086642293,867.7225662,0.357253085,10015,1.161609096,863.0755581,0.687496343,743,1.559974683,705.81,0.099554182,997.1346821,0.545064636,10016,1.499164013,992.4465767,1.54940689,662
