"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KFWS20130701_100748_V06",75.03,"2013","07","01",0.497354328,62.08,0.010692481,103.257293,0.132466572,9657,0.965376951,98.46844898,0.864481352,102,1.489274333,12.95,0.003003662,29.0183785,0.035612434,9661,0.456659841,24.20297156,0.157105668,53
"KFWS20130701_101723_V06",36.72,"2013","07","01",0.499530056,31.8,0.006852073,66.16361959,0.075107085,9656,0.70537654,61.36775895,0.367710515,87,1.489208266,4.92,0.000860501,8.310714812,0.012035533,9658,0.386084355,3.474759195,0.088057644,9
"KFWS20130701_102658_V06",34.43,"2013","07","01",0.497006749,30.83,0.006787021,65.52868842,0.097608186,9655,0.855286056,60.72530997,0.760469217,71,1.489666483,3.6,0.000501187,4.841468677,0,9660,NA,0,NA,0
"KFWS20130701_103633_V06",45.22,"2013","07","01",0.496288937,41.62,0.00889041,85.82801461,0.09909917,9654,0.757412898,81.04318009,0.56781765,107,1.489421154,3.6,0.000501187,4.842972239,0,9663,NA,0,NA,0
"KFWS20130701_104608_V06",48.12,"2013","07","01",0.497060237,43.48,0.011095562,107.1387514,0.092202731,9656,0.631978271,102.3804798,0.33957056,162,1.490117707,4.64,0.000723669,6.990642652,0.015685953,9660,1.075088175,2.15017635,0.259985114,2
"KFWS20130701_105543_V06",144.52,"2013","07","01",0.498400248,140.92,0.035665816,344.3891195,0.1658314,9656,0.689242882,339.7967408,0.297657339,493,1.489563273,3.6,0.000501187,4.841468677,0,9660,NA,0,NA,0
"KFWS20130701_110517_V06",479.72,"2013","07","01",0.499763015,475.6,0.105990997,1023.449062,0.288615028,9656,0.776880454,1019.267156,0.303644118,1312,1.490098072,4.12,0.000653895,6.317935527,0.006722446,9662,0.295594082,1.477970411,0.01883589,5
"KFWS20130701_111452_V06",630.86,"2013","07","01",0.497787409,599.66,0.116959202,1129.124137,0.311629873,9654,0.837646143,1124.95877,0.307840299,1343,1.489542702,31.2,0.008475179,81.85327472,0.070942046,9658,0.4356018,77.10151856,0.298740504,177
"KFWS20130701_112427_V06",2153.13,"2013","07","01",0.497501408,2064.54,0.299264122,2889.694362,1.081064701,9656,1.614857593,2885.750519,2.047656024,1787,1.490093524,88.59,0.023721488,229.1970125,0.109111828,9662,0.476837793,224.5906006,0.168594194,471
"KFWS20130701_113402_V06",4139.09,"2013","07","01",0.496694443,4016.16,0.574794292,5550.21368,1.64210175,9656,2.265768432,5546.601122,2.609091435,2448,1.489576163,122.93,0.031996496,309.054154,0.12707694,9659,0.494353763,304.5219178,0.157766445,616
"KFWS20130701_114336_V06",3423.8,"2013","07","01",0.499184742,3267.76,0.496234565,4791.640958,1.710076886,9656,2.558919944,4787.739216,3.133488162,1871,1.489740465,156.04,0.038600813,372.9610582,0.142296339,9662,0.51970935,368.4739289,0.161705822,709
"KFWS20130701_115311_V06",1649.47,"2013","07","01",0.497738729,1505.22,0.241444304,2332.110537,0.864979312,9659,1.881883216,2327.889538,1.660571662,1237,1.489506123,144.25,0.03333776,322.0427598,0.131525037,9660,0.50003078,317.519545,0.173359017,635
"KFWS20130701_120246_V06",670.99,"2013","07","01",0.497796091,570.88,0.096110102,928.0391491,0.522664816,9656,1.679046069,923.4753381,1.4636908,550,1.490117839,100.11,0.022496664,217.3402709,0.106696506,9661,0.50049719,212.7113056,0.140723659,425
"KFWS20130701_121221_V06",451.75,"2013","07","01",0.497766356,375.64,0.075062053,724.6490608,0.67222062,9654,2.033864462,719.9880196,2.891834912,354,1.48921469,76.11,0.016130892,155.8244142,0.091415113,9660,0.497155613,151.1353064,0.163411014,304
"KFWS20130701_122156_V06",455.6,"2013","07","01",0.498126226,385,0.082550954,797.1945608,0.640197097,9657,2.24513177,792.5315148,2.524878028,353,1.489481016,70.6,0.014779637,142.7860716,0.08974308,9661,0.505790937,138.0809259,0.192390081,273
"KFWS20130701_123131_V06",262.27,"2013","07","01",0.498531806,192.25,0.043263259,417.7067695,0.443783137,9655,2.034332748,412.9695478,2.311447822,203,1.489343421,70.02,0.014371301,138.7836505,0.094857294,9657,0.521682843,134.0724905,0.271947577,257
"KFWS20130701_124107_V06",139.53,"2013","07","01",0.499145204,71.39,0.015414694,148.8442833,0.207810478,9656,1.500551389,144.0529333,1.462104517,96,1.491140477,68.14,0.014962428,144.5669791,0.090166994,9662,0.492488892,139.8668453,0.204391873,284
