"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KDGX20110628_100852",1332.22,"2011","06","28",0.486184558,1000.55,0.132984712,1385.7007,0.702202806,10420,2.282283549,1380.781547,1.895634381,605,1.487614527,331.67,0.058886735,613.4820006,0.302624534,10418,1.24438796,608.5057126,0.69085343,489
"KDGX20110628_101827",2731.09,"2011","06","28",0.487603836,2366.82,0.379420143,3953.937312,1.668685363,10421,3.761181606,3949.240687,3.863864594,1050,1.489313938,364.27,0.063600713,662.5922291,0.302670682,10418,1.182822879,657.6495206,0.627525612,556
"KDGX20110628_102802",3828.75,"2011","06","28",0.49056733,3554.26,0.536410905,5589.938036,2.613459987,10421,4.74940864,5585.30456,6.367604939,1176,1.487164802,274.49,0.048238191,502.7384218,0.228173594,10422,1.001537502,497.7641385,0.37099947,497
"KDGX20110628_103737",4873.99,"2011","06","28",0.479126738,4638.08,0.782507445,8153.727573,3.98170501,10420,6.830765397,8149.103118,9.860533407,1193,1.489963817,235.91,0.041195326,429.2552947,0.207586593,10420,0.966407619,424.2529449,0.359658295,439
"KDGX20110628_104712",4406.81,"2011","06","28",0.488443944,4166.62,0.677448018,7057.653452,3.316689646,10418,6.814445229,7052.950812,8.304570147,1035,1.488082856,240.19,0.040992244,427.1391858,0.22253716,10420,1.082339174,422.1122779,0.443798001,390
"KDGX20110628_105647",3924.28,"2011","06","28",0.488541557,3792.06,0.477693178,4977.562918,2.117504606,10420,4.10987354,4972.946984,4.868540056,1210,1.488277911,132.22,0.022602156,235.5144676,0.156631009,10420,0.929098351,230.4163911,0.435533371,248
"KDGX20110628_110622",3582.44,"2011","06","28",0.488112437,3498.7,0.410846722,4281.022838,1.908695752,10420,3.617929671,4276.392871,4.530900121,1182,1.488373883,83.74,0.012719919,132.5542757,0.117099372,10421,0.979973522,127.3965579,0.390983862,130
"KDGX20110628_111557",2548.32,"2011","06","28",0.487460711,2275.81,0.295943517,3083.435499,1.689096727,10419,3.522484745,3078.651667,4.761321387,874,1.488128721,272.51,0.04298894,447.9447534,0.365823814,10420,1.598776936,442.8612113,1.598869619,277
"KDGX20110628_112532",1888.72,"2011","06","28",0.491541965,1515.69,0.166691709,1736.760915,0.823146114,10419,2.577196195,1731.875843,2.073549509,672,1.487054865,373.03,0.05776615,601.9232787,0.395067716,10420,1.690872031,596.8778268,1.360675524,353
"KDGX20110628_113507",1909.23,"2011","06","28",0.4754576,1654.47,0.151419659,1577.79285,0.943046352,10420,3.304220681,1572.809044,3.011554722,476,1.488330598,254.76,0.042417579,441.9487544,0.358698226,10419,1.812645937,436.8476708,1.537475718,241
"KDGX20110628_114442",1658.39,"2011","06","28",0.47552093,1544.33,0.144396083,1504.318397,0.84498781,10418,2.998695243,1499.347622,2.516045674,500,1.490230192,114.06,0.016445311,171.3436947,0.187530912,10419,1.483731767,166.1779579,1.051083893,112
"KDGX20110628_115417",2905.65,"2011","06","28",0.487204276,2700.93,0.210222634,2190.730074,6.99045867,10421,4.469841067,2185.752282,32.00536689,489,1.490512079,204.72,0.025014431,260.6503725,0.20760938,10420,1.43548996,255.5172128,0.708309024,178
"KDGX20110628_120352",2308.98,"2011","06","28",0.475728249,1929.46,0.167585018,1746.403477,0.905134656,10421,3.304449204,1741.444731,2.417825614,527,1.486586602,379.52,0.042243129,440.2578878,0.31616998,10422,1.900215224,435.1492863,1.011853415,229
"KDGX20110628_121327",1873.76,"2011","06","28",0.489399798,1576.02,0.139869335,1457.438474,0.801081922,10420,3.083762553,1452.452163,2.264921739,471,1.486723457,297.74,0.035340575,368.2841335,0.246397325,10421,1.458578542,363.1860569,0.683600342,249
"KDGX20110628_122302",2473.69,"2011","06","28",0.479010338,2129.81,0.180256636,1878.093888,1.013530551,10419,3.799430229,1873.119103,2.82396139,493,1.490431948,343.88,0.042576946,443.6517757,0.284107293,10420,1.636431802,438.5637229,0.729776297,268
"KDGX20110628_123237",3209.47,"2011","06","28",0.491127566,2721.76,0.242292393,2524.444439,1.25618678,10419,4.005624508,2519.537816,3.328842127,629,1.486216717,487.71,0.060485417,630.1370713,0.32920209,10418,1.566705956,625.1156764,0.686684661,399
"KDGX20110628_124212",3553.62,"2011","06","28",0.491965032,3020.04,0.274629007,2861.634254,1.436950366,10420,4.244798191,2856.749183,3.890806349,673,1.486291215,533.58,0.063327151,659.9322427,0.350369609,10421,1.59735331,654.9148573,0.819693498,410
"KDGX20110628_125148",3721.98,"2011","06","28",0.487073724,3159.11,0.301418217,3141.380663,1.429158855,10422,3.881883971,3136.562249,3.529998363,808,1.487570866,562.87,0.069406256,723.1437803,0.381982759,10419,1.624758903,718.1434353,0.956511599,442
"KDGX20110629_100344",243127.37,"2011","06","29",0.488123131,242790.53,38.63536436,393269.3739,137.7510913,10179,90.30228587,393266.4549,199.2247791,4355,1.488181438,336.84,0.058805389,612.7521507,0.615015953,10420,1.94771202,607.6861502,2.996977947,312
"KDGX20110629_101320",260287.5,"2011","06","29",0.517450873,260068.78,39.71471956,404216.4156,131.0418169,10178,91.32705215,404213.5328,186.4910749,4426,1.446651081,218.72,0.034818915,362.9175508,0.342337328,10423,2.117031816,357.7783769,1.684329557,169
"KDGX20110629_101813",283183.3,"2011","06","29",0.501917059,283007.51,41.973631,426619.9855,135.2718034,10164,85.01741858,426617.4064,182.7764827,5018,1.442550747,175.79,0.026858521,279.8657853,0.28557478,10420,1.856199932,274.71759,1.537034128,148
"KDGX20110629_102307",237456.02,"2011","06","29",0.500684596,237238.89,35.72856959,365681.9098,123.8065052,10235,77.9699639,365679.1307,173.666552,4690,1.451815321,217.13,0.032839239,342.1848707,0.373142139,10420,2.174452799,337.0401838,2.175791527,155
"KDGX20110629_102800",370171.2,"2011","06","29",0.502876697,370025.62,54.01482564,551221.2957,155.6208926,10205,116.8826431,551218.5447,212.2771093,4716,1.441700027,145.58,0.02313072,240.9064539,0.224316811,10415,1.696088158,235.7562539,0.969529808,139
"KDGX20110629_103253",355680.14,"2011","06","29",0.502272579,355508.04,48.97461921,499932.9129,146.194715,10208,108.2802926,499930.1107,202.0821971,4617,1.43649112,172.1,0.027866285,290.5060177,0.297676977,10425,1.915139716,285.3558177,1.613464497,149
"KDGX20110629_103747",142986.86,"2011","06","29",0.502391589,142817.75,17.76854951,184171.0157,73.88242965,10365,46.40156464,184167.8101,113.7030728,3969,1.482790054,169.11,0.027871032,290.4440277,0.251055861,10421,1.67827269,285.3063573,1.049184481,170
"KDGX20110629_104243",135081.35,"2011","06","29",0.500643249,134951.37,15.75537107,163635.2839,71.04424401,10386,40.11574478,163632.1229,108.9766486,4079,1.443554772,129.98,0.020760142,216.175358,0.209401243,10413,1.661575953,211.0201461,0.936108932,127
"KDGX20110629_104736",199261.1,"2011","06","29",0.50055172,199108.91,22.32078409,231287.9647,88.58140142,10362,52.31508418,231284.9871,129.7074047,4421,1.479236933,152.19,0.026183409,272.9096698,0.214363823,10423,1.431976028,267.7795173,0.74270448,187
