"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KFWS20110618_100107_V03.mat",21879.35,"2011","06","18",0.544919581,17824.28,1.288557059,87611.57155,2.574636345,67992,1.511734726,87606.53913,2.727643163,57951,1.560799909,4055.07,0.425122547,28918.53612,0.907576644,68024,0.672060634,28905.99992,1.066249585,43011
"KFWS20110618_101042_V03.mat",19768.92,"2011","06","18",0.545034143,16055.83,1.24563092,84692.93751,4.629058928,67992,1.491105304,84687.32571,5.028604747,56795,1.560902926,3713.09,0.397132536,27015.33788,1.026557818,68026,0.632306459,27002.64732,1.236967329,42705
"KFWS20110618_102019_V03.mat",18144.87,"2011","06","18",0.54603854,15200.91,1.156188531,78611.57059,3.627710593,67992,1.421972159,78605.19899,3.976067801,55279,1.561163557,2943.96,0.358322926,24375.99202,0.700056261,68028,0.602353017,24362.16777,0.823068178,40445
"KFWS20110618_102954_V03.mat",13948.71,"2011","06","18",0.546241256,12049.42,1.007608024,68511.29997,2.526462635,67994,1.307343345,68503.48396,2.809101121,52399,1.561378348,1899.29,0.272439496,18533.51406,0.649387267,68028,0.540393768,18516.59247,0.832208416,34265
"KFWS20110618_103930_V03.mat",9769.14,"2011","06","18",0.545795785,8223.59,0.775549857,52732.73697,2.838751528,67994,1.115722316,52722.34234,3.349048687,47254,1.562549672,1545.55,0.208915021,14211.23536,0.711138562,68024,0.488342025,14191.7076,1.023451489,29061
"KFWS20110618_104905_V03.mat",8017.81,"2011","06","18",0.545696147,6639.86,0.647919164,44053.31978,2.205152678,67992,0.98595515,44041.63059,2.658681398,44669,1.559026889,1377.95,0.191826411,13048.79978,0.653279874,68024,0.509305559,13027.52689,0.986629477,25579
"KFWS20110618_105841_V03.mat",6571.88,"2011","06","18",0.545676434,5124.08,0.512763707,34863.82995,2.004115265,67992,0.805069291,34851.44962,2.464389469,43290,1.558771461,1447.8,0.174735793,11886.92653,0.369586729,68028,0.462024113,11865.70326,0.478782469,25682
"KFWS20110618_110817_V03.mat",5734.57,"2011","06","18",0.545719682,4125.13,0.500945876,34061.31388,2.41277277,67994,0.84328103,34047.47159,3.084687727,40375,1.560018381,1609.44,0.170651532,11609.08241,0.421507937,68028,0.42778017,11588.5648,0.579913581,27090
"KFWS20110618_111753_V03.mat",6760.44,"2011","06","18",0.544886586,4422.96,0.61876555,42072.34482,5.02386218,67994,1.084828023,42057.69762,6.615150128,38769,1.561185682,2337.48,0.202034878,13744.02869,3.081851594,68028,0.516261248,13723.25648,4.913760802,26582
"KFWS20110618_112728_V03.mat",20162.28,"2011","06","18",0.544946534,13823.1,1.091731767,74225.75111,27.37807706,67989,1.982539975,74210.43633,36.87411128,37432,1.560394689,6339.18,0.384483332,26154.0942,16.58093265,68024,1.123652264,26131.65705,28.34355873,23256
"KFWS20110618_113704_V03.mat",8601.1,"2011","06","18",0.546259999,6213.28,0.642981165,43718.86132,3.204402442,67994,1.189914811,43703.1912,4.284745807,36728,1.560993394,2387.82,0.131616752,8953.097915,0.764841822,68024,0.441294167,8929.146177,1.352846077,20234
"KFWS20110618_114639_V03.mat",23968.93,"2011","06","18",0.545266337,9032.38,0.712870671,48469.50263,2.920027275,67992,1.293112164,48454.20589,3.836897017,37471,1.56080343,14936.55,0.359778393,24474.64471,9.816260831,68027,1.192258084,24450.82879,17.85078933,20508
"KFWS20110618_115615_V03.mat",55047.61,"2011","06","18",0.535063458,20993.57,0.933041427,63441.21876,11.00124618,67994,1.927359942,63423.6336,15.75311167,32907,1.526699851,34054.04,0.701504601,47715.64145,27.62386638,68019,3.120817344,47689.20984,58.2172331,15281
"KFWS20110618_120110_V03.mat",127460.43,"2011","06","18",0.546518839,48086.04,1.463203283,99474.412,30.74844744,67984,2.960035095,99457.17918,43.68745446,33600,1.511116904,79374.39,1.511990256,102836.5053,41.03630589,68014,6.800952171,102809.994,86.83853099,15117
"KFWS20110618_120606_V03.mat",172418.48,"2011","06","18",0.546469853,96183.22,2.136170392,145195.5016,47.12376331,67970,4.355518464,145178.1414,67.22135296,33332,1.52242855,76235.26,1.428344471,97128.85237,38.28353438,68001,6.117477886,97102.72648,79.05992282,15873
"KFWS20110618_121102_V03.mat",147647.05,"2011","06","18",0.543425949,90159.37,2.018869653,137224.5892,44.15596912,67971,4.149240844,137207.0962,63.23699691,33068,1.520746644,57487.68,1.162361934,79059.20933,31.97163935,68016,4.612144545,79033.70892,63.57290307,17136
"KFWS20110618_121556_V03.mat",78226.33,"2011","06","18",0.549505452,45651.32,1.564696845,106389.9973,29.81284854,67994,3.216974892,106372.4918,42.6892926,33066,1.518777769,32575.01,0.907595033,61731.89133,27.899959,68017,3.598879939,61706.39543,55.48278659,17146
"KFWS20110618_122050_V03.mat",59577.46,"2011","06","18",0.550905068,30212.7,1.199901757,81568.12157,31.54494824,67979,2.535212269,81550.17305,45.82111994,32167,1.50717558,29364.76,0.852042344,57938.87939,25.92563922,68000,3.431286746,57913.25769,51.9544045,16878
"KFWS20110618_122544_V03.mat",79967.51,"2011","06","18",0.550182297,27005.8,1.048900106,71292.6913,27.30895778,67969,2.232354924,71274.62801,39.81225225,31928,1.510753884,52961.71,1.452745282,98792.49018,41.9584698,68004,6.177148097,98766.42093,86.36518076,15989
"KFWS20110618_123038_V03.mat",94189.26,"2011","06","18",0.549002045,43110.66,1.344431842,91386.41001,31.86020617,67974,2.919479405,91368.02746,46.90574317,31296,1.50894227,51078.6,1.279240546,87008.82496,37.83052872,68016,5.661813184,86982.43594,79.44542331,15363
"KFWS20110618_123532_V03.mat",84822.21,"2011","06","18",0.547345835,43603.85,1.271856551,86465.89579,31.89942839,67984,2.748381364,86447.58742,46.85447371,31454,1.511460963,41218.36,1.047879553,71256.85746,34.44331842,68001,4.730397337,71230.3231,73.07739819,15058
"KFWS20110618_124026_V03.mat",54600.34,"2011","06","18",0.54916077,19386.79,0.696610589,47354.19462,19.70311676,67978,1.541823128,47335.51186,29.29661109,30701,1.507145777,35213.55,0.868016619,59032.07425,31.46347781,68008,4.202637192,59005.02618,69.14805374,14040
"KFWS20110618_124521_V03.mat",31830.26,"2011","06","18",0.550478993,12969.62,0.53613729,36453.04665,11.15026399,67992,1.170889397,36434.56537,16.45979175,31117,1.518382193,18860.64,0.468203398,31848.13154,17.93972179,68022,2.320492421,31820.91256,39.90262701,13713
"KFWS20110618_125015_V03.mat",29315.68,"2011","06","18",0.546926114,10335.19,0.501591423,34104.20406,12.52558894,67992,1.08264219,34085.90671,18.39003053,31484,1.516336652,18980.49,0.446367773,30362.82865,15.8286552,68022,2.155755372,30335.7896,34.74893252,14072
"KFWS20110618_125509_V03.mat",18318.96,"2011","06","18",0.549473626,4860.63,0.404566601,27507.29231,6.373196625,67992,0.867218822,27489.10222,9.312627137,31698,1.515675262,13458.33,0.303161161,20621.62848,6.578305519,68022,1.457510156,20594.6185,14.37538699,14130
"KFWS20110619_100331_V03.mat",16571.77,"2011","06","19",0.546000407,11525.3,1.427953589,97089.42041,5.636156103,67992,2.147790811,97077.99685,6.799999864,45199,0.943657313,5046.47,0.725370202,49328.07524,1.696724468,68004,1.381826987,49311.87788,2.139932308,35686
"KFWS20110619_100806_V03.mat",16093.19,"2011","06","19",0.547283373,11459.75,1.423668523,96798.0702,4.635742673,67992,2.128585495,96786.78246,5.534850958,45470,0.952284085,4633.44,0.6682941,45448.00859,1.471517686,68006,1.29088946,45431.56364,1.838699872,35194
"KFWS20110619_101241_V03.mat",15756.76,"2011","06","19",0.546636637,10987.91,1.445332818,98273.95964,4.937073529,67994,2.19565865,98262.31155,5.948617878,44753,0.94374746,4768.85,0.72377524,49219.61142,1.884364015,68004,1.379831193,49203.40052,2.422148534,35659
"KFWS20110619_101717_V03.mat",16195.25,"2011","06","19",0.548880456,11379.11,1.442878519,98104.19628,4.588714748,67992,2.175004947,98092.7231,5.491112606,45100,0.944898857,4816.14,0.707395415,48105.71779,1.62648908,68004,1.340290347,48089.61766,2.041101808,35880
"KFWS20110619_102152_V03.mat",16037.32,"2011","06","19",0.546925144,11089.38,1.465004292,99608.57181,5.122343035,67992,2.220272356,99596.97734,6.172010107,44858,0.946607938,4947.94,0.711649678,48395.02472,1.912252562,68004,1.340770621,48379.02632,2.459371992,36083
"KFWS20110619_102627_V03.mat",20253.84,"2011","06","19",0.53609287,12773.25,1.579357517,107386.835,5.993855824,67994,2.397570682,107375.203,7.25144895,44785,0.950408661,7480.59,0.819002132,55695.42097,6.42812613,68004,1.564241551,55679.17799,8.819227572,35595
"KFWS20110619_103102_V03.mat",18622.7,"2011","06","19",0.545817495,11657.81,1.59334887,108334.9764,6.215171421,67992,2.507234352,108322.5529,7.648575298,43204,0.94528174,6964.89,0.836917086,56913.70949,5.899984504,68004,1.619343023,56897.23646,8.130618428,35136
"KFWS20110619_103537_V03.mat",15981.7,"2011","06","19",0.543548229,10579.12,1.587148571,107913.4056,5.610500273,67992,2.549213094,107900.5426,6.936325396,42327,0.944311446,5402.58,0.752832971,51195.65338,2.780239402,68004,1.490224585,51178.78292,3.769302401,34343
"KFWS20110619_104013_V03.mat",11947.58,"2011","06","19",0.550100728,10277.66,1.517966971,103209.6103,5.718580897,67992,2.218518978,103198.8473,6.800432162,46517,1.560491406,1669.92,0.245174315,16678.7183,1.074325307,68028,0.586558845,16658.85776,1.601417028,28401
"KFWS20110619_104947_V03.mat",9178.92,"2011","06","19",0.532999461,7949.96,1.238622355,84218.88839,4.13907717,67994,2.067349795,84205.22452,5.185219228,40731,1.521802197,1228.96,0.212967849,14486.49903,0.804920296,68022,0.651129525,14463.54014,1.303455237,22213
"KFWS20110619_105441_V03.mat",8204.74,"2011","06","19",0.548005163,7135.45,1.153709231,78442.99801,5.341967343,67992,1.967115717,78428.90363,6.860430476,39870,1.521449138,1069.29,0.196484717,13365.67637,0.857910814,68024,0.617047624,13342.42078,1.43394154,21623
"KFWS20110619_105934_V03.mat",6767.95,"2011","06","19",0.548293426,5671.15,0.887111242,60316.46755,4.646154942,67992,1.576635023,60301.55974,6.106437453,38247,1.521527953,1096.8,0.17039519,11590.9624,0.766914177,68024,0.551484245,11567.38204,1.302893613,20975
"KFWS20110619_110427_V03.mat",17082.21,"2011","06","19",0.549588988,5795.52,0.781872343,53162.62808,4.604788696,67994,1.419912097,53147.30979,6.132973963,37430,1.525584471,11286.69,0.56349406,38329.99293,18.69535194,68022,1.793716264,38306.60453,33.33301734,21356
"KFWS20110619_110920_V03.mat",67040.98,"2011","06","19",0.5466793,26322.4,1.4390492,97840.95514,31.74566488,67990,2.661116497,97825.30356,43.13570205,36761,1.522873154,40718.58,1.670550472,113607.4554,42.89963933,68006,5.345633512,113584.0209,76.62136042,21248
"KFWS20110619_111412_V03.mat",113865.63,"2011","06","19",0.547723524,44015.67,2.091014122,142172.2322,41.92486641,67992,3.811379934,142156.8488,56.54779584,37298,1.521513696,69849.96,2.870062985,195138.4524,58.2526983,67991,8.592379651,195115.7571,100.5553881,22708
