"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KGWX20110625_100207",2066.29,"2011","06","25",0.467536181,1679.83,3.07183321,21515.11981,19.06085067,7004,3.569708005,21514.63015,20.50471705,6027,1.477844238,386.46,0.702081555,4918.081294,4.165490555,7005,0.85491191,4917.453306,4.582698834,5752
"KGWX20110625_101148",4183,"2011","06","25",0.469627489,3266.58,5.327872267,37316.41736,38.29827618,7004,6.118374124,37315.96378,40.9829418,6099,1.48146729,916.42,1.700519614,11910.43938,9.370185598,7004,2.112033207,11909.75525,10.40136517,5639
"KGWX20110625_102129",3719.13,"2011","06","25",0.468429487,3132.68,4.911989896,34403.57723,20.50056667,7004,5.576780473,34403.15874,21.75914844,6169,1.479328925,586.45,1.116673222,7821.17925,4.479148813,7004,1.413162722,7820.442505,4.997410322,5534
"KGWX20110625_103109",5535.35,"2011","06","25",0.468550893,5218.04,6.932722235,48549.85381,26.73654431,7003,7.765431449,48549.47742,28.18257632,6252,1.479952762,317.31,0.80272479,5621.481708,4.335166277,7003,0.934960917,5620.985031,4.665670758,6012
"KGWX20110625_104050",3094,"2011","06","25",0.46642249,2738.61,4.114151175,28815.51483,14.75557868,7004,4.601587824,28815.14295,15.53342054,6262,1.480029687,355.39,0.553839709,3879.09332,3.501952709,7004,0.61940617,3878.721439,3.698171462,6262
"KGWX20110625_105031",1939.96,"2011","06","25",0.467935777,1556.84,2.654252115,18590.38181,15.593585,7004,3.000803285,18589.97635,16.54929442,6195,1.4778325,383.12,0.461071803,3229.346907,0.937024914,7004,0.51449682,3228.982043,0.975917466,6276
"KGWX20110625_111931",1258.31,"2011","06","25",0.469160909,915.05,1.757087149,12308.39548,15.05963169,7005,2.037396513,12307.91233,16.19932518,6041,1.484362103,343.26,0.370974188,2598.303212,0.699164627,7004,0.417871767,2597.908778,0.728796722,6217
"KGWX20110625_112912",1096.36,"2011","06","25",0.463761396,828.23,1.454607187,10188.06874,9.652049325,7004,1.692850543,10187.57457,10.39351599,6018,1.477576822,268.13,0.296430144,2076.19673,0.605997784,7004,0.336050226,2075.782248,0.634910403,6177
"KGWX20110625_113852",794.9,"2011","06","25",0.467876307,600.02,1.547964562,10840.39583,14.01007023,7003,1.815724975,10839.8781,15.15799049,5970,0.862723961,194.88,0.578308338,4051.049904,10.33504717,7005,0.677800231,4050.534183,11.18663994,5976
"KGWX20110625_114310",817.37,"2011","06","25",0.468740194,633.85,1.434581265,10044.93802,10.07911889,7002,1.686153144,10044.41428,10.90818811,5957,0.861558797,183.52,0.3249572,2276.650146,2.095739579,7006,0.383506887,2276.113375,2.272093703,5935
"KGWX20110625_114727",727.03,"2011","06","25",0.467359842,561.83,1.603054282,11224.58608,16.63786587,7002,1.890207615,11224.05282,18.05231069,5938,0.86508197,165.2,0.386074913,2704.068688,4.664183322,7004,0.461740875,2703.492824,5.098000404,5855
"KGWX20110625_115145",748.02,"2011","06","25",0.467513914,605.94,1.612513236,11292.43019,14.6313559,7003,1.901312835,11291.89693,15.87094268,5939,0.866850935,142.08,0.328940451,2303.898917,3.935574561,7004,0.397051541,2303.295989,4.321378574,5801
"KGWX20110625_115602",645.08,"2011","06","25",0.465824077,512.34,1.328843789,9307.221897,9.712716598,7004,1.573934568,9306.675101,10.55272863,5913,0.870042299,132.74,0.272988441,1912.284031,1.793084703,7005,0.331540593,1911.66306,1.97148656,5766
"KGWX20110625_120019",757.47,"2011","06","25",0.470179237,635.47,1.51292446,10596.52292,11.28226286,7004,1.791979727,10595.97612,12.25885129,5913,0.891310371,122,0.271579466,1902.414162,2.978101889,7005,0.336768824,1901.73355,3.31366828,5647
