"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KLZK20110629_100723",10185.85,"2011","06","29",0.509799008,4837.92,0.655839901,11525.73042,2.543096549,17574,1.838796886,11520.06249,3.99605774,6265,1.539235037,5347.93,0.709355432,12461.95622,0.954769003,17568,1.123317107,12458.71003,0.989515191,11091
"KLZK20110629_101659",7919.73,"2011","06","29",0.513244098,3018.11,0.401716903,7060.977998,2.149641747,17577,1.599269863,7054.379367,4.062232477,4411,1.494407296,4901.62,0.629577088,11062.29902,0.870311624,17571,1.033827602,11058.85385,0.909101816,10697
"KLZK20110629_102635",6651.58,"2011","06","29",0.515063773,2410.83,0.268656099,4720.556324,1.60749009,17571,1.66249412,4713.170829,3.701736814,2835,1.496052229,4240.75,0.553466533,9725.513917,0.793090906,17572,0.961694881,9721.773557,0.837239466,10109
"KLZK20110629_103610",5254.73,"2011","06","29",0.515592242,1572.64,0.162505887,2855.878463,1.071321781,17574,1.792238505,2847.866985,3.127144281,1589,1.49443915,3682.09,0.46026109,8088.168131,0.701505175,17573,0.945676757,8083.644916,0.743561737,8548
"KLZK20110629_104546",7669.78,"2011","06","29",0.514696218,4132.04,0.795616851,13980.5793,3.687342855,17572,4.186172977,13973.4454,7.576044924,3338,1.539064973,3537.74,0.422501497,7424.618812,0.704273654,17573,0.991389943,7419.562334,0.775214643,7484
"KLZK20110629_105522",22098.38,"2011","06","29",0.516733469,18939.56,3.658447412,64289.89637,11.74530408,17573,8.286282188,64284.97722,16.557599,7758,1.494426037,3158.82,0.37613105,6609.374818,0.596458915,17572,0.901848716,6604.23815,0.616299663,7323
"KLZK20110629_110457",36594.42,"2011","06","29",0.51503196,32235.47,5.654132002,99354.40754,15.36211309,17572,9.893510615,99350.6336,19.26209726,10042,1.494495789,4358.95,0.602517882,10586.23919,0.868890202,17570,1.131414619,10582.12093,0.905601165,9353
"KLZK20110629_111433",43013.87,"2011","06","29",0.515303365,38582.37,6.298415839,110682.0615,16.39507611,17573,9.647751377,110679.0038,19.47941997,11472,1.494713917,4431.5,0.586440638,10305.52133,0.820518839,17573,1.024234928,10301.75491,0.853289227,10058
"KLZK20110629_112408",37049.84,"2011","06","29",0.51570942,31857.66,5.095387433,89541.24337,10.02063599,17573,7.309271473,89538.57555,11.30783811,12250,1.494414111,5192.18,0.637145504,11197.83223,0.80144984,17575,1.022796652,11194.50935,0.798224467,10945
"KLZK20110629_113344",34123.96,"2011","06","29",0.516140833,28820.65,4.542694566,79842.39968,9.258918867,17576,6.328966571,79839.91329,10.39896114,12615,1.535946511,5303.31,0.636838557,11189.25345,0.738550242,17570,0.97602231,11186.19169,0.710854412,11461
"KLZK20110629_114319",35369.1,"2011","06","29",0.515674488,29216.68,4.346877326,76396.36901,8.341884972,17575,5.884161408,76394.06756,9.227993162,12983,1.494418831,6152.42,0.735391029,12923.02656,0.862324777,17573,1.135019258,12919.92421,0.833415388,11383
"KLZK20110629_115255",32943.07,"2011","06","29",0.518198065,26951.81,3.522621501,61888.93715,6.782908955,17569,4.771153549,61886.63269,7.507419355,12971,1.53787245,5991.26,0.757262178,13308.12551,0.895356011,17574,1.180774319,13304.96503,0.866278538,11268
"KLZK20110629_120231",31353.22,"2011","06","29",0.514465825,24042.42,2.845686344,50004.40044,6.311379199,17572,3.786325326,50002.21226,7.031528253,13206,1.539053205,7310.8,0.975104905,17133.56829,1.214528317,17571,1.487541994,17130.5336,1.220101412,11516
"KLZK20110629_121206",37975.76,"2011","06","29",0.516588713,28146,2.754237788,48405.72913,3.7090846,17575,3.532349743,48403.78853,3.859606699,13703,1.540453503,9829.76,1.411212187,24799.23177,1.879503596,17573,2.055751097,24796.46973,1.954954339,12062
"KLZK20110629_122142",36077.17,"2011","06","29",0.516605676,24572.06,2.275594718,39979.92361,2.564670821,17569,2.780327201,39978.32482,2.575598362,14379,1.538607369,11505.11,1.724357375,30300.40779,2.332519454,17572,2.494047527,30297.68935,2.439394,12148
"KLZK20110629_123118",44741.47,"2011","06","29",0.516844154,27252.61,2.507346464,44059.09207,3.140021167,17572,2.921801354,44057.84261,3.206106051,15079,1.494131873,17488.86,2.61822521,46012.68984,3.874695766,17574,3.551005314,46010.37586,4.129321952,12957
"KLZK20110629_124054",47759.66,"2011","06","29",0.516227071,29436.89,2.589967196,45513.49353,3.928844892,17573,3.059434111,45512.14183,4.098577927,14876,1.494406373,18322.77,2.802491722,49239.77955,3.815430807,17570,3.719695392,49237.60791,3.988936259,13237
"KLZK20110629_125029",49183.95,"2011","06","29",0.517544508,31521.11,2.94493096,51757.16163,5.712376546,17575,3.521755492,51755.71871,6.082185199,14696,1.538701535,17662.84,2.918055602,51270.23693,4.132979534,17570,3.992824479,51267.86631,4.368448495,12840
