"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KLZK20110630_100231",4501.66,"2011","06","30",0.505882167,4186.69,13.05804936,306668.2891,48.06486907,23485,13.63513365,306667.7909,49.0353876,22491,1.538752144,314.97,1.612211983,37912.77698,10.6153114,23516,1.665381093,37912.40059,10.78489046,22765
"KLZK20110630_101205",4594.98,"2011","06","30",0.516737687,3520.67,9.582570886,225219.1635,43.85834937,23503,9.971606479,225218.7039,44.69648779,22586,1.538506422,1074.31,3.382745701,79545.26515,24.66355102,23515,3.478590999,79544.94038,25.00391447,22867
"KLZK20110630_102139",4945.94,"2011","06","30",0.516200581,3493.85,8.273475635,194434.9509,37.0513499,23501,8.580896284,194434.5289,37.69853717,22659,1.538002545,1452.09,3.922563847,92243.01144,22.92907212,23516,4.031410042,92242.69318,23.23563574,22881
"KLZK20110630_103113",6597.41,"2011","06","30",0.516289389,5345.89,12.70882787,298606.6195,51.79656759,23496,13.08643526,298606.2797,52.51346419,22818,1.538580941,1251.52,4.174041301,98152.58119,25.52076358,23515,4.273623309,98152.30654,25.81520786,22967
"KLZK20110630_104048",13077.66,"2011","06","30",0.515319021,11088.97,26.17821585,615004.8251,65.39643219,23493,26.62472954,615004.6276,65.86163928,23099,1.538412981,1988.69,7.52825096,177026.8213,26.04155084,23515,7.559431749,177026.7727,26.09091435,23418
"KLZK20110630_105021",21550.74,"2011","06","30",0.515576732,16788.7,36.44707108,855011.8405,74.06028015,23459,36.90963493,855011.6931,74.4141572,23165,1.540079034,4762.04,14.9919639,352536.031,25.25890164,23515,14.9919639,352536.031,25.25890164,23515
"KLZK20110630_105955",23998.99,"2011","06","30",0.515724199,17013.95,35.58820246,834792.465,66.78449651,23457,35.96072815,834792.3432,67.03329434,23214,1.538940492,6985.04,20.21640843,475368.6278,27.03198177,23514,20.21640843,475368.6278,27.03198177,23514
"KLZK20110630_110929",21944.45,"2011","06","30",0.515539341,15812.47,33.00882942,775311.3855,61.04600855,23488,33.34241895,775311.2677,61.26300507,23253,1.538437773,6131.98,17.6376619,414714.3443,21.00697903,23513,17.6376619,414714.3443,21.00697903,23513
"KLZK20110630_111903",20014.98,"2011","06","30",0.516554124,14690.76,31.67272426,743865.6019,59.65172655,23486,31.97083819,743865.4921,59.85224621,23267,1.538396408,5324.22,16.87617853,396826.462,26.14119182,23514,16.87617853,396826.462,26.14119182,23514
"KLZK20110630_112837",18840.17,"2011","06","30",0.51571059,13776.37,33.25105427,781067.2647,59.70197032,23490,33.61307991,781067.1379,59.92466504,23237,1.538457381,5063.8,16.06520115,377757.14,22.71164087,23514,16.06520115,377757.14,22.71164087,23514
