"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KNQA20110626_100221",6518.56,"2011","06","26",0.52913332,5952.51,5.878684765,225741.495,35.98879455,38400,6.396892396,225739.9358,37.4975091,35289,1.505409083,566.05,0.962627282,36979.32704,6.687395627,38415,1.133203422,36976.42767,7.242717378,32630
"KNQA20110626_100808",8107.7,"2011","06","26",0.531391058,6781.45,6.743338291,258937.447,36.83896315,38399,7.326785162,258935.9144,38.34405288,35341,1.506344828,1326.25,1.841646581,70739.48681,12.17934981,38411,2.206923117,70736.29976,13.30266642,32052
"KNQA20110626_101353",7560.81,"2011","06","26",0.530650749,5883.91,5.821163069,223526.8407,27.98778565,38399,6.282510113,223525.4273,29.02594437,35579,1.509812947,1676.9,2.441818438,93790.2462,17.03964558,38410,2.981996071,93786.75844,18.78789802,31451
"KNQA20110626_101939",7081.85,"2011","06","26",0.531027654,5887.51,6.178397904,237219.5875,26.45426735,38395,6.647747696,237218.2288,27.38388996,35684,1.510618115,1194.34,1.959370555,75263.34176,7.90064269,38412,2.423743278,75259.65252,8.723114698,31051
"KNQA20110626_102526",6737.29,"2011","06","26",0.529433821,5704.15,8.512236212,326631.5279,38.3665131,38372,9.066517297,326630.3521,39.53254528,36026,1.503409437,1033.14,2.071592292,79580.21791,10.57670834,38415,2.611454351,79576.23698,11.81600286,30472
"KNQA20110626_103112",6530.48,"2011","06","26",0.53098738,5696.65,11.53808531,442439.4192,53.1954562,38346,12.30841308,442438.2164,54.8563056,35946,1.50358112,833.83,2.05738228,79009.65168,15.6739893,38403,2.625464785,79005.48632,17.66456175,30092
"KNQA20110626_103658",5933.89,"2011","06","26",0.530863285,5277.8,13.49050467,516996.6104,63.71797374,38323,14.30139755,516995.5213,65.51670139,36150,1.50896682,656.09,1.771074952,68030.53107,15.29338883,38412,2.24806495,68026.44539,17.19961456,30260
"KNQA20110626_104243",7196.92,"2011","06","26",0.527214377,6556.58,17.05084339,651580.9295,76.15348403,38214,17.98305237,651579.9366,78.10039224,36233,1.50962539,640.34,1.74793221,67143.31999,13.9893424,38413,2.137733902,67139.80867,15.44426749,31407
"KNQA20110626_104828",8386.97,"2011","06","26",0.531207336,7662.94,18.64199382,712925.7695,76.51177595,38243,19.57509214,712924.8558,78.28677061,36420,1.507611261,724.03,1.861690156,71511.24226,15.61409037,38412,2.200119385,71508.28025,16.95252416,32502
"KNQA20110626_105413",8720.82,"2011","06","26",0.531108274,7956.55,18.57196689,709913.4344,75.90447046,38225,19.5030912,709912.5197,77.66725554,36400,1.51009783,764.27,1.673461566,64277.65877,12.07303915,38410,1.938856234,64275.02302,12.97564224,33151
"KNQA20110626_105958",8442.41,"2011","06","26",0.530656886,7587.33,17.13022921,655059.9648,70.25820872,38240,17.95814023,655059.0813,71.83265986,36477,1.508201272,855.08,1.911241615,73422.25788,15.16472023,38416,2.17940775,73419.88827,16.17593051,33688
"KNQA20110626_110545",7870.28,"2011","06","26",0.52990114,6997.44,14.16329548,542822.4627,60.53134378,38326,14.88609708,542821.53,61.97002841,36465,1.507594451,872.84,1.784741646,68553.71136,14.39099461,38411,2.016754321,68551.49611,15.28279854,33991
"KNQA20110626_111131",7783.13,"2011","06","26",0.530260986,6934.77,14.16477737,543261.7064,62.24945554,38353,14.88018796,543260.7822,63.71870444,36509,1.508318069,848.36,1.595918333,61292.8395,13.56175468,38406,1.805107151,61290.60822,14.41040837,33954
"KNQA20110626_111716",7405.03,"2011","06","26",0.531034349,6588.21,12.1636405,466718.8859,57.57239272,38370,12.77384479,466717.9672,58.93282049,36537,1.50968016,816.82,1.430089099,54934.01254,12.51564896,38413,1.612038939,54931.8389,13.27724611,34076
"KNQA20110626_112301",6896.56,"2011","06","26",0.5231299,6112.52,11.27577895,432696.7415,53.32536894,38374,11.86573206,432695.7853,54.63866333,36466,1.507710432,784.04,1.279977872,49165.23003,9.895423174,38411,1.449636616,49162.97619,10.51941252,33914
"KNQA20110626_112848",6618.57,"2011","06","26",0.531469604,5877.99,10.50795396,402906.4786,49.13820466,38343,11.06396949,402905.5129,50.36054792,36416,1.507854513,740.58,1.259608193,48379.03149,10.02450869,38408,1.438881422,48376.63231,10.70239839,33621
"KNQA20110626_113433",6577.2,"2011","06","26",0.531116229,5850.76,10.36385109,397692.0578,50.29423616,38373,10.89863289,397691.114,51.5190863,36490,1.505941825,726.44,1.101165735,42296.87703,5.850665948,38411,1.272276476,42294.2869,6.271707651,33243
"KNQA20110626_114018",6492.27,"2011","06","26",0.526987427,5800.67,10.04849457,385570.7853,49.5571672,38371,10.61853854,385569.7529,50.88411229,36311,1.508212827,691.6,1.141017061,43827.60634,9.392332408,38411,1.339428271,43824.75358,10.16352778,32719
"KNQA20110626_114603",6000.03,"2011","06","26",0.531697637,5378.34,9.017224683,345864.6699,45.61839141,38356,9.494707309,345863.7031,46.76226079,36427,1.509831907,621.69,0.947033461,36379.34337,4.909147861,38414,1.134238544,36376.16434,5.352950279,32071
"KNQA20110626_115148",6033.4,"2011","06","26",0.530099351,5469.6,9.082733259,348504.4752,46.02643696,38370,9.595359244,348503.4477,47.25555651,36320,1.505276971,563.8,0.890797467,34216.42149,5.785660882,38411,1.081766258,34213.02143,6.359855263,31627
"KNQA20110626_115737",5397.93,"2011","06","26",0.531266415,4892.91,8.943862871,342988.1972,45.51122224,38349,9.460409536,342987.1477,46.75488841,36255,1.508838829,505.02,0.830868336,31915.31452,5.672618277,38412,1.024353237,31911.67641,6.283208452,31153
"KNQA20110626_120323",5315.61,"2011","06","26",0.532183559,4855.25,8.79401028,337373.4104,46.66952826,38364,9.343163206,337372.2802,48.05139352,36109,1.505923744,460.36,0.849812622,32644.70206,7.956090736,38414,1.064848868,32640.81235,8.893690098,30653
"KNQA20110626_120910",5178.28,"2011","06","26",0.531351172,4756.66,8.510967391,326472.1982,44.18493407,38359,9.08959474,326470.9743,45.60471873,35917,1.505989591,421.62,0.87837546,33739.27978,9.109913869,38411,1.125064425,33735.05677,10.29732082,29985
"KNQA20110626_121455",5458.19,"2011","06","26",0.530143824,5076.26,9.728610857,373140.8694,48.85595606,38355,10.37536623,373139.6711,50.38737535,35964,1.510115369,381.93,0.749798168,28796.74844,4.832201982,38406,0.982567864,28792.18613,5.511403716,29303
"KNQA20110626_122042",4846.42,"2011","06","26",0.530659926,4483.06,9.26534381,355409.3232,47.77193561,38359,9.90187745,355408.0873,49.32193532,35893,1.503965567,363.36,0.789257997,30316.18893,8.233132117,38411,1.047714828,30311.43768,9.472376615,28931
"KNQA20110626_122626",4709.52,"2011","06","26",0.532529128,4385.22,8.899501445,341331.4784,46.56748517,38354,9.52717816,341330.2119,48.11973544,35827,1.507922373,324.3,0.764618084,29369.74523,8.17432417,38411,1.037071702,29364.68525,9.505955297,28315
"KNQA20110626_123211",4775.02,"2011","06","26",0.529692233,4454.5,9.639844002,369649.4581,51.0657721,38346,10.34849222,369648.142,52.84027262,35720,1.50449096,320.52,0.836830266,32149.34517,13.09693862,38418,1.136843912,32144.26163,15.25527391,28275
"KNQA20110626_123757",4594.43,"2011","06","26",0.531209267,4279.15,9.345062397,358532.6639,48.45500217,38366,10.06149449,358531.2947,50.20650065,35634,1.505235074,315.28,0.716745676,27529.48469,7.207645214,38409,0.976560601,27524.36055,8.398924375,28185
"KNQA20110626_124344",4509.12,"2011","06","26",0.530784068,4189.52,8.674625089,332654.5229,46.17035166,38348,9.333702741,332653.1657,47.82808238,35640,1.504218862,319.6,0.686551014,26371.79754,6.96737698,38412,0.935552315,26366.6709,8.119806937,28183
"KNQA20110626_124932",4498.35,"2011","06","26",0.531701088,4190.27,8.73296569,335092.6265,45.88437041,38371,9.419819081,335091.2242,47.5868561,35573,1.505124808,308.08,0.791077249,30382.90392,8.579089304,38407,1.080558628,30377.7447,10.01194787,28113
"KNQA20110626_125518",4265.97,"2011","06","26",0.53056395,3972.16,8.702912849,333704.4903,45.99570436,38344,9.381588417,333703.1,47.68891256,35570,1.504855806,293.81,0.718116256,27583.5635,7.969276292,38411,0.984027641,27578.35867,9.315684702,28026
"KNQA20110627_100849",5572.73,"2011","06","27",0.52956703,4720.7,5.717838535,219496.3857,29.70927498,38388,6.109476222,219495.1522,30.67101324,35927,1.548077006,852.03,1.789177621,68720.52323,10.08680209,38409,2.224563121,68716.75481,11.20453662,30890
"KNQA20110627_101828",6489.69,"2011","06","27",0.529977814,5586.14,6.170977472,236947.022,28.74870436,38397,6.543840631,236945.9254,29.56335073,36209,1.54740478,903.55,2.241416251,86088.31535,12.58902846,38408,2.86031863,86084.14949,14.15929211,30096
"KNQA20110627_102806",6929.86,"2011","06","27",0.529878935,5934.41,9.492091854,364306.4853,44.56963619,38380,9.985350704,364305.5351,45.65919386,36484,1.547364117,995.45,2.58216131,99173.06942,14.15856389,38407,3.365982835,99168.5863,16.08391792,29462
"KNQA20110627_103743",7168.8,"2011","06","27",0.529483476,6380,15.72680037,601455.7532,70.61494853,38244,16.53711339,601454.814,72.31881247,36370,1.547894975,788.8,2.452794192,94177.48579,14.02263792,38396,3.198485163,94172.99866,15.93875822,29443
"KNQA20110627_104721",9307.99,"2011","06","27",0.529862073,8218.77,19.42108912,741730.2358,79.10409144,38192,20.35760547,741729.3552,80.87121109,36435,1.547683707,1089.22,2.685759147,103157.3231,16.07753472,38409,3.198382651,103154.2373,17.49843511,32252
"KNQA20110627_105659",9647.2,"2011","06","27",0.529645617,8281.93,17.18872622,657864.1186,70.29009372,38273,18.03105996,657863.2225,71.88631119,36485,1.548087916,1365.27,2.551123097,97975.88253,11.95818236,38405,2.94399812,97973.31344,12.80111246,33279
"KNQA20110627_110637",10131.38,"2011","06","27",0.528941102,8579.58,15.37284091,588979.6538,62.89360642,38313,16.08836078,588978.7998,64.25119931,36609,1.547536668,1551.8,2.683792271,103071.0422,11.60317348,38405,3.061960861,103068.6645,12.34710312,33661
"KNQA20110627_111615",9570.05,"2011","06","27",0.529909425,8100.8,14.1110005,540733.5392,59.79443443,38320,14.77573164,540732.6752,61.10637761,36596,1.547610292,1469.25,2.426128679,93173.0458,12.41699734,38404,2.713112882,93171.00947,13.10135979,34341
"KNQA20110627_112553",10275.02,"2011","06","27",0.529435162,8760.29,14.52993649,556917.9356,57.18089085,38329,15.18478316,556917.1071,58.37019014,36676,1.547604724,1514.73,2.362004217,90719.85798,12.81343568,38408,2.640446712,90717.82767,13.52066538,34357
"KNQA20110627_113531",10408.99,"2011","06","27",0.530045908,8883.02,14.84947482,569210.0687,57.71932077,38332,15.52036096,569209.2383,58.92055634,36675,1.547225669,1525.97,2.498478598,95959.0675,12.84736618,38407,2.816710962,95956.89234,13.6083256,34067
"KNQA20110627_114509",9479.45,"2011","06","27",0.529568508,8142.28,14.19884973,544142.5182,56.5373804,38323,14.85913885,544141.6647,57.75222179,36620,1.547560258,1337.17,2.37883061,91375.6414,11.31525236,38412,2.730001928,91373.16453,12.08229693,33470
"KNQA20110627_115447",8236.98,"2011","06","27",0.529286591,7113.06,12.56026759,481836.9851,51.22853028,38362,13.16204398,481836.1061,52.36588931,36608,1.547300988,1123.92,2.144467507,82373.28589,12.92646167,38412,2.524453325,82370.38753,13.99106929,32629
"KNQA20110627_120425",6890.12,"2011","06","27",0.529881105,6092.77,12.70006678,487149.1614,55.15426654,38358,13.31515534,487148.2733,56.40161876,36586,1.547714815,797.35,1.681193464,64569.59736,8.262179593,38407,2.03275092,64566.26747,9.045914672,31763
"KNQA20110627_121402",6189.6,"2011","06","27",0.52972341,5592.87,12.07427466,463205.3989,52.58030546,38363,12.65931977,463204.5102,53.77035771,36590,1.547655501,596.73,1.453170187,55819.17322,10.3344782,38412,1.815368865,55815.33112,11.52276405,30746
"KNQA20110627_122340",5864.69,"2011","06","27",0.522276519,5334.7,11.33816777,434875.4248,50.46113822,38355,12.09865948,434874.2165,52.0377675,35944,1.505458182,529.99,1.340522301,51488.12105,8.53739428,38409,1.742256549,51483.68103,9.697392693,29550
"KNQA20110627_122928",5154.08,"2011","06","27",0.530903052,4677.37,10.1901658,390935.5209,45.72706128,38364,10.93094223,390934.2178,47.2745358,35764,1.508194013,476.71,1.455145981,55895.06742,12.05841964,38412,1.917207273,55890.42643,13.80973541,29152
"KNQA20110627_123515",5159.7,"2011","06","27",0.531422206,4746.67,10.33715942,396564.4467,47.52878779,38363,11.11599438,396563.0995,49.19898971,35675,1.510389138,413.03,1.28482834,49347.68687,11.64657369,38408,1.711096508,49342.89001,13.4139795,28837
"KNQA20110627_124101",5681.15,"2011","06","27",0.530616901,5292.19,11.05623967,423984.679,50.66285252,38348,11.86598101,423983.3674,52.3938258,35731,1.505371923,388.96,1.120529804,43041.79083,8.411109383,38412,1.491285318,43037.00298,9.675415227,28859
"KNQA20110628_100036",3593.98,"2011","06","28",0.526452398,2465.76,3.592908438,137967.684,22.22323774,38400,3.884294043,137966.2401,23.08247044,35519,0.930221648,1128.22,1.562273594,59997.55511,14.47353285,38404,1.654162823,59996.48558,14.88814264,36270
"KNQA20110628_100513",3403.87,"2011","06","28",0.525018893,2305.61,3.835257652,147220.2002,24.3731852,38386,4.15531678,147218.7182,25.3437355,35429,0.9338459,1098.26,1.493372319,57355.95064,12.16282799,38407,1.600922712,57354.65708,12.58650613,35826
"KNQA20110628_100948",3716.75,"2011","06","28",0.527589687,2539.47,4.435952157,170318.383,29.26572086,38395,4.801446721,170316.9181,30.41884905,35472,0.93022312,1177.28,1.814901258,69708.54241,11.0337709,38409,1.947782184,69707.2288,11.41935807,35788
"KNQA20110628_101423",4855.92,"2011","06","28",0.529171419,3499.18,4.455399751,171056.1626,26.59768156,38393,4.842310686,171054.625,27.69487952,35325,0.931739897,1356.74,1.915118057,73565.42993,11.71555536,38413,2.085202506,73563.85921,12.21036195,35279
"KNQA20110628_101858",6849.69,"2011","06","28",0.5280642,4652.83,5.136162953,197177.2958,26.8714034,38390,5.571354093,197175.7927,27.94346657,35391,0.928703548,2196.86,2.660483987,102189.19,16.1241863,38410,2.904541303,102187.5721,16.8266365,35182
"KNQA20110628_102331",7754.08,"2011","06","28",0.523561923,5357.66,6.394103623,245469.6381,32.56094343,38390,6.932365897,245468.144,33.84882994,35409,0.931838062,2396.42,3.329895496,127887.9664,19.37381848,38406,3.71502355,127885.9707,20.42874327,34424
"KNQA20110628_102805",8428.93,"2011","06","28",0.534923011,5720.44,8.143287887,312490.5294,37.98234719,38374,8.76547445,312489.1641,39.33752752,35650,0.924887249,2708.49,4.628892356,177730.9509,28.01806316,38396,5.151415866,177728.9988,29.51181141,34501
"KNQA20110628_103239",7960.62,"2011","06","28",0.52708024,5525.9,9.937573915,380966.8336,46.44298096,38336,10.62013823,380965.5987,47.93603952,35872,0.934504058,2434.72,4.933089014,189396.0865,30.51369918,38393,5.511890391,189394.0657,32.20488646,34361
"KNQA20110628_103713",6297.42,"2011","06","28",0.52471433,4473.79,9.352996233,358706.1115,46.48827384,38352,9.9734448,358704.9157,47.94108868,35966,0.935480417,1823.63,3.965391495,152243.2757,27.46307906,38393,4.385212815,152241.4333,28.8486155,34717
"KNQA20110628_104147",6406.29,"2011","06","28",0.527764169,4636.96,12.41835292,474927.4889,65.10185966,38244,13.14748016,474926.4259,66.91432114,36123,0.930835217,1769.33,5.328308989,204468.5291,39.1729298,38374,5.747171693,204467.1273,40.65409914,35577
"KNQA20110628_104622",5964.84,"2011","06","28",0.524760565,4396.42,13.34942952,510495.5342,66.23596207,38241,14.11102357,510494.4998,68.0203286,36177,0.935532797,1568.42,4.972537371,190796.2589,36.81667315,38370,5.309005511,190795.04,38.01856273,35938
"KNQA20110628_105057",7015.95,"2011","06","28",0.526314213,4851.81,14.04634952,536907.6639,68.9090352,38224,14.79244814,536906.6976,70.63750965,36296,0.93350284,2164.14,5.43270074,208333.208,41.15444489,38348,5.703202834,208332.2963,42.14839263,36529
"KNQA20110628_105530",7148.85,"2011","06","28",0.524059539,4922.43,13.56583478,519015.2729,65.70720047,38259,14.30737344,519014.279,67.40061335,36276,0.917998566,2226.42,5.719292129,219517.8705,41.95422574,38382,6.01960432,219516.9107,43.02073299,36467
"KNQA20110628_110004",8507.8,"2011","06","28",0.531051377,5857.92,15.21898979,582217.6733,71.61917534,38256,16.0363768,582216.696,73.42820777,36306,0.931660868,2649.88,5.343603316,205039.4028,37.19594207,38371,5.589470786,205038.5568,38.02407609,36683
"KNQA20110628_110438",10221.91,"2011","06","28",0.52887437,6496.14,15.40135275,588824.5184,70.73595142,38232,16.24027163,588823.5285,72.54318743,36257,0.934339939,3725.77,6.219385674,238513.4406,42.13107919,38350,6.52779387,238512.5324,43.13982687,36538
"KNQA20110628_110915",13423.5,"2011","06","28",0.52622008,7635.27,17.1239235,654459.2322,76.98127763,38219,18.07096942,654458.2283,78.97321163,36216,0.931980756,5788.23,7.827655665,300065.3523,52.4081411,38334,8.186628919,300064.5098,53.56906471,36653
"KNQA20110628_111348",23609.56,"2011","06","28",0.527240964,12770.13,16.94779233,646693.8597,73.04536123,38158,17.96318932,646692.7786,75.08047605,36001,0.930011497,10839.43,8.767125474,335456.522,56.11022013,38263,9.26570241,335455.49,57.64369944,36204
"KNQA20110628_111823",31902.93,"2011","06","28",0.529564209,16977.35,18.99393236,722453.2111,82.49498088,38036,20.18586436,722452.0855,84.90257666,35790,0.932930413,14925.58,11.5948394,441751.7865,68.36170944,38099,12.26642437,441750.741,70.25516613,36013
"KNQA20110628_112257",48051.52,"2011","06","28",0.525213217,25333.14,21.48546244,817092.1365,89.46613034,38030,22.90181506,817090.9577,92.19233136,35678,0.92898191,22718.38,15.1118584,575444.4559,80.38658356,38079,16.00632498,575443.3894,82.64498273,35951
