"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KMHX20110701_100406",63279.2,"2011","07","01",0.480982837,56350.23,9.815494177,489852.0524,51.83829479,49906,11.53045529,489848.3321,56.00873604,42483,1.434303601,6928.97,1.314168123,65707.09197,5.214008698,49999,2.000136865,65698.49561,6.325383579,32847
"KMHX20110701_100955",53069.68,"2011","07","01",0.481020274,46448.43,8.550225974,426946.9838,44.99829089,49934,9.825414484,426943.7356,48.10747697,43453,1.436750331,6621.25,1.273430492,63676.6183,5.611865545,50004,1.896416266,63668.38329,6.762053876,33573
"KMHX20110701_101542",44976.28,"2011","07","01",0.484502571,39468.45,8.211459074,410039.2089,46.10669148,49935,9.271177066,410036.3481,48.89142008,44227,1.43521048,5507.83,1.0952801,54765.10028,3.444267295,50001,1.641340503,54756.76052,4.109040931,33361
"KMHX20110701_102130",46464.08,"2011","07","01",0.4799896,41544.08,7.8392213,391506.3902,44.28208225,49942,8.76533629,391503.7454,46.73824753,44665,1.435688477,4920,1.030324861,51520.36437,3.524393899,50004,1.547836013,51511.98251,4.226438332,33280
"KMHX20110701_102717",47750.48,"2011","07","01",0.480050881,43223.66,6.30030335,314744.2545,33.38173365,49957,7.037263997,314741.6323,35.20673749,44725,1.436377648,4526.82,0.981422408,49074.06467,3.223231915,50003,1.495305192,49065.44926,3.881223452,32813
"KMHX20110701_103304",42255.06,"2011","07","01",0.481170615,38396.85,5.148569981,257299.7848,26.60758475,49975,5.750942358,257297.1611,28.0595762,44740,1.437356143,3858.21,0.850263486,42518.27587,2.451696029,50006,1.307019866,42509.51412,2.940239882,32524
"KMHX20110701_103852",50001.69,"2011","07","01",0.482182582,46834.71,5.99192021,299488.1559,30.29875373,49982,6.620664901,299485.7768,31.78350759,45235,1.436220443,3166.98,0.779566609,38980.66914,4.424083572,50003,1.225250716,38971.54954,5.497631504,31807
"KMHX20110701_104439",49374.06,"2011","07","01",0.480674112,46479.58,5.730826976,286421.0014,28.46537671,49979,6.308226334,286418.7085,29.80406935,45404,1.436717115,2894.48,0.711596173,35580.52024,2.29189426,50001,1.136930387,35571.14102,2.812720822,31287
"KMHX20110701_105027",42785.51,"2011","07","01",0.479716367,40204.07,5.218184228,260877.9023,24.91999894,49994,5.765332364,260875.5241,26.13378716,45249,1.434404402,2581.44,0.648671465,32435.51925,2.594698339,50003,1.051594373,32425.91249,3.23947206,30835
"KMHX20110701_105615",38164.25,"2011","07","01",0.481586652,35810.42,4.823936278,241119.6309,26.7030292,49984,5.377395846,241117.0523,28.1406458,44839,1.435678481,2353.83,0.664256209,33215.46747,5.067359027,50004,1.0897469,33205.67778,6.455678589,30471
"KMHX20110701_110203",39101.58,"2011","07","01",0.480258341,36926.83,4.868589295,243371.0417,25.41602985,49988,5.424582596,243368.4736,26.77196935,44864,1.434217885,2174.75,0.600501442,30025.67259,3.754999437,50001,0.99673592,30015.70548,4.797613399,30114
"KMHX20110701_110753",38935.86,"2011","07","01",0.481675189,36855.77,4.617874376,230829.0686,26.76999978,49986,5.181170897,230826.3446,28.30445501,44551,1.434291481,2080.09,0.5398302,26992.58965,1.986034322,50002,0.893998281,26982.65612,2.493618791,30182
"KMHX20110701_111341",33321.48,"2011","07","01",0.480757366,31430.55,4.136600981,206747.317,24.72505,49980,4.674831717,206744.4327,26.23673202,44225,1.436646138,1890.93,0.49801546,24902.26707,1.937454609,50003,0.829962584,24892.23781,2.446016867,29992
"KMHX20110701_111931",30847.03,"2011","07","01",0.480912503,29076.47,3.800839523,190003.9677,24.29789181,49990,4.344564329,190000.8318,25.9325242,43733,1.436563745,1770.56,0.491337205,24568.33428,3.158345662,50003,0.828966113,24558.12109,4.069055209,29625
"KMHX20110701_112518",26032.58,"2011","07","01",0.483335351,24391.31,3.646238727,182239.0116,23.59106432,49980,4.162537785,182235.9042,25.16359665,43780,1.436278162,1641.27,0.454999793,22749.98966,1.994137591,50000,0.770733369,22739.71733,2.548716849,29504
"KMHX20110701_113106",29511.77,"2011","07","01",0.481964425,27630.72,4.074054052,203629.3696,24.24737286,49982,4.641372797,203626.3074,25.82992542,43872,1.436303882,1881.05,0.474269926,23715.39338,1.277143421,50004,0.787058909,23705.42727,1.569066304,30119
"KMHX20110701_113653",26824.63,"2011","07","01",0.481165851,24906.02,3.883283895,194102.0622,25.3359607,49984,4.448238345,194098.8802,27.07027589,43635,1.438183692,1918.61,0.494689495,24735.9588,4.083307867,50003,0.827948881,24725.86539,5.25755107,29864
"KMHX20110701_114240",25280.19,"2011","07","01",0.484006103,21330.22,3.778323373,188878.3854,23.39150986,49990,4.37889664,188874.9488,25.13005106,43133,1.435422209,3949.97,0.727829388,36389.28592,12.57676927,49997,1.21559886,36379.22709,16.23771051,29927
"KMHX20110701_114828",28811.98,"2011","07","01",0.482211906,23913.57,4.681427688,233874.7645,31.40405938,49958,5.361567811,233871.5879,33.55397471,43620,1.439627386,4898.41,0.804051981,40198.57878,14.45926245,49995,1.342391825,40188.52647,18.66599629,29938
"KMHX20110701_115415",25817.35,"2011","07","01",0.481216211,20890.09,4.717087789,235698.7256,32.18964642,49967,5.507281633,235695.1321,34.7191774,42797,1.434682273,4927.26,0.804149776,40189.79753,15.708316,49978,1.349171453,40179.67505,20.33136643,29781
"KMHX20110701_120003",27286.15,"2011","07","01",0.481100873,20229.69,4.632515137,231537.7391,30.45825723,49981,5.479832088,231533.8654,33.05704597,42252,1.433668683,7056.46,1.1569949,57842.80302,21.36000045,49994,1.961022928,57832.52718,27.78276441,29491
"KMHX20110701_120550",23811.36,"2011","07","01",0.482625071,18931.05,4.995945635,249607.4358,32.26489338,49962,5.934462088,249603.4754,35.08618598,42060,1.433408411,4880.31,0.912379022,45617.12634,17.21297458,49998,1.55014491,45606.81341,22.41712494,29421
"KMHX20110701_121138",21849.11,"2011","07","01",0.480027527,17724.55,5.836266656,291568.2096,35.84895023,49958,7.007571422,291564.0242,39.1776664,41607,1.433731977,4124.56,0.843675005,42166.87674,12.72292627,49980,1.429715981,42156.6054,16.53926984,29486
"KMHX20110701_121725",22583.44,"2011","07","01",0.481104672,18092.34,6.017862815,300700.5692,36.33732764,49968,7.250061786,300696.3126,39.77258607,41475,1.43500758,4491.1,0.877160075,43850.98648,15.52808168,49992,1.490368305,43840.67405,20.22062698,29416
"KMHX20110701_122312",19158.3,"2011","07","01",0.483656155,15928.1,5.415109775,270663.4319,32.30454809,49983,6.644868786,270658.7954,35.67121956,40732,1.436474542,3230.2,0.709052446,35451.91327,10.57055873,49999,1.205537223,35441.58881,13.76355498,29399
"KMHX20110701_122900",20340.31,"2011","07","01",0.48451341,17779.98,6.369765436,318214.3719,36.67961217,49957,7.736687282,318209.9479,40.29347234,41130,1.438079432,2560.33,0.695425933,34766.42868,10.47411145,49993,1.196129532,34755.93582,13.7170181,29057
