"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KTLX20110701_100430",1374.19,"2011","07","01",0.526174794,1220.11,3.502724023,72341.75925,19.90104564,20653,3.710755521,72341.17888,20.4647585,19495,1.528856273,154.08,0.668837204,13812.15709,3.187233249,20651,0.734366614,13811.2329,3.332632409,18807
"KTLX20110701_101410",1205.8,"2011","07","01",0.526523899,1087.66,2.723681966,56244.03259,19.02288254,20650,2.900789138,56243.40059,19.61867693,19389,1.530631043,118.14,0.465211722,9608.482906,3.284745578,20654,0.521855418,9607.358242,3.474943681,18410
"KTLX20110701_102350",1071.35,"2011","07","01",0.525977642,966.34,2.741547439,56607.47151,22.38721298,20648,2.950726531,56606.73777,23.21248686,19184,1.530226021,105.01,0.412144034,8511.598584,4.213068948,20652,0.46940621,8510.33459,4.493591742,18130
"KTLX20110701_103331",1180.93,"2011","07","01",0.525975582,1062.13,2.594288399,53548.70683,23.6693302,20641,2.798137276,53547.95305,24.57028464,19137,1.529737413,118.8,0.442639369,9142.27352,3.769265902,20654,0.521967724,9140.69879,4.088425688,17512
"KTLX20110701_104311",2187.9,"2011","07","01",0.52643208,2065.64,3.370870672,69605.10851,20.92175538,20649,3.654536654,69604.30511,21.76064664,19046,1.529574499,122.26,0.365782433,7554.504585,2.485615236,20653,0.447827221,7552.606088,2.743965954,16865
"KTLX20110701_105251",2261.73,"2011","07","01",0.526423877,2117.74,3.230459882,66689.61381,19.93610236,20644,3.558816322,66688.65905,20.8970408,18739,1.529943671,143.99,0.365091642,7540.237684,2.460882625,20653,0.457689206,7538.141217,2.748048306,16470
"KTLX20110701_110231",1988.4,"2011","07","01",0.526031584,1863.66,4.096498553,84580.40563,26.86638436,20647,4.491503132,84579.49548,28.10054315,18831,1.529586588,124.74,0.446559829,9222.353582,7.347208219,20652,0.566662029,9220.15788,8.273389955,16271
"KTLX20110701_111212",1927.98,"2011","07","01",0.526074153,1660.94,5.1526918,106387.6276,26.16833145,20647,5.535795161,106386.9114,27.08472041,19218,1.528781733,267.04,0.826360224,17068.47042,8.492063567,20655,0.908620778,17067.5327,8.900782218,18784
"KTLX20110701_112152",1986.82,"2011","07","01",0.526208656,1627.36,5.37445212,110928.6918,29.1681807,20640,5.709407834,110928.0848,30.03168387,19429,1.5283475,359.46,1.152334298,23800.31259,4.187414597,20654,1.193757999,23799.95323,4.256246836,19937
"KTLX20110701_113132",1693.93,"2011","07","01",0.526218721,1375.97,5.230667424,107981.8983,27.66672288,20644,5.530414211,107981.3375,28.41937394,19525,1.528637929,317.96,1.043632931,21555.19456,5.631222503,20654,1.080659767,21554.83971,5.726807416,19946
"KTLX20110701_114112",1426.4,"2011","07","01",0.526152753,1206.73,4.169437822,86094.72159,21.91843111,20649,4.420524425,86094.1337,22.54426362,19476,1.528298089,219.67,0.737123861,15223.8191,2.790898062,20653,0.776698538,15223.29135,2.859524451,19600
"KTLX20110701_115052",1311.54,"2011","07","01",0.526503027,1154.38,4.284093871,88453.68615,31.3651899,20647,4.562022572,88453.05565,32.34717967,19389,1.529009223,157.16,0.56760335,11721.57677,4.769908705,20651,0.614554603,11720.7854,4.960541398,19072
"KTLX20110701_120033",1168.74,"2011","07","01",0.526278051,1048.02,3.749745357,77428.49188,22.90935948,20649,4.013883399,77427.81077,23.68028605,19290,1.528225212,120.72,0.427118794,8821.284445,3.373523553,20653,0.477489788,8820.191355,3.563765934,18472
"KTLX20110701_121013",1193.2,"2011","07","01",0.526418997,1100.5,3.633094935,74994.34565,25.72680383,20642,3.888704461,74993.66554,26.59792635,19285,1.530809417,92.7,0.36430367,7523.963701,2.78803656,20653,0.426781267,7522.446607,3.013554412,17626
"KTLX20110701_121953",1006.73,"2011","07","01",0.52620107,935.95,3.163805726,65338.91586,23.25850057,20652,3.38627809,65338.23575,24.04686298,19295,1.529868666,70.78,0.331588161,6848.290293,7.074278662,20653,0.406819998,6846.373753,7.834997465,16829
"KTLX20110701_122933",787.08,"2011","07","01",0.526342381,728.62,3.018645593,62328.9942,20.94709784,20648,3.222601683,62328.33915,21.62814334,19341,1.528500761,58.46,0.277061621,5722.153652,2.506467441,20653,0.35505132,5719.876758,2.83310062,16110
"KTLX20110701_123914",758.92,"2011","07","01",0.526261191,711.75,3.099575004,63981.42724,27.86129887,20642,3.321259168,63980.7366,28.82786535,19264,1.530308543,47.17,0.257067025,5309.719405,3.694581138,20655,0.34713694,5307.029534,4.290799388,15288
"KTLX20110701_124854",678.44,"2011","07","01",0.526489926,632.08,2.924008721,60348.61599,22.95175546,20639,3.135282566,60347.91884,23.75272382,19248,1.529526623,46.36,0.25530562,5272.826977,2.089798957,20653,0.349217373,5270.039374,2.438079269,15091
"KTLX20110701_125835",798.83,"2011","07","01",0.525928219,749.12,3.463892547,71512.06163,27.49329087,20645,3.730376754,71511.32238,28.51403047,19170,1.530160026,49.71,0.254507313,5256.594044,1.179891011,20654,0.343976539,5253.897657,1.36080874,15274
"KTLX20110702_100537",1259.49,"2011","07","02",0.526353432,1116.71,2.713957988,56045.94641,19.14309974,20651,2.910685368,56045.24676,19.81049135,19255,1.528823654,142.78,0.592395381,12234.7418,5.315564389,20653,0.634414835,12234.05568,5.498597219,19284
"KTLX20110702_101517",1587.48,"2011","07","02",0.526540508,1468.26,2.838443013,58622.36354,18.88590277,20653,3.064060278,58621.60123,19.60468151,19132,1.529935031,119.22,0.403590844,8334.958108,5.891865724,20652,0.441096487,8334.077021,6.158547961,18894
"KTLX20110702_102457",1166.69,"2011","07","02",0.526396836,1051.28,2.133082007,44052.4096,10.50150534,20652,2.323884764,44051.55959,10.94101177,18956,1.530274389,115.41,0.270550224,5587.944327,2.607708442,20654,0.306609129,5586.724939,2.774375436,18221
"KTLX20110702_103438",1486.22,"2011","07","02",0.529350719,1348.38,2.704089909,55842.16071,19.90607464,20651,2.956755063,55841.27612,20.79756441,18886,1.530287464,137.84,0.409964438,8466.585584,4.814613759,20652,0.490263441,8464.888564,5.261874273,17266
"KTLX20110702_104418",1534.11,"2011","07","02",0.525892384,1410.63,2.602280355,53737.08933,12.73247841,20650,2.861959422,53736.15011,13.32494973,18776,1.5290697,123.48,0.298021,6154.133657,2.079027746,20650,0.369098748,6152.137929,2.3084264,16668
"KTLX20110702_105357",2207.91,"2011","07","02",0.526198255,2097.31,3.640147656,75183.60969,20.30524845,20654,4.089560052,75182.472,21.4797122,18384,1.528614525,110.6,0.339581403,7013.714303,2.379754001,20654,0.432941001,7011.479509,2.67996606,16195
"KTLX20110702_110338",2314.48,"2011","07","02",0.526329079,2174.83,5.261634629,108642.2318,29.33416866,20648,5.943489496,108641.0445,31.11219994,18279,1.528993611,139.65,0.61116071,12622.30214,3.546194728,20653,0.775048329,12620.11195,3.977907162,16283
"KTLX20110702_111317",3460.95,"2011","07","02",0.526082361,3092.83,8.496333454,175381.3152,41.00332387,20642,9.317345986,175380.4035,42.84979395,18823,1.531089633,368.12,1.43705379,29682.34603,4.946930436,20655,1.627879787,29681.13215,5.235696335,18233
"KTLX20110702_112258",2767.91,"2011","07","02",0.526367684,2178.11,6.860363519,141618.4841,37.82228466,20643,7.334290514,141617.8155,39.06257935,19309,1.530770762,589.8,1.805607383,37289.40367,3.985202664,20652,1.930558301,37288.73358,4.091463821,19315
"KTLX20110702_113239",2290.31,"2011","07","02",0.526471997,1791.33,5.923995644,122289.0421,28.73302616,20643,6.281510848,122288.4532,29.54948979,19468,1.528783204,498.98,1.567737155,32373.77226,6.585776281,20650,1.635182607,32373.34524,6.717797576,19798
"KTLX20110702_114219",1955.62,"2011","07","02",0.526022495,1579.69,4.864421039,100391.9214,26.31394971,20638,5.170811664,100391.3084,27.10091358,19415,1.528500094,375.93,1.135174019,23447.01936,3.433297004,20655,1.195578814,23446.49612,3.51324385,19611
"KTLX20110702_115159",1971.01,"2011","07","02",0.526542669,1702.61,5.010158377,103444.74,27.0588397,20647,5.347605819,103444.087,27.92307552,19344,1.528522167,268.4,0.843385654,17420.13069,4.131646635,20655,0.907685736,17419.39695,4.279541219,19191
"KTLX20110702_120139",1549,"2011","07","02",0.526445294,1342.8,4.000032761,82588.67641,25.53219228,20647,4.290953123,82587.97475,26.42091672,19247,1.528450492,206.2,0.609036694,12578.43484,2.294084047,20653,0.65962033,12577.64046,2.380539145,19068
"KTLX20110702_121120",1446.22,"2011","07","02",0.526033522,1286.84,3.932194012,81176.21318,24.9344325,20644,4.234505709,81175.47443,25.85059912,19170,1.52855807,159.38,0.546971643,11297.6993,4.023101692,20655,0.604038096,11296.72048,4.223882895,18702
"KTLX20110702_122100",1247.79,"2011","07","02",0.526528223,1109.35,3.564283157,73584.62578,24.18818496,20645,3.842299463,73583.87701,25.09272097,19151,1.528171537,138.44,0.458026216,9459.157418,4.300197416,20652,0.515984379,9457.993662,4.561187457,18330
"KTLX20110702_123040",1197.38,"2011","07","02",0.526378515,1074.58,3.164217703,65331.60292,21.2646933,20647,3.414385106,65330.84462,22.07014198,19134,1.528521704,122.8,0.383417356,7919.102061,1.999603238,20654,0.437400455,7917.823031,2.130387205,18102
"KTLX20110702_124021",1511.39,"2011","07","02",0.525978705,1400.47,4.229528883,87348.23048,28.07519995,20652,4.558132037,87347.48422,29.11989361,19163,1.528864433,110.92,0.400483834,8270.792134,4.044723211,20652,0.454995912,8269.550693,4.30868231,18175
"KTLX20110702_125001",1480.48,"2011","07","02",0.526213227,1375.79,4.263732267,87986.37907,28.78287356,20636,4.589517752,87985.64483,29.83739891,19171,1.528318569,104.69,0.36971338,7635.690447,2.250764136,20653,0.420931216,7634.42946,2.397331893,18137
"KTLX20110702_125941",1721.24,"2011","07","02",0.526156622,1616.29,4.891838566,100933.3051,33.25415045,20633,5.233737595,100932.6295,34.37077362,19285,1.529066242,104.95,0.448086823,9252.992888,5.984345111,20650,0.512899644,9251.683787,6.400413222,18038
"KTLX20110703_100046",1268.13,"2011","07","03",0.526257672,1087.06,2.725208044,56278.27132,17.16578983,20651,2.93234369,56277.54009,17.78929287,19192,1.530271995,181.07,0.764251633,15784.85324,4.202058184,20654,0.803397391,15784.34854,4.304756177,19647
"KTLX20110703_101026",1159.07,"2011","07","03",0.526508019,997.21,2.691372877,55582.23266,16.65718674,20652,2.904246727,55581.47386,17.28568072,19138,1.529702558,161.86,0.667549506,13786.2324,5.20039577,20652,0.71056159,13785.60541,5.362602046,19401
"KTLX20110703_102005",1011.84,"2011","07","03",0.526245011,880.4,2.453241721,50654.53506,17.25664515,20648,2.653557216,50653.7537,17.93271529,19089,1.530507105,131.44,0.436419603,9013.810485,4.585755562,20654,0.475718065,9012.954457,4.786060613,18946
"KTLX20110703_102945",1035.09,"2011","07","03",0.526215167,898.1,2.510079555,51838.16296,17.99007374,20652,2.742278283,51837.28639,18.78703572,18903,1.531522604,136.99,0.421951047,8713.289128,4.699209449,20650,0.470904928,8712.212077,4.962327994,18501
"KTLX20110703_103924",1319.23,"2011","07","03",0.526241925,1151.35,2.305589646,47610.42618,11.49794218,20650,2.532689541,47609.49798,12.02717891,18798,1.530256836,167.88,0.499991644,10326.82743,7.353018318,20654,0.56684264,10325.60553,7.82723685,18216
"KTLX20110703_104904",1650.4,"2011","07","03",0.5266203,1510.79,2.775871258,57330.0691,19.03520504,20653,3.107429372,57328.96448,20.11461743,18449,1.530378963,139.61,0.337184502,6963.534344,1.965234827,20652,0.398121352,6961.948087,2.13001716,17487
"KTLX20110703_105843",2089.01,"2011","07","03",0.526582466,1934.13,3.534786335,72972.12911,21.58642783,20644,4.028645757,72970.8606,23.00218157,18113,1.530056035,154.88,0.510530379,10544.49444,4.171954075,20654,0.623786373,10542.61348,4.604323652,16901
"KTLX20110703_110824",2654.84,"2011","07","03",0.52659807,2388.92,6.870420425,141764.255,35.9566836,20634,7.484868323,141763.406,37.46900193,18940,1.530125358,265.92,1.05510592,21788.99235,4.664564451,20651,1.189486411,21787.82258,4.936700269,18317
"KTLX20110703_111803",3756.2,"2011","07","03",0.526330205,2967.13,9.400925024,193969.286,46.00027161,20633,10.03147683,193968.636,47.45148538,19336,1.529528337,789.07,1.685983283,34818.92677,5.151430535,20652,1.706469441,34818.80247,5.179271012,20404
"KTLX20110703_112743",2905.83,"2011","07","03",0.526713138,2078.63,6.905536409,142502.6493,38.06611691,20636,7.3179308,142502.0665,39.14789007,19473,1.530640352,827.2,1.693231116,34971.99547,3.820328815,20654,1.696762598,34971.97392,3.823528733,20611
"KTLX20110703_113723",2180.92,"2011","07","03",0.528902657,1557.22,5.008767761,103390.9841,28.06312724,20642,5.309150598,103390.3987,28.86488143,19474,1.529922925,623.7,1.289962673,26641.59909,3.703404319,20653,1.292214243,26641.58105,3.706244021,20617
"KTLX20110703_114703",1855.4,"2011","07","03",0.52585768,1408.69,4.420631186,91294.87525,25.05142141,20652,4.726840875,91294.20466,25.8767182,19314,1.530529512,446.71,0.933671141,19282.17641,3.294763625,20652,0.936390168,19282.14634,3.299174776,20592
"KTLX20110703_115643",1508.74,"2011","07","03",0.526248362,1146.08,3.530709096,72912.67355,21.09503039,20651,3.796508661,72911.94883,21.85173637,19205,1.529968418,362.66,0.746980625,15425.89689,2.403082116,20651,0.749519548,15425.86181,2.406770462,20581
"KTLX20110703_120623",1351.51,"2011","07","03",0.52611273,1038.15,3.401870466,70238.41951,23.49557496,20647,3.661645567,70237.68527,24.35681837,19182,1.530101635,313.36,0.644306765,13308.15623,2.145109652,20655,0.647218637,13308.10962,2.149517461,20562
"KTLX20110703_121603",1315.13,"2011","07","03",0.526513444,1039.88,3.557701759,73459.42593,24.81855503,20648,3.829364108,73458.69169,25.72865421,19183,1.530532804,275.25,0.580138058,11981.59132,4.005409613,20653,0.585920538,11981.48908,4.024919538,20449
