"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KINX20110714_100507",3987.16,"2011","07","14",0.525096802,3377.33,2.999714475,117078.856,19.54527001,39030,3.087182303,117078.3017,19.82142491,37924,1.491287106,609.83,0.565576953,22080.12424,3.457344431,39040,0.680207802,22076.82442,3.781561969,32456
"KINX20110714_101041",4318.5,"2011","07","14",0.522405671,3709.8,3.193239767,124664.0805,20.01345432,39040,3.299196846,124663.452,20.3342519,37786,1.492399381,608.7,0.631781022,24666.62645,8.210903845,39043,0.761917888,24663.28202,9.012132795,32370
"KINX20110714_101615",4768.83,"2011","07","14",0.522123014,4165.83,3.404302052,132893.7392,20.32207327,39037,3.531383796,132893.035,20.68712904,37632,1.494246287,603,0.525215592,20505.99236,5.484480599,39043,0.64256796,20502.41588,6.060666107,31907
"KINX20110714_102148",5059.59,"2011","07","14",0.5281385,4220.41,3.174249833,123894.1452,19.78076719,39031,3.342231026,123893.1619,20.28368,37069,1.491857786,839.18,0.601977677,23502.41245,5.190877679,39042,0.757328733,23498.39593,5.812688131,31028
"KINX20110714_102722",5074.49,"2011","07","14",0.528125533,4108.92,3.153156237,123096.0663,22.8443991,39039,3.383396588,123094.7347,23.64743022,36382,1.530593967,965.57,0.674471026,26334.04674,7.477596365,39044,0.872997155,26329.59419,8.497768216,30160
"KINX20110714_103256",4373.38,"2011","07","14",0.559578061,3153.46,2.386610147,93168.48693,15.77418356,39038,2.639953784,93166.60898,16.57032691,35291,1.52881304,1219.92,0.677322273,26444.0162,3.778447573,39042,0.908994925,26439.02638,4.353526025,29086
"KINX20110714_103830",6685.99,"2011","07","14",0.530940754,5506.66,3.363844761,131314.4079,23.14886187,39037,3.826665928,131312.0413,24.65442671,34315,1.49104117,1179.33,0.708519455,27662.01657,3.882332274,39042,0.978579498,27656.61377,4.534057429,28262
"KINX20110714_104403",6009.06,"2011","07","14",0.526860516,4820.89,2.431965288,94934.197,14.79062796,39036,2.878533652,94931.16131,16.0517002,32979,1.511911517,1188.17,0.707669385,27627.4128,6.004460572,39040,1.006251513,27621.60404,7.139775904,27450
"KINX20110714_104937",6062.99,"2011","07","14",0.530292386,4658.95,2.019471809,78840.17944,15.01727384,39040,2.483744094,78836.52127,16.62005741,31741,1.527107911,1404.04,0.784590973,30628.8624,6.212782669,39038,1.14773319,30622.66923,7.487272293,26681
"KINX20110714_105511",4708.38,"2011","07","14",0.560558813,3695.27,1.859643971,72602.36027,13.65710813,39041,2.339994932,72598.34275,15.28348983,31025,1.53589081,1013.11,0.603046956,23544.76228,4.14824747,39043,0.929176161,23537.89051,5.12047741,25332
