"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KFCX20100615_100316",8.31,"2010","06","15",0.452669174,5.58,0.00134004,12.74646431,0.033184807,9512,0.997897605,7.983180839,0.600250928,8,0.849183566,2.73,0.000501187,4.767292966,0,9512,NA,0,NA,0
"KFCX20100615_100731",25.92,"2010","06","15",0.457127587,22.61,0.005895101,56.06830465,0.086673315,9511,0.950529203,51.32857698,0.658478337,54,0.840257278,3.31,0.000669118,6.36799325,0.011659509,9517,0.799598361,1.599196723,0.129616317,2
"KFCX20100615_101148",70.88,"2010","06","15",0.455259832,59.19,0.016675357,158.6159926,0.150277762,9512,0.98042921,153.927386,0.652993577,157,0.847034226,11.69,0.002941073,27.95784141,0.073853833,9506,0.92824341,23.20608525,1.125146535,25
"KFCX20100615_101603",114.48,"2010","06","15",0.456919873,101.85,0.028417061,270.2178377,0.228442071,9509,1.097410478,265.5733356,0.93882575,242,0.854555051,12.63,0.003709835,35.29908339,0.052106629,9515,0.678952006,30.55284029,0.344308635,45
"KFCX20100615_102020",135.45,"2010","06","15",0.457500855,113.3,0.031130439,296.0504707,0.212487043,9510,1.011904591,291.4285221,0.707487147,288,0.860829713,22.15,0.006437753,61.20371484,0.074101697,9507,0.724077185,56.47802042,0.389725692,78
"KFCX20100615_102435",208.1,"2010","06","15",0.460563576,170.86,0.044742488,425.590542,0.323368053,9512,1.249234864,420.9921492,1.204724536,337,0.855660386,37.24,0.01176893,111.9107516,0.134933085,9509,0.864573463,107.2071094,0.815190398,124
"KFCX20100615_102853",210.89,"2010","06","15",0.453220122,147.04,0.038288547,364.0475011,0.279516242,9508,1.174626066,359.4355762,1.047259778,306,0.846901393,63.85,0.016834963,160.1173322,0.147894134,9511,0.953571987,155.432234,0.621063076,163
"KFCX20100615_103307",197.79,"2010","06","15",0.457122437,163.79,0.04134572,393.0324162,0.316196914,9506,1.321141086,388.4154794,1.24397632,294,0.842719765,34,0.009918429,94.31434418,0.116456253,9509,0.800041855,89.60468774,0.72406289,112
"KFCX20100615_103723",172.36,"2010","06","15",0.454923209,111.89,0.02984584,284.0727083,0.22588004,9518,1.149893814,279.4241967,0.844873459,243,0.859435843,60.47,0.014772466,140.4861552,0.151011569,9510,0.998441368,135.788026,0.78572695,136
"KFCX20100615_104140",125.88,"2010","06","15",0.456495796,89.87,0.024014974,228.3824035,0.194993536,9510,1.06533982,223.7213622,0.784718697,210,0.84603621,36.01,0.009863753,93.81415039,0.13476086,9511,0.873514507,89.09847971,0.973919491,102
"KFCX20100615_104557",93.07,"2010","06","15",0.454354394,70.26,0.019309817,183.6170509,0.161962702,9509,0.977830485,178.9429787,0.654571563,183,0.86359166,22.81,0.005931639,56.44547457,0.08834728,9516,0.957467425,51.70324097,0.688108501,54
"KFCX20100615_105014",76.01,"2010","06","15",0.457477768,58.2,0.01662162,158.187957,0.154112704,9517,0.971502188,153.4973456,0.711667488,158,0.854248252,17.81,0.004870489,46.30860865,0.062721226,9508,0.649615569,41.57539642,0.41048234,64
"KFCX20100615_105432",65.96,"2010","06","15",0.456415609,55.92,0.016353379,155.487927,0.149264012,9508,0.897659751,150.8068382,0.687705184,168,0.858927016,10.04,0.002629196,25.02469122,0.042089686,9518,0.563123163,20.27243387,0.39667539,36
"KFCX20100615_105847",62.61,"2010","06","15",0.461242734,48.68,0.014636929,139.2411095,0.132760089,9513,0.820460427,134.55551,0.6031082,164,0.853895633,13.93,0.003635612,34.57830561,0.051728272,9511,0.678035593,29.83356607,0.352469942,44
"KFCX20100615_110302",42.95,"2010","06","15",0.445327358,37.73,0.010895581,103.6605572,0.129889798,9514,0.95138832,98.94438532,0.809469385,104,0.868832563,5.22,0.00132468,12.60565261,0.027781868,9516,0.712897087,7.841867952,0.420458033,11
"KFCX20100615_110720",33.17,"2010","06","15",0.45574491,22.89,0.006735288,64.05932627,0.083107572,9511,0.801751653,59.32962235,0.504035545,74,0.873714057,10.28,0.002952695,28.07717207,0.049851409,9509,0.686130089,23.32842303,0.483143747,34
"KFCX20100615_111134",39.07,"2010","06","15",0.455920486,31.53,0.008585058,81.63531292,0.102424488,9509,0.904848523,76.91212443,0.606030704,85,0.846475566,7.54,0.001889932,17.98081019,0.035221643,9514,0.73452979,13.22153622,0.353259747,18
"KFCX20100615_111550",32.86,"2010","06","15",0.457268948,25.19,0.006474077,61.58141597,0.076273787,9512,0.812131516,56.84920611,0.372211051,70,0.846182209,7.67,0.0018593,17.69310172,0.038783812,9516,0.760724952,12.93232419,0.530617582,17
"KFCX20100615_112007",30.84,"2010","06","15",0.455456131,26.84,0.007697993,73.21560832,0.091876983,9511,0.866941903,68.48841033,0.524566919,79,0.845929935,4,0.000889003,8.453532874,0.022797299,9509,0.922437055,3.689748218,0.717178454,4
"KFCX20100615_112424",22.72,"2010","06","15",0.456394038,18.63,0.005040087,47.94130916,0.07083918,9512,0.863981511,43.19907556,0.466074556,50,0.858290137,4.09,0.000942064,8.960911667,0.016457948,9512,0.524703525,4.197628198,0.232910839,8
"KFCX20100615_112839",16.46,"2010","06","15",0.446755775,12.47,0.003215837,30.57618222,0.049625947,9508,0.737955302,25.82843556,0.361733396,35,0.85605665,3.99,0.000927712,8.827183588,0.015617198,9515,0.50779957,4.062396557,0.193963371,8
"KFCX20100615_113256",17.36,"2010","06","15",0.45774576,11.88,0.003113033,29.59560929,0.052902521,9507,0.828195262,24.84585787,0.459262919,30,0.853289385,5.48,0.00136476,12.98296163,0.02708794,9513,0.548179019,8.222685283,0.421504212,15
"KFCX20100615_113712",20.24,"2010","06","15",0.456854882,9.84,0.002541321,24.1730489,0.041019905,9512,0.693563899,19.41978918,0.309940438,28,0.848281182,10.4,0.001893591,18.00994598,0.039790478,9511,0.946440773,13.25017082,0.44273876,14
"KFCX20100615_114156",14.08,"2010","06","15",0.453914932,10.86,0.002341509,22.26072712,0.046162316,9507,0.875298192,17.50596384,0.512152455,20,0.865031793,3.22,0.000669015,6.360994791,0.008208195,9508,0.399427831,1.597711322,0.037536843,4
"KFCX20100615_114613",9.95,"2010","06","15",0.457267092,6.63,0.001673946,15.93093979,0.03059487,9517,0.698072493,11.16915988,0.275052948,16,0.868777236,3.32,0.00070949,6.750794517,0.016745933,9515,0.991500182,1.983000363,0.839184444,2
"KFCX20100615_115028",10.24,"2010","06","15",0.461380727,7.08,0.001796729,17.08688899,0.036465532,9510,0.821874414,12.32811621,0.425994861,15,0.872415537,3.16,0.000617386,5.871341172,0.00832129,9510,0.553026477,1.106052955,0.219088985,2
"KFCX20100615_115447",6.48,"2010","06","15",0.457569653,3.26,0.00067969,6.465895075,0.00905828,9513,0.425026418,1.70010567,0.141302522,4,0.84580985,3.22,0.000669895,6.373381568,0.00853697,9514,0.401772744,1.607090976,0.128454232,4
"KFCX20100615_115902",13.59,"2010","06","15",0.452145961,10.39,0.00233218,22.18369954,0.052159899,9512,1.024995692,17.42492676,0.709974782,17,0.843544115,3.2,0.000622507,5.919416407,0.008576763,9509,0.577314688,1.154629377,0.184740268,2
"KFCX20100615_120318",8.01,"2010","06","15",0.456188315,4.88,0.001193176,11.35545169,0.020364189,9517,0.549305586,6.591667037,0.174930882,12,0.869532875,3.13,0.000647469,6.158728764,0.010476594,9512,0.696219086,1.392438172,0.275816691,2
"KFCX20100615_120735",8.05,"2010","06","15",0.448976034,5.08,0.001201422,11.42312096,0.022388757,9508,0.60575871,6.663345805,0.27210361,11,0.86445728,2.97,0.000595734,5.660071936,0.00655898,9501,0.449647202,0.899294404,0.072888612,2
"KFCX20100615_121150",11.08,"2010","06","15",0.456897718,7.15,0.001903379,18.10303431,0.050373692,9511,1.026365997,13.34275796,0.934042621,13,0.871655782,3.93,0.00078633,7.47720895,0.014961237,9509,0.678356074,2.713424295,0.31149201,4
"KFCX20100615_121605",9.52,"2010","06","15",0.454218385,6.57,0.001796938,17.0960657,0.034018868,9514,0.725664149,12.33629054,0.361037398,17,0.851383257,2.95,0.000589831,5.61047021,0.006442324,9512,0.422089809,0.844179618,0.198345596,2
"KFCX20100615_122021",10.33,"2010","06","15",0.456607206,6.88,0.001729149,16.44593543,0.039594359,9511,0.834725734,11.68616027,0.631254342,14,0.858536729,3.45,0.000772904,7.351864913,0.011267351,9512,0.431263178,2.58757907,0.137708986,6
"KFCX20100615_122436",12.91,"2010","06","15",0.457708815,9.26,0.002856458,27.1734832,0.045737402,9513,0.640663732,22.4232306,0.40611996,35,0.85815635,3.65,0.000840859,8.000776967,0.014856266,9515,0.539164594,3.234987562,0.268317053,6
"KFCX20100615_122853",15.14,"2010","06","15",0.453296591,10.25,0.003089547,29.39704021,0.049689605,9515,0.631994615,24.64778998,0.458882501,39,0.859536896,4.89,0.000806119,7.664583707,0.021555704,9508,1.450148932,2.900297864,0.464046572,2
"KFCX20100615_123407",18.7,"2010","06","15",0.480026779,12.11,0.003738078,35.56033463,0.055416262,9513,0.71660678,30.81409153,0.415759577,43,0.85400048,6.59,0.00133453,12.694048,0.032386934,9512,0.881251747,7.931265722,0.612507958,9
"KFCX20100615_123823",15.17,"2010","06","15",0.4568493,12.02,0.003624274,34.46685041,0.049656461,9510,0.646165531,29.72361443,0.311381017,46,0.857320558,3.15,0.000663446,6.3100382,0.008429467,9511,0.386312792,1.54525117,0.163900071,4
"KFCX20100615_124240",16,"2010","06","15",0.454822432,12.76,0.003736077,35.53009211,0.054369569,9510,0.715938432,30.78535257,0.384182118,43,0.843201261,3.24,0.000675268,6.419092983,0.008870715,9506,0.414202972,1.656811889,0.145643222,4
"KFCX20100615_124658",19.42,"2010","06","15",0.456412569,16.23,0.004939875,46.98315566,0.060747266,9511,0.681410282,42.24743749,0.327333237,62,0.86956481,3.19,0.000666017,6.334491451,0.012376079,9511,0.784351023,1.568702046,0.477533861,2
"KFCX20100615_125113",22.08,"2010","06","15",0.454361657,18.84,0.005874344,55.87088641,0.069035147,9511,0.691097061,51.14118249,0.375728726,74,0.862763262,3.24,0.000665442,6.333011133,0.009264575,9517,0.521571931,1.564715792,0.035307331,3
"KFCX20100615_125530",28.68,"2010","06","15",0.453613384,25.77,0.00817037,77.71656284,0.0955022,9512,0.729993886,72.9993886,0.586809518,100,0.869545108,2.91,0.0005676,5.396741375,0.004578874,9508,0.316227766,0.632455532,0,2
