"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KAKQ20110630_100542",21308.51,"2011","06","30",0.509536683,19956.67,5.131321131,42697.72313,13.85305037,8321,7.273678828,42696.49472,16.01456898,5870,1.52356315,1351.84,0.347526194,2891.765461,0.524458522,8321,0.909121414,2889.187855,0.458134774,3178
"KAKQ20110630_101521",18489.77,"2011","06","30",0.510015398,16866.13,4.635544589,38577.00207,15.83627882,8322,7.137010195,38575.5401,19.19125402,5405,1.518394783,1623.64,0.388122241,3229.565165,0.579795343,8321,0.950823752,3227.095816,0.537960322,3394
"KAKQ20110630_102500",14131.21,"2011","06","30",0.507974092,11976.75,3.17617985,26428.99253,11.75626976,8321,5.03667846,26427.45188,14.48534331,5247,1.522014275,2154.46,0.483641853,4025.834787,0.683131746,8324,1.087437107,4023.517297,0.627353631,3700
"KAKQ20110630_103439",8795.68,"2011","06","30",0.513132671,6638.35,1.727210221,14375.57067,3.006870139,8323,2.897376673,14373.88568,3.432074259,4961,1.519107033,2157.33,0.488783209,4068.142646,0.683107612,8323,1.07847765,4065.86074,0.628086669,3770
"KAKQ20110630_104418",8174.24,"2011","06","30",0.513874147,5751.68,1.487776483,12384.25145,2.885335459,8324,2.507605189,12382.55443,3.387855925,4938,1.521828125,2422.56,0.547209058,4556.06262,0.705634905,8326,1.078381778,4554.006249,0.639633196,4223
"KAKQ20110630_105357",7041.79,"2011","06","30",0.513530631,4586.13,1.180472905,9822.715045,2.075314877,8321,2.067128143,9820.925807,2.389803288,4751,1.522608023,2455.66,0.569577772,4738.887066,0.70601555,8320,1.08000807,4736.915395,0.628100726,4386
"KAKQ20110630_110336",6720.96,"2011","06","30",0.513195271,4197.89,1.083122379,9012.661315,1.953327014,8321,1.991767972,9010.758307,2.282275642,4524,1.516828805,2523.07,0.583087643,4852.455364,0.680739643,8322,1.046517257,4850.607487,0.589281063,4635
"KAKQ20110630_111315",6783.47,"2011","06","30",0.512352732,4137.01,1.060186141,8822.869062,2.239649352,8322,1.941663015,8820.975076,2.734586146,4543,1.518992539,2646.46,0.596932416,4967.671567,0.700957311,8322,1.069069688,4965.828701,0.612986795,4645
"KAKQ20110630_112254",7141.18,"2011","06","30",0.510823333,4226.75,1.087134902,9047.136654,1.905640913,8322,1.934825417,9045.308824,2.196576234,4675,1.520368438,2914.43,0.639861109,5326.203869,0.783311638,8324,1.142568137,5324.367519,0.722403798,4660
"KAKQ20110630_113233",6711.23,"2011","06","30",0.510425966,4093.3,1.082622887,9009.587669,2.165476536,8322,1.994614737,9007.680151,2.612123704,4516,1.520162716,2617.93,0.566105206,4712.825844,0.721958657,8325,1.113921254,4710.772981,0.645044271,4229
