"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KPAH20100804_100109",2054.82,"2010","08","04",0.500355783,2011.29,0.458533685,3521.080167,1.34128905,7679,1.786804666,3518.218388,2.15522123,1969,1.463304032,43.53,0.010624909,81.53555343,0.13964226,7674,1.29532523,77.71951383,0.918875015,60
"KPAH20100804_100653",2980.22,"2010","08","04",0.50269,2938.35,0.621589835,4770.701982,4.998127515,7675,1.892861398,4768.117861,8.586483938,2519,1.512761993,41.87,0.00928349,71.26007253,0.098968802,7676,0.725371718,67.45956974,0.54074873,93
"KPAH20100804_101632",3320.4,"2010","08","04",0.507839369,3245.38,0.799952228,6142.033206,9.262799057,7678,3.408710566,6139.087729,18.89546254,1801,1.513262562,75.02,0.016315567,125.221978,0.160823496,7675,0.892967113,121.4435274,0.825868543,136
"KPAH20100804_102612",5316.56,"2010","08","04",0.507552761,5272.66,1.277696125,9808.873148,8.566819137,7677,4.616803227,9806.090055,15.80922244,2124,1.510984562,43.9,0.009175754,70.39638235,0.11057002,7672,0.887851506,66.58886293,0.690735783,75
"KPAH20100804_103552",3907.41,"2010","08","04",0.507819897,3853.22,0.885724031,6797.046216,3.056808549,7674,3.424493176,6794.19446,5.24011196,1984,1.509544963,54.19,0.012011183,92.173822,0.145804604,7674,1.104597577,88.36780615,0.918271056,80
"KPAH20100804_104532",3888.01,"2010","08","04",0.507743402,3816.22,0.784844586,6024.467045,5.523839245,7676,2.706397786,6021.735073,10.00487288,2225,1.510090113,71.79,0.014287228,109.7259094,0.156321519,7680,1.038508947,105.9279125,0.885560395,102
"KPAH20100804_105511",5849.57,"2010","08","04",0.508943296,5694.96,1.08045226,8295.71245,14.49695075,7678,2.791434992,8293.353361,23.20471928,2971,1.511289597,154.61,0.033061529,253.9125415,0.420537483,7680,1.323588084,250.1581479,2.346717134,189
"KPAH20100804_110452",7808.45,"2010","08","04",0.508977615,7677.47,1.628826387,12501.24252,3.085924087,7675,2.74838947,12499.67531,3.604829078,4548,1.511020817,130.98,0.025240256,193.7694438,0.279509822,7677,1.258261647,189.9975086,1.561015712,151
"KPAH20100804_111432",15709.58,"2010","08","04",0.50874011,15567.89,3.184986802,24454.32866,5.303603987,7678,4.34957279,24453.29822,5.775027083,5622,1.513665832,141.69,0.027273165,209.3488122,0.239600002,7676,1.087811764,205.5964233,1.08829642,189
"KPAH20100804_112412",23183.49,"2010","08","04",0.50862047,22866.18,4.526362879,34739.83509,9.908468661,7675,5.456986968,34739.17904,10.64377063,6366,1.512529881,317.31,0.069019782,529.8648635,0.429501582,7677,1.274150701,526.2242395,1.377774708,413
