"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KSGF20110714_100026",2592.93,"2011","07","14",0.52734375,2318.03,6.032885639,217823.3689,35.03797801,36106,6.111588783,217823.1358,35.25899,35641,1.502026915,274.9,0.75250881,27179.11319,7.974494387,36118,0.757243952,27178.99992,7.999338081,35892
"KSGF20110714_100515",2415.1,"2011","07","14",0.52734375,2167.82,5.464843412,197319.1011,29.31926371,36107,5.5375316,197318.8635,29.50681192,35633,1.501970969,247.28,0.724572012,26171.54108,8.519601799,36120,0.729923533,26171.40827,8.550800134,35855
"KSGF20110714_101005",2338.75,"2011","07","14",0.52734375,2116.6,5.052357987,182445.6993,28.13309386,36111,5.125591815,182445.4407,28.32965665,35595,1.502637844,222.15,0.639380755,23094.43286,7.939527172,36120,0.645433693,23094.26296,7.976805597,35781
"KSGF20110714_101454",1953.06,"2011","07","14",0.52734375,1748.46,4.466821188,161305.8468,28.0444629,36112,4.533602589,161305.5801,28.24799629,35580,1.501016737,204.6,0.498901,18021.30192,2.630160646,36122,0.505259032,18021.07388,2.646277962,35667
"KSGF20110714_101945",1611.39,"2011","07","14",0.52734375,1412.13,3.764382563,135935.6187,24.96513367,36111,3.823456222,135935.3391,25.1558003,35553,1.501493791,199.26,0.574283462,20742.54437,8.023779529,36119,0.583008411,20742.27323,8.084241629,35578
"KSGF20110714_102435",1403.52,"2011","07","14",0.52734375,1223.95,2.793444148,100871.2682,20.34533177,36110,2.838397814,100870.9815,20.50530575,35538,1.502109005,179.57,0.59796337,21600.23082,9.008708665,36123,0.610372512,21599.86245,9.101369049,35388
"KSGF20110714_102924",2524.01,"2011","07","14",0.52734375,1668.8,3.936679397,142118.0629,33.82461321,36101,4.008962951,142117.7366,34.12954012,35450,1.502168288,855.21,2.003400674,72360.82895,23.29319216,36119,2.056217892,72360.36384,23.59602673,35191
"KSGF20110714_103414",2247.05,"2011","07","14",0.52734375,1343.86,3.35175558,121041.9493,28.38929004,36113,3.406936953,121041.6561,28.61878572,35528,1.48002923,903.19,1.904762604,68794.31097,20.00532999,36117,1.959546665,68793.80477,20.28842132,35107
"KSGF20110714_103904",2316.39,"2011","07","14",0.52734375,1870.76,5.307007429,191567.0472,36.03116938,36097,5.40111458,191566.7319,36.34227606,35468,1.502791423,445.63,0.998328946,36061.6382,8.834914081,36122,1.032143935,36061.0448,8.981430587,34938
"KSGF20110714_104353",3793.77,"2011","07","14",0.526637788,3341.5,9.879216383,356452.0063,51.33580865,36081,10.03015741,356451.7342,51.71188745,35538,1.501411812,452.27,1.556673387,56220.81605,15.5792007,36116,1.612187215,56220.19257,15.85183251,34872
"KSGF20110714_104843",4627.83,"2011","07","14",0.52734375,4108.36,13.05134015,470722.6852,57.65411127,36067,13.22997305,470722.4411,58.0269905,35580,1.502484017,519.47,1.772905267,64035.56533,14.2260063,36119,1.810591468,64035.18844,14.37408435,35367
"KSGF20110714_105333",7516.93,"2011","07","14",0.52734375,6425.38,21.10669898,757245.0392,80.77708246,35877,21.34045886,757244.8422,81.19246826,35484,1.500543055,1091.55,2.985613048,107825.4152,17.05214771,36115,2.992738409,107825.3721,17.07186315,36029
"KSGF20110714_105823",10803.21,"2011","07","14",0.52734375,8360.42,26.4111721,948610.0685,81.49607138,35917,26.66207311,948609.8991,81.84141384,35579,1.488858415,2442.79,5.206042227,188026.6271,18.49613372,36117,5.208060829,188026.6201,18.49943556,36103
"KSGF20110714_110313",12740.78,"2011","07","14",0.530476088,9376.37,25.72983656,925142.0034,76.26755511,35956,25.97472649,925141.8335,76.58814411,35617,1.500106761,3364.41,6.473051756,233806.6294,18.9754704,36120,6.475023509,233806.6239,18.97802419,36109
"KSGF20110714_110803",14484.87,"2011","07","14",0.52734375,10638.2,26.28231601,945847.9885,74.30718147,35988,26.58817622,945847.781,74.68390042,35574,1.503108494,3846.67,6.469869543,233704.6276,14.02784072,36122,6.471840218,233704.6221,14.02952266,36111
"KSGF20110714_111253",13175.05,"2011","07","14",0.527025984,9341.29,20.86242173,751944.2664,62.15878833,36043,21.12024396,751944.0459,62.49816615,35603,1.502146084,3833.76,5.482549853,198024.2181,11.61941675,36119,5.484068048,198024.2131,11.62066741,36109
"KSGF20110714_111742",10100.2,"2011","07","14",0.52734375,7231.2,16.6987943,602509.1973,53.02391063,36081,16.86424888,602509.0199,53.25977501,35727,1.502668176,2869,3.971129652,143441.1742,10.18935234,36121,3.972889244,143441.1662,10.19126693,36105
"KSGF20110714_112232",8527.62,"2011","07","14",0.52734375,6408.03,15.19025962,547760.7618,51.49889899,36060,15.35332483,547760.5699,51.75041111,35677,1.500849406,2119.59,3.295666033,119036.1615,12.71243433,36119,3.297217687,119036.1529,12.71522597,36102
"KSGF20110714_112722",6729.53,"2011","07","14",0.52734375,5117.5,12.8724175,464617.0371,46.19412617,36094,13.01229045,464616.8427,46.42484177,35706,1.501723686,1612.03,2.699991833,97523.705,7.685651328,36120,2.701487396,97523.69498,7.687517347,36100
"KSGF20110714_113211",6224.13,"2011","07","14",0.52734375,4896.65,12.01045712,433529.4602,39.34613197,36096,12.14946202,433529.2533,39.55183845,35683,1.505495263,1327.48,2.57808959,93128.33027,8.127808971,36123,2.580303522,93128.31473,8.130947649,36092
"KSGF20110714_113701",5968,"2011","07","14",0.52734375,4832.34,12.74188574,459841.9145,46.47798232,36089,12.88721794,459841.7105,46.7222706,35682,1.502668428,1135.66,2.27990695,82345.67922,5.920340838,36118,2.282813711,82345.65617,5.923554661,36072
"KSGF20110714_114151",5898.26,"2011","07","14",0.52734375,4914.53,12.7697653,460822.5203,45.80507118,36087,12.91940651,460822.3108,46.05170326,35669,1.502699589,983.73,2.203479916,79589.69455,6.608740025,36120,2.207573877,79589.66097,6.614195069,36053
"KSGF20110714_114641",5479.96,"2011","07","14",0.52734375,4617.83,11.60053232,418709.6135,41.67519937,36094,11.7288836,418709.4156,41.88716826,35699,1.502240464,862.13,2.074127784,74921.64382,9.019767779,36122,2.080115267,74921.5917,9.032091503,36018
"KSGF20110714_115131",5595.34,"2011","07","14",0.52734375,4835.23,12.21516487,440808.6546,43.42239838,36087,12.34688426,440808.4617,43.637274,35702,1.501915701,760.11,2.009022592,72567.90503,6.934930167,36121,2.016781595,72567.83537,6.947186706,35982
"KSGF20110714_115621",6048.42,"2011","07","14",0.493479637,5338.92,13.04383218,470856.2541,43.32953708,36098,13.2121899,470856.0236,43.58277658,35638,1.492116388,709.5,2.009681125,72593.70159,9.133120635,36122,2.023796356,72593.57529,9.163588937,35870
"KSGF20110714_120111",6252.84,"2011","07","14",0.524046299,5628.37,13.04720202,470782.1905,41.0860846,36083,13.20122202,470781.9795,41.30329012,35662,1.501923457,624.47,1.975688681,71363.85084,8.092960741,36121,1.991563824,71363.7065,8.12347395,35833
"KSGF20110714_120600",6249.69,"2011","07","14",0.52734375,5639.77,13.39253652,483095.5772,41.74203892,36072,13.54612265,483095.3722,41.95593558,35663,1.502668565,609.92,2.000777566,72268.08567,8.659762038,36120,2.016854804,72267.94133,8.692630311,35832
"KSGF20110714_121050",6239.51,"2011","07","14",0.52734375,5683.83,13.70061129,494441.361,43.63198797,36089,13.86659406,494441.1445,43.86928521,35657,1.502085502,555.68,2.23181457,80617.6059,10.83366044,36122,2.251946815,80617.44402,10.88034311,35799
"KSGF20110714_121540",6468.59,"2011","07","14",0.52734375,5887.48,14.17035739,511450.7092,41.08071939,36093,14.33076037,511450.5067,41.28475875,35689,1.502947085,581.11,2.483931056,89722.07367,9.816476136,36121,2.509562786,89721.88873,9.863746373,35752
"KSGF20110714_122030",6956.64,"2011","07","14",0.52734375,6333.48,16.08086086,580229.6217,51.43092562,36082,16.27069938,580229.4107,51.70376864,35661,1.50188796,623.16,2.776222901,100282.7236,10.3476626,36122,2.806832909,100282.5262,10.40043453,35728
"KSGF20110714_122520",6363.04,"2011","07","14",0.52734375,5746.36,14.67273988,529465.8187,45.0187515,36085,14.83969885,529465.6152,45.24680321,35679,1.506852425,616.68,3.005148934,108558.0001,9.995072116,36124,3.038791838,108557.7996,10.04578869,35724
"KSGF20110714_123009",7081.03,"2011","07","14",0.52734375,6409.16,16.12381794,581731.2275,50.54712591,36079,16.31006311,581731.021,50.80835361,35667,1.501674602,671.87,3.481805742,125769.787,13.88580812,36122,3.519901235,125769.591,13.9567764,35731
"KSGF20110714_123500",7225.17,"2011","07","14",0.525956941,6580.6,15.9785007,576264.6279,47.84399523,36065,16.16722076,576264.4169,48.09401286,35644,1.500835499,644.57,3.099163651,111944.8902,9.527394137,36121,3.130707492,111944.7078,9.570609109,35757
"KSGF20110714_123950",7149.18,"2011","07","14",0.52734375,6499.84,15.24188697,549820.5886,46.75417348,36073,15.417542,549820.3826,46.99402211,35662,1.502111036,649.34,3.079755838,111240.7809,10.01494045,36120,3.109364056,111240.6085,10.0584006,35776
"KSGF20110714_124439",7569.52,"2011","07","14",0.52734375,6886.53,16.62383462,599738.0815,48.78282233,36077,16.81398068,599737.877,49.02844428,35669,1.503016678,682.99,3.180505224,114879.8487,10.71619289,36120,3.210723261,114879.6783,10.76248344,35780
"KSGF20110714_124929",7366.8,"2011","07","14",0.52734375,6664.86,16.13809606,582310.92,50.40150245,36083,16.31716652,582310.7216,50.65154325,35687,1.505259868,701.94,3.271568918,118172.3409,11.76486632,36121,3.297215404,118172.2001,11.80731827,35840
"KSGF20110714_125419",7211.38,"2011","07","14",0.52734375,6539.4,15.96907377,575972.5527,49.59129421,36068,16.15041779,575972.3497,49.84272263,35663,1.500664689,671.98,3.216282098,116178.542,11.97009541,36122,3.240409649,116178.4071,12.01166409,35853
"KSGF20110714_125910",7790.34,"2011","07","14",0.52695472,7040.93,16.79095852,605767.4106,48.67361326,36077,16.98349236,605767.2056,48.91848193,35668,1.501951023,749.41,3.788234115,136823.4398,12.26391379,36118,3.813358988,136823.3205,12.30062882,35880
"KSGF20110715_100501",2615.25,"2011","07","15",0.515900469,2363.34,5.455355915,197003.8128,29.34010363,36112,5.536140191,197003.5487,29.54900276,35585,1.517118592,251.91,0.551175989,19907.37437,3.249997259,36118,0.553764769,19907.28967,3.257407954,35949
"KSGF20110715_101437",2183.33,"2011","07","15",0.513794077,1963.53,4.554949196,164474.6605,25.92879402,36109,4.632036704,164474.3593,26.14048329,35508,1.539110022,219.8,0.539304891,19480.23197,7.416012439,36121,0.543044915,19480.10717,7.441570862,35872
"KSGF20110715_102412",1578.4,"2011","07","15",0.52910438,1417.85,3.25710271,117627.0073,23.38001,36114,3.306257923,117626.7381,23.55235376,35577,1.540531011,160.55,0.426087042,15389.83788,2.477007835,36119,0.430985546,15389.63189,2.490799379,35708
"KSGF20110715_103348",2491.21,"2011","07","15",0.5156291,2043.08,4.694994536,169404.7928,34.82838526,36082,4.773840222,169404.4941,35.11429437,35486,1.517236064,448.13,1.297651847,46872.48238,15.18161016,36121,1.319673973,46872.18017,15.30899399,35518
"KSGF20110715_104324",3701.27,"2011","07","15",0.513105958,3492.23,10.99209067,396517.6868,56.24411626,36073,11.14000805,396517.4467,56.60675706,35594,1.532040096,209.04,0.870392083,31437.69164,8.871607402,36119,0.886483458,31437.36286,8.95249165,35463
