"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KHPX20130630_100033",135.56,"2013","06","30",0.520513439,123.03,0.09503604,2744.26069,0.896980269,28876,0.504989897,2732.500331,2.021738399,5411,1.536524342,12.53,0.005597498,161.6557557,0.04793462,28880,0.076959093,148.1462538,0.170380789,1925
"KHPX20130630_101039",1731.85,"2013","06","30",0.520955571,1716.39,0.337977794,9759.784767,4.971780638,28877,2.780904036,9747.068644,14.032408,3505,1.53130347,15.46,0.006105621,176.3059099,0.164624596,28876,0.24168394,162.169924,1.054078303,671
"KHPX20130630_102045",3064.26,"2013","06","30",0.521155594,2478.6,0.433051215,12505.21994,3.378011269,28877,2.140793709,12493.67209,7.267350248,5836,1.530750876,585.66,0.109691322,3167.665986,0.702775367,28878,0.869628172,3155.011008,1.808743818,3628
"KHPX20130630_103050",1983.13,"2013","06","30",0.521367775,997.85,0.31780885,9177.048341,2.859502656,28876,1.153171468,9166.559996,5.361254264,7949,1.532376646,985.28,0.147903907,4270.429494,0.799034555,28873,0.761717198,4258.760853,1.682337159,5591
"KHPX20130630_104055",1783.7,"2013","06","30",0.520944062,908.18,0.403334627,11648.30402,8.769895623,28880,1.512566398,11637.68587,16.94229873,7694,1.533367036,875.52,0.147227033,4251.769489,0.795314857,28879,0.788835272,4239.989585,1.700904659,5375
"KHPX20130630_105101",1060.57,"2013","06","30",0.520889411,615.7,0.224266274,6477.034261,2.421508734,28881,0.870410929,6466.282792,4.715492504,7429,1.532954108,444.87,0.080163279,2314.875017,0.514333734,28877,0.558309682,2302.469129,1.25934822,4124
"KHPX20130630_110106",670.06,"2013","06","30",0.521015112,462.72,0.204135307,5894.815252,2.092372757,28877,0.842957128,5883.840755,4.192381187,6980,1.533604907,207.34,0.042639937,1231.270829,0.289399962,28876,0.393778028,1218.349219,0.802333413,3094
"KHPX20130630_111112",471.9,"2013","06","30",0.520942415,378.38,0.158446225,4574.817841,1.427819569,28873,0.740817269,4563.434376,3.020862385,6160,1.534494239,93.52,0.026317798,760.0316857,0.946572583,28879,0.354685463,746.6128987,3.490199541,2105
"KHPX20130630_112118",281.54,"2013","06","30",0.530813642,244.44,0.113427776,3275.567316,1.185002581,28878,0.631151744,3263.685671,2.741670537,5171,1.532978335,37.1,0.010235827,295.6004571,0.120517603,28879,0.220647367,281.7666871,0.531371625,1277
"KHPX20130630_113124",227.82,"2013","06","30",0.521316827,206.12,0.175469347,5068.081147,6.329858264,28883,1.348129282,5055.484809,17.52407166,3750,1.533031736,21.7,0.005423687,156.6143718,0.089098087,28876,0.196019879,142.5064523,0.527653408,727
"KHPX20130630_114130",160.95,"2013","06","30",0.52197499,148.28,0.119356028,3446.763381,4.471434003,28878,1.26609488,3433.649315,14.54362637,2712,1.533924594,12.67,0.004148318,119.7868195,0.095830863,28876,0.184939956,105.6007148,0.657127108,571
