"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KVWX20110717_100612",2360.29,"2011","07","17",0.504429806,2301.66,0.859544339,25446.81016,3.724289869,29605,1.322123206,25441.61686,4.552829468,19243,1.489917455,58.63,0.026685923,790.0901337,0.165972725,29607,0.130489699,778.2405639,0.351103489,5964
"KVWX20110717_101549",2646.26,"2011","07","17",0.503268087,2604.43,0.904833048,26787.58239,4.370958442,29605,1.447989549,26782.0147,5.458441633,18496,1.490021772,41.83,0.025109252,743.3845128,0.12475686,29606,0.128879401,731.3906011,0.260547326,5675
"KVWX20110717_102527",6392.47,"2011","07","17",0.503631391,6334.2,2.124245066,62888.27518,18.01710064,29605,3.212426476,62883.24827,22.0784614,19575,1.489876493,58.27,0.03686535,1091.435549,0.225753813,29606,0.177544009,1079.64512,0.472493066,6081
"KVWX20110717_103506",16908.51,"2011","07","17",0.50336044,16509.81,5.190559154,153676.8849,21.58139211,29607,6.862251934,153673.2698,24.58271473,22394,1.489644902,398.7,0.273969052,8111.401735,2.92508036,29607,0.905347308,8101.047708,5.266983505,8948
"KVWX20110717_104444",19107.56,"2011","07","17",0.50121425,18191.97,4.891699861,144818.7744,15.10732545,29605,5.744637675,144816.5712,16.2213668,25209,1.48984124,915.59,0.56389641,16694.71713,3.680941272,29606,1.371750692,16685.97542,5.645484255,12164
"KVWX20110717_105422",19099.93,"2011","07","17",0.502847804,18093.27,4.928009301,145903.5714,11.3585924,29607,5.416223688,145902.2337,11.79648034,26938,1.4910779,1006.66,0.568669164,16837.1566,2.016974488,29608,1.246229671,16829.08548,2.841809801,13504
"KVWX20110717_110400",18896.59,"2011","07","17",0.502845593,17690.18,4.68324666,138647.5174,11.15491699,29605,4.96638863,138646.6714,11.42585341,27917,1.48997316,1206.41,0.634909338,18797.12585,1.536455415,29606,1.306731641,18789.49427,1.995788145,14379
"KVWX20110717_111338",17899.27,"2011","07","17",0.504270754,16588.58,4.089328994,121060.4955,9.300501821,29604,4.265375347,121059.8831,9.459011141,28382,1.490507645,1310.69,0.64804313,19186.61296,1.550302173,29607,1.29152976,19179.21694,1.990268097,14850
"KVWX20110717_112316",17530.79,"2011","07","17",0.503243253,16245.42,3.846262215,113880.1317,7.762640249,29608,3.956629757,113879.7177,7.845465624,28782,1.489745686,1285.37,0.614565332,18194.82121,1.404816234,29606,1.210644505,18187.51239,1.77987489,15023
"KVWX20110717_113253",17249.9,"2011","07","17",0.50257005,15968.24,3.687574731,109163.2748,7.326164215,29603,3.77399948,109162.935,7.38949759,28925,1.489706907,1281.66,0.591352827,17507.59179,1.346715604,29606,1.159883056,17500.31555,1.702849879,15088
"KVWX20110717_114231",18719.09,"2011","07","17",0.502806615,17398.49,3.809591303,112790.5697,8.540150244,29607,3.889185407,112790.266,8.610964624,29001,1.490042553,1320.6,0.580958484,17199.85687,1.376426456,29606,1.131987803,17192.63075,1.752040216,15188
"KVWX20110717_115209",15050.85,"2011","07","17",0.50025458,13953.36,3.099852309,91774.22746,9.31008903,29606,3.20081471,91773.75935,9.443425787,28672,1.489579069,1097.49,0.446793364,13227.76433,0.985276816,29606,0.871262106,13220.5312,1.234704979,15174
"KVWX20110717_120147",12749.92,"2011","07","17",0.505047148,11726.72,2.754087902,81540.28052,7.511398621,29607,2.875772467,81539.65253,7.652753141,28354,1.490139693,1023.2,0.400705806,11862.49468,0.837475244,29604,0.783144703,11855.24451,1.035522113,15138
"KVWX20110717_121125",12000.7,"2011","07","17",0.50486792,10932.03,2.662458688,78827.41436,10.3222618,29607,2.833855218,78826.51674,10.62657564,27816,1.490030307,1068.67,0.413373067,12238.32301,0.887096965,29606,0.811453543,12231.03926,1.105845379,15073
"KVWX20110717_122103",10175.31,"2011","07","17",0.503453143,9168.16,2.150108341,63656.10753,4.868634165,29606,2.331683216,63654.95179,5.028179436,27300,1.491079549,1007.15,0.386471063,11441.86229,0.822678992,29606,0.756306739,11434.60159,1.022648803,15119
"KVWX20110717_123041",8422.16,"2011","07","17",0.527720375,7422.46,1.943591772,57545.8652,4.558804175,29608,2.300086528,57543.56475,4.876062202,25018,1.442110113,999.7,0.398334884,11793.89926,0.848440978,29608,0.820313277,11786.26116,1.066526322,14368
"KVWX20110717_123626",8573.47,"2011","07","17",0.519376092,7657.72,2.010380001,59521.3207,8.713096226,29607,2.364402274,59519.09844,9.404996468,25173,1.442384882,915.75,0.370678853,10975.05949,0.801721876,29608,0.779589924,10967.27104,1.016966318,14068
"KVWX20110717_124210",9866.86,"2011","07","17",0.491817034,8891.64,2.516663754,74513.38042,14.06284538,29608,2.930861147,74511.28295,15.13624485,25423,1.449821259,975.22,0.387673028,11477.44767,0.8106483,29606,0.81385601,11469.67276,1.016810742,14093
"KVWX20110717_124753",7576.7,"2011","07","17",0.526392321,6694.53,1.813316968,53686.87548,4.656786671,29607,2.173986116,53684.41314,5.021590547,24694,1.442541363,882.17,0.346198698,10248.86627,0.736835982,29604,0.73108579,10241.04975,0.930716563,14008
"KVWX20110717_125337",7660.68,"2011","07","17",0.52734375,6842.85,1.879434422,55644.41492,5.992434656,29607,2.240648422,55642.02226,6.481025779,24833,1.44239037,817.83,0.336763377,9970.553298,0.762120101,29607,0.723081725,9962.620005,0.984377141,13778
"KVWX20110717_125921",7799.99,"2011","07","17",0.516738155,6856.28,1.94151396,57480.46229,5.186167187,29606,2.361746375,57477.82154,5.632704142,24337,1.445769315,943.71,0.387056403,11459.96599,0.915632338,29608,0.819707174,11452.12893,1.192623776,13971
"KVWX20110718_100346",7349.19,"2011","07","18",0.504946759,7045.73,2.500446234,74028.21119,11.77155892,29606,4.628361692,74021.38853,15.70595469,15993,1.490220461,303.46,0.09546104,2826.601405,0.660150807,29610,0.314033887,2816.255898,1.17067056,8968
"KVWX20110718_101324",7520.12,"2011","07","18",0.504054405,7328.12,3.037891783,89921.59677,17.87819593,29600,5.909200032,89914.38769,24.59340753,15216,1.491539596,192,0.064794053,1918.357535,0.526368931,29607,0.25895589,1907.210128,1.031364035,7365
"KVWX20110718_102303",7534.18,"2011","07","18",0.503547338,7439.51,3.067356229,90799.87909,21.35494973,29602,6.095502392,90792.50813,29.79738711,14895,1.489859568,94.67,0.040741688,1206.239156,0.291053031,29607,0.198375379,1194.418154,0.620814848,6021
"KVWX20110718_103241",7718.41,"2011","07","18",0.504410444,7515.61,3.225758467,95492.1279,13.29564713,29603,5.766734503,95485.58991,17.36085038,16558,1.490003172,202.8,0.148845918,4406.881092,0.754755715,29607,0.517212063,4396.302533,1.339409678,8500
"KVWX20110718_104218",13007.49,"2011","07","18",0.502421714,12097.18,4.999101227,148003.3909,21.27496572,29606,7.124926027,147998.9634,25.09942745,20772,1.489813555,910.31,0.434425654,12862.04035,1.442162236,29607,0.983755565,12853.75021,2.042752987,13066
"KVWX20110718_105156",21391.68,"2011","07","18",0.503480476,19556.63,6.777090494,200628.987,21.31033642,29604,8.672707551,200625.7438,23.76404975,23133,1.489586459,1835.05,0.738996469,21879.46846,1.976752617,29607,1.37866884,21872.58114,2.531953543,15865
"KVWX20110718_110134",23512.44,"2011","07","18",0.504007453,21303.1,7.335926984,217143.4387,23.73044203,29600,9.021965521,217140.6662,26.02621204,24068,1.489960915,2209.34,0.896893185,26553.41962,2.243699446,29606,1.547218839,26547.18084,2.771414125,17158
"KVWX20110718_111112",25682.3,"2011","07","18",0.504229623,23263.94,7.394695911,218853.4202,27.07282561,29596,8.865746763,218850.9588,29.42307994,24685,1.489918382,2418.36,0.974200651,28843.15867,2.036522485,29607,1.65825392,28837.03567,2.434589381,17390
"KVWX20110718_112049",18769.35,"2011","07","18",0.504942288,16406.7,5.079877,150323.7202,18.06190062,29592,6.077761894,150321.2849,19.60258112,24733,1.489951505,2362.65,0.912297643,27012.22092,3.240635844,29609,1.559601514,27006.05982,4.116828653,17316
"KVWX20110718_113027",18857.93,"2011","07","18",0.503313895,16643.64,5.241660006,155121.6862,20.38361783,29594,6.265166726,155119.263,22.14094102,24759,1.491096145,2214.29,0.931415925,27574.56845,1.852140888,29605,1.607107857,27568.32817,2.198832649,17154
"KVWX20110718_114005",17852.11,"2011","07","18",0.501952618,15826.91,4.738483904,140278.0775,21.96092416,29604,5.726933797,140275.5164,24.02583403,24494,1.489600559,2025.2,0.822126957,24340.71282,1.691624732,29607,1.397817183,24334.59934,2.015510155,17409
"KVWX20110718_114942",17208.09,"2011","07","18",0.502299954,15447.5,4.440063869,131434.7707,18.19724061,29602,5.594505125,131431.7089,20.26802537,23493,1.489818935,1760.59,0.726161077,21499.45102,1.593541667,29607,1.254198589,21493.20121,1.930093277,17137
"KVWX20110718_115920",17361.96,"2011","07","18",0.500197738,15577.35,4.570603679,135267.0159,20.70390949,29595,5.926896037,135263.6214,23.40581855,22822,1.48964104,1784.61,0.703841303,20837.92561,1.466318038,29606,1.206867415,20831.73846,1.755290232,17261
"KVWX20110718_120858",15243.54,"2011","07","18",0.503230543,13574.9,3.845601749,113825.9662,16.66652805,29599,4.993093376,113822.5566,18.83993904,22796,1.489977895,1668.64,0.641399075,18990.54382,1.277916682,29608,1.084827168,18984.47544,1.510690591,17500
"KVWX20110718_121836",15649.92,"2011","07","18",0.503591312,14162.12,3.910219395,115762.0452,17.37011583,29605,4.990250187,115758.8336,19.48546587,23197,1.489831923,1487.8,0.565750411,16750.1724,1.207478046,29607,0.970159554,16743.98374,1.452251614,17259
"KVWX20110718_122813",16947.92,"2011","07","18",0.503693581,15635.12,4.24867216,125756.4473,18.20685829,29599,5.553723491,125752.961,20.64173659,22643,1.489740453,1312.8,0.475059916,14065.09893,0.953519143,29607,0.831140282,14058.73786,1.138268626,16915
"KVWX20110718_123751",26719.96,"2011","07","18",0.502919584,25338.4,6.552478742,193953.3708,26.06231162,29600,8.578056943,193949.8675,29.52744429,22610,1.489909991,1381.56,0.482737812,14292.90113,0.993040306,29608,0.840436594,14286.58166,1.190450031,16999
"KVWX20110718_124728",53596.61,"2011","07","18",0.502924551,52429.08,8.941608821,264546.4386,38.47992126,29586,10.69642592,264544.0058,41.86352616,24732,1.489816046,1167.53,0.390748724,11568.11596,0.804153256,29605,0.672086278,11561.90024,0.961212186,17203
"KVWX20110718_125706",32651.03,"2011","07","18",0.503008584,31646.83,5.994150889,177462.8312,27.6715575,29606,7.159703684,177460.4155,30.10449849,24786,1.48992312,1004.2,0.344659647,10205.02749,0.682495895,29609,0.594715884,10198.7827,0.809730073,17149
