"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KVWX20110723_100610",6759.67,"2011","07","23",0.499921196,6746.94,1.272653773,12441.46328,6.111948448,9776,2.770954223,12438.81351,8.786945795,4489,1.490093533,12.73,0.002748696,26.8657511,0.049351038,9774,0.594207865,21.98569101,0.547968838,37
"KVWX20110723_101548",9646.32,"2011","07","23",0.505335125,9637.57,1.544724072,15098.13308,4.670640438,9774,2.686130097,15096.05114,5.905606996,5620,1.490325085,8.75,0.00162096,15.84326357,0.032112516,9774,0.547734165,10.9546833,0.464589706,20
"KVWX20110723_102526",9230.17,"2011","07","23",0.502689706,9223.28,1.502168916,14682.19898,15.87789194,9774,5.320291104,14678.68316,29.54701767,2759,1.489333755,6.89,0.001258884,12.30307545,0.020652768,9773,0.494166028,7.412490424,0.19238239,15
"KVWX20110723_103503",13924.03,"2011","07","23",0.501967513,13915.61,2.34541191,22924.056,14.59755196,9774,7.562083965,22920.6765,25.45268313,3031,1.490428314,8.42,0.001879828,18.37532229,0.030343384,9775,0.518817229,13.48924795,0.28515019,26
"KVWX20110723_104440",9415.97,"2011","07","23",0.501866349,9409.58,1.582904028,15471.30397,8.529783173,9774,5.804030404,15467.74103,15.56940378,2665,1.489949657,6.39,0.001484965,14.51404311,0.025937376,9774,0.458379239,9.625964019,0.330266726,21
"KVWX20110723_105418",3589.99,"2011","07","23",0.500393757,3580.29,0.773865519,7565.309317,3.682729875,9776,2.682448584,7561.822557,6.474927377,2819,1.489878406,9.7,0.00196328,19.18713532,0.038365069,9773,0.680931306,14.29955742,0.483807841,21
"KVWX20110723_110356",4117.41,"2011","07","23",0.503629578,4100.65,0.935688721,9146.357247,4.604325612,9775,2.852750217,9143.064447,7.69426412,3205,1.491541292,16.76,0.003564207,34.83656325,0.075916164,9774,0.855871451,29.95550078,0.951902726,35
"KVWX20110723_111334",1673.71,"2011","07","23",0.501046688,1657.83,0.416537889,4072.074407,1.898869453,9776,1.54813239,4068.491921,3.415373987,2628,1.489482534,15.88,0.00282722,27.63607809,0.042508159,9775,0.541857684,22.75802274,0.363087879,42
"KVWX20110723_112312",1341.4,"2011","07","23",0.504120042,1324.58,0.332956985,3254.321575,1.18144518,9774,1.355556638,3250.624818,2.07478242,2398,1.489394945,16.82,0.00264263,25.82906685,0.060674644,9774,0.654578151,20.94650082,0.848777702,32
"KVWX20110723_113249",813.01,"2011","07","23",0.49789666,788.45,0.211003477,2062.769993,0.698135406,9776,0.955429441,2058.950446,1.224997842,2155,1.49100633,24.56,0.003984626,38.95370011,0.083069538,9776,0.873683077,34.07364001,0.997840646,39
"KVWX20110723_114227",555.83,"2011","07","23",0.494963644,534.67,0.146859585,1435.405582,0.518481845,9774,0.771248481,1431.437182,0.966840701,1856,1.489660779,21.16,0.002774908,27.12194985,0.061566493,9774,1.05875575,22.23387076,0.823907593,21
"KVWX20110723_115205",446.21,"2011","07","23",0.501670584,439.18,0.126611223,1237.6247,0.393767265,9775,0.713471456,1233.592148,0.677023314,1729,1.491458675,7.03,0.00129497,12.65703212,0.022165499,9774,0.485402943,7.766447096,0.264026418,16
"KVWX20110723_120142",409.01,"2011","07","23",0.499979665,400.29,0.114950678,1123.412975,2.038969461,9773,0.749673908,1119.263145,5.172372659,1493,1.491592997,8.72,0.001490223,14.56544166,0.027954118,9774,0.644957029,9.674355442,0.318102933,15
"KVWX20110723_121120",321.98,"2011","07","23",0.498134166,314.64,0.089279729,872.7093481,0.306860687,9775,0.685434291,868.4452471,0.564206743,1267,1.489323007,7.34,0.00119139,11.64464234,0.029565587,9774,0.675105019,6.751050189,0.666380419,10
"KVWX20110723_122057",179.61,"2011","07","23",0.501706924,169.9,0.04773469,466.6543334,0.198786608,9776,0.527618456,462.193767,0.433828711,876,1.490134818,9.71,0.001559835,15.24894293,0.044171392,9776,0.739739511,10.35635316,0.937773498,14
"KVWX20110723_123035",169.44,"2011","07","23",0.49957163,158.29,0.044317105,433.1553812,0.218428859,9774,0.555957448,428.6431925,0.566566082,771,1.490234762,11.15,0.001680356,16.42212231,0.041295004,9773,1.152903135,11.52903135,0.614388305,10
"KVWX20110723_124013",217.37,"2011","07","23",0.496819677,198.99,0.052106515,509.2369723,0.209509067,9773,0.559015993,504.7914415,0.438297572,903,1.490831463,18.38,0.002627524,25.68141615,0.062760813,9774,1.155101861,20.79183349,0.924929396,18
"KVWX20110723_124951",264.08,"2011","07","23",0.495255715,252.67,0.065150991,636.9160856,0.238665048,9776,0.604146344,632.5412222,0.454570877,1047,1.490492377,11.41,0.001750071,17.10694714,0.036778746,9775,0.678714628,12.2168633,0.53997715,18
"KVWX20110723_125929",260,"2011","07","23",0.499235609,240.69,0.065293183,638.240862,0.242564571,9775,0.597993411,633.8730152,0.473766098,1060,1.49124425,19.31,0.00314379,30.72425868,0.058421814,9773,0.680136867,25.84520096,0.654893553,38
"KVWX20110724_100408",360.04,"2011","07","24",0.498307651,290.4,0.067716273,661.8588485,0.316963144,9774,0.788223303,657.3782346,0.781314015,834,1.489878842,69.64,0.015509639,151.5912125,0.150663148,9774,0.664268646,146.8033709,0.758805674,221
"KVWX20110724_101345",377.73,"2011","07","24",0.500297843,310.78,0.072728646,710.7043268,0.305071524,9772,0.711999902,706.3039029,0.679950492,992,1.489575258,66.95,0.016079023,157.1724504,0.136980872,9775,0.590707951,152.4026515,0.610849741,258
"KVWX20110724_102323",311.74,"2011","07","24",0.499807685,270.85,0.061682662,602.9480212,0.305996359,9775,0.767230567,598.4398421,0.795707617,780,1.48959072,40.89,0.008381849,81.90743234,0.082778545,9772,0.579522471,77.0764886,0.417153584,133
"KVWX20110724_103302",291.94,"2011","07","24",0.500247138,271.98,0.056988411,557.0617201,0.368255829,9775,0.917714833,552.4643296,1.189397289,602,1.489611785,19.96,0.004732213,46.25737808,0.050293493,9775,0.440482814,41.40538447,0.268424516,94
"KVWX20110724_104239",503.59,"2011","07","24",0.498764572,469.08,0.097744284,955.3526322,0.492776827,9774,1.050726633,950.9076026,1.274061303,905,1.491005127,34.51,0.006975762,68.18110022,0.072914937,9774,0.519210172,63.34364104,0.401891626,122
"KVWX20110724_105217",1228.23,"2011","07","24",0.495463389,1196.12,0.2297207,2245.060406,0.936017926,9773,1.326825819,2241.008808,1.90158398,1689,1.490316484,32.11,0.006866209,67.11719049,0.062199388,9775,0.506339279,62.27973131,0.234992847,123
"KVWX20110724_110155",1636.78,"2011","07","24",0.499563794,1602.21,0.332826817,3253.382137,0.958382954,9775,1.228196966,3249.809173,1.514742126,2646,1.489633903,34.57,0.00813642,79.51722865,0.093755546,9773,0.565797595,74.68528253,0.5814216,132
"KVWX20110724_111133",1967.98,"2011","07","24",0.498562111,1935.19,0.420682915,4111.334132,1.041832994,9773,1.266747265,4108.06138,1.483237192,3243,1.48905557,32.79,0.007938354,77.57359763,0.084684947,9772,0.546937247,72.74265388,0.483835983,133
"KVWX20110724_112110",2086.76,"2011","07","24",0.504366768,2049.85,0.44863446,4384.95321,0.968129138,9774,1.22023235,4381.854369,1.26890585,3591,1.491586815,36.91,0.009543991,93.28296985,0.080290668,9774,0.499847887,88.47307597,0.33428467,177
"KVWX20110724_113048",2007.9,"2011","07","24",0.501170538,1921.71,0.441257195,4311.082793,1.028889553,9770,1.267399155,4307.889729,1.412972381,3399,1.490034663,86.19,0.020378481,199.1588968,0.165266714,9773,0.675017833,194.4051359,0.697763286,288
