"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KLWX20110713_100354",5576.55,"2011","07","13",0.48667409,4928.62,1.5963584,16458.45511,1.665795361,10310,1.602730018,16458.43456,1.666056553,10269,1.489505268,647.93,0.268640147,2769.679912,0.736499498,10310,0.572153932,2766.936413,0.99146917,4836
"KLWX20110713_101334",4345.15,"2011","07","13",0.486392771,3657.91,1.224677005,12626.41992,1.289539584,10310,1.241528983,12626.34975,1.290306311,10170,1.489251714,687.24,0.280269577,2889.299067,0.689459185,10309,0.532530763,2886.849264,0.877390678,5421
"KLWX20110713_102315",3242.84,"2011","07","13",0.484427373,2793.34,0.9388358,9678.458261,0.970519581,10309,0.968895573,9678.297881,0.971067919,9989,1.490022617,449.5,0.203862053,2101.002317,0.489782703,10306,0.41064543,2098.398148,0.631689452,5110
"KLWX20110713_103255",2569.11,"2011","07","13",0.488168985,2255.36,0.768371246,7920.370808,0.846158505,10308,0.811651481,7920.095155,0.849254803,9758,1.489691317,313.75,0.157134661,1619.901224,0.363612285,10309,0.34238865,1617.101592,0.474626141,4723
"KLWX20110713_104236",2131.53,"2011","07","13",0.486601407,1873.09,0.642900203,6627.658196,0.725230825,10309,0.695702894,6627.265766,0.729714843,9526,1.489434482,258.44,0.142328299,1467.262435,0.38150702,10309,0.322477777,1464.371587,0.521964468,4541
"KLWX20110713_105216",1911.63,"2011","07","13",0.486225762,1641.64,0.569690851,5871.803606,0.663037324,10307,0.633363956,5871.283875,0.669702606,9270,1.489343898,269.99,0.145076936,1495.598133,0.349779508,10309,0.337093643,1492.650651,0.469285147,4428
"KLWX20110713_110157",1763.69,"2011","07","13",0.486437527,1510.95,0.528681777,5450.709124,0.675510841,10310,0.609963066,5450.019992,0.690652807,8935,1.490084561,252.74,0.137572871,1418.238729,0.329492666,10309,0.324006679,1415.261175,0.4426454,4368
"KLWX20110713_111137",1720.13,"2011","07","13",0.486616327,1471.98,0.512810725,5286.565767,0.772984036,10309,0.599842883,5285.815489,0.804271804,8812,1.489414085,248.15,0.132068364,1361.7569,0.591235208,10311,0.329530816,1358.655554,0.899630443,4123
"KLWX20110713_112117",1716.64,"2011","07","13",0.486602783,1415.82,0.49989822,5152.950853,0.769998973,10308,0.602933559,5152.06726,0.808183236,8545,1.489455264,300.82,0.140275465,1446.099774,0.32365466,10309,0.343498815,1443.038522,0.432863079,4201
"KLWX20110713_113058",1717.78,"2011","07","13",0.484729225,1403.44,0.505201425,5207.111086,1.931557495,10307,0.617722989,5206.169355,2.119752676,8428,1.489840816,314.34,0.134905776,1391.013459,0.292137269,10311,0.32944629,1387.957219,0.380650028,4213
"KLWX20110713_114038",1766.51,"2011","07","13",0.486492405,1417.61,0.493321948,5086.149283,0.743794726,10310,0.59665067,5085.253661,0.779507757,8523,1.488999641,348.9,0.138587574,1428.837884,0.311650303,10310,0.343719761,1425.749568,0.413548678,4148
"KLWX20110713_115018",1776.48,"2011","07","13",0.485665187,1450.5,0.521785847,5379.090301,0.874426348,10309,0.631910371,5378.189167,0.925542812,8511,1.489079029,325.98,0.132625474,1367.368641,0.330294727,10310,0.344578328,1364.185601,0.459566173,3959
"KLWX20110713_115958",1711.44,"2011","07","13",0.484928402,1403.28,0.509213611,5248.973906,0.728171955,10308,0.620483177,5248.04671,0.759757755,8458,1.489767297,308.16,0.141266928,1456.603297,0.348123971,10311,0.361554808,1453.450328,0.480973738,4020
"KLWX20110713_120939",1668.45,"2011","07","13",0.48662103,1388.82,0.503866498,5195.367461,0.727447383,10311,0.617280714,5194.41721,0.760568531,8415,1.489478176,279.63,0.138968924,1432.630634,0.343914477,10309,0.361336348,1429.446591,0.477503932,3956
"KLWX20110713_121919",1610.19,"2011","07","13",0.486499864,1357.74,0.503946084,5195.684128,0.687905008,10310,0.610791239,5194.779485,0.713049835,8505,1.489606246,252.45,0.130605572,1346.151629,0.317544907,10307,0.345227638,1342.93551,0.439557844,3890
