"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KLSX20110728_100717",3733.12,"2011","07","28",0.481467102,3680.55,1.105337898,4904.384256,2.539121472,4437,3.015360036,4902.975418,3.440596411,1626,1.4935366,52.57,0.015223742,67.56296644,0.250308794,4438,2.420452946,65.35222955,2.155881384,27
"KLSX20110728_101657",2797.38,"2011","07","28",0.481194734,2709.21,0.803372272,3564.562769,1.857086343,4437,2.639270818,3563.015604,2.548077276,1350,1.493402589,88.17,0.024907136,110.4880567,0.282274733,4436,2.406385413,108.2873436,1.473602801,45
"KLSX20110728_102637",1340.24,"2011","07","28",0.470716474,1299.31,0.39898935,1769.517769,1.509751012,4435,3.438818314,1767.552614,3.037887787,514,1.443099976,40.93,0.01111487,49.35002161,0.222811877,4440,2.772545322,47.13327048,2.374908196,17
"KLSX20110728_103131",1241.88,"2011","07","28",0.483398438,1216.43,0.367150272,1630.147209,1.315260585,4440,3.399085608,1628.162006,2.395654295,479,1.444495443,25.45,0.008552196,37.95464759,0.153904385,4438,2.233649853,35.73839764,1.306233345,16
"KLSX20110728_103624",1295.09,"2011","07","28",0.483398438,1273.26,0.380964079,1691.099546,1.540987422,4439,3.405490655,1689.123365,3.312241024,496,1.445590658,21.83,0.007801991,34.63303851,0.144994069,4439,2.3153775,32.415285,1.193469093,14
"KLSX20110728_104117",1163.53,"2011","07","28",0.48122839,1151.62,0.352700695,1565.991087,1.407592046,4440,3.491049883,1563.990347,2.949013312,448,1.44826361,11.91,0.003868411,17.17187771,0.109583031,4439,2.491685784,14.9501147,1.794869664,6
"KLSX20110728_104426",1395.9,"2011","07","28",0.453418167,1349.3,0.411903844,1827.617354,1.505652037,4437,3.510873468,1825.654204,2.911514494,520,1.44636149,46.6,0.013983648,62.03146399,0.238476373,4436,3.323178822,59.81721879,1.787304895,18
"KLSX20110728_104736",893.43,"2011","07","28",0.45513674,872.47,0.276410818,1226.711211,1.085000762,4438,3.09263993,1224.685412,2.119779599,396,1.445640579,20.96,0.007359299,32.6532078,0.151639044,4437,2.536287857,30.43545429,1.509041766,12
"KLSX20110728_105046",803.49,"2011","07","28",0.457247115,782.71,0.235764213,1046.321576,0.908625826,4438,2.623861255,1044.296779,1.716555532,398,1.444518919,20.78,0.005425534,24.07309223,0.127199207,4437,2.731666747,21.85333397,1.320516481,8
"KLSX20110728_105355",755.34,"2011","07","28",0.456850619,718.63,0.219467106,974.4339523,0.886813562,4440,2.770326489,972.3845977,1.699606632,351,1.446055321,36.71,0.011014189,48.86995618,0.206184974,4437,3.332371789,46.65320504,1.609004463,14
