"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KEAX20110803_100243",41716.64,"2011","08","03",0.470752268,41459.31,13.71570336,103265.5306,15.92737178,7529,14.61439266,103265.2986,16.03654542,7066,1.475913507,257.33,0.093998721,707.62237,0.857000885,7528,1.527289544,704.0804798,3.134446802,461
"KEAX20110803_101208",38288.23,"2011","08","03",0.472486578,37999.09,12.55427407,94458.35809,14.97916921,7524,13.67965936,94458.04785,15.13591935,6905,1.4771735,289.14,0.089647371,674.5964658,0.802110092,7525,1.818455203,671.0099699,3.162736528,369
"KEAX20110803_102134",37355.74,"2011","08","03",0.472088124,37054.5,12.03404647,90592.30183,13.57483673,7528,13.49298389,90591.89387,13.67235893,6714,1.476758257,301.24,0.087246834,656.6196724,1.33280346,7526,2.560688392,652.9755401,6.802143704,255
"KEAX20110803_103154",33708.22,"2011","08","03",0.468872135,33296.9,10.85429723,81689.44097,13.43324193,7526,12.62579779,81688.91171,13.69451738,6470,1.474084189,411.32,0.10417577,783.9226689,2.077064831,7525,2.868704257,780.2875579,10.57450771,272
"KEAX20110803_104119",26271.94,"2011","08","03",0.470293964,26014.45,8.397174011,63197.1316,10.72952513,7526,10.25250632,63196.44899,11.02453791,6164,1.473552027,257.49,0.084307212,634.4117734,0.674727819,7525,2.028283629,630.7962087,2.663618966,311
"KEAX20110803_105043",28409.73,"2011","08","03",0.470982252,27946.57,8.713848721,65580.42548,14.97327274,7526,10.80212424,65579.69625,15.98060282,6071,1.475457734,463.16,0.153755563,1156.856859,1.651095626,7524,3.00332912,1153.278382,6.705824068,384
"KEAX20110803_110007",45526.25,"2011","08","03",0.470076657,45128.28,13.530975,101874.7108,26.14387397,7529,15.41214073,101874.2502,27.37788895,6610,1.473746934,397.97,0.120001902,903.0143089,0.721265975,7525,1.791821655,899.494471,2.193620736,502
"KEAX20110803_110932",121109.03,"2011","08","03",0.470269112,120346.92,36.26859723,273138.8057,37.10316848,7531,36.43307839,273138.7887,37.10654876,7497,1.473815845,762.11,0.275361801,2072.648273,1.786180837,7527,2.356851799,2069.315879,4.74010065,878
"KEAX20110803_111856",172787.3,"2011","08","03",0.471280198,169381.47,49.38893238,371750.494,33.76761741,7527,49.38893238,371750.494,33.76761741,7527,1.475013438,3405.83,1.290431021,9713.074293,3.076895905,7527,3.183878845,9710.830478,4.164018202,3050
"KEAX20110803_112820",151359.22,"2011","08","03",0.470158335,141445.74,41.47527292,312059.9535,27.37940168,7524,41.47527292,312059.9535,27.37940168,7524,1.474805475,9913.48,3.551222283,26737.15257,5.522173189,7529,5.64760282,26735.75175,6.054867149,4734
"KEAX20110803_113744",123560.89,"2011","08","03",0.469569156,108453.4,32.48448551,244413.269,22.39058288,7524,32.48448551,244413.269,22.39058288,7524,1.474443593,15107.49,5.153171156,38798.22563,7.522297588,7529,6.91819951,38797.26285,7.984940774,5608
"KEAX20110803_114709",136672.11,"2011","08","03",0.469584155,112220.14,33.2509669,250280.0278,22.6128025,7527,33.2509669,250280.0278,22.6128025,7527,1.49255895,24451.97,7.753193292,58350.53271,8.794378257,7526,8.567049532,58350.17436,8.859366388,6811
