"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KIND20110710_100604",5935.65,"2011","07","10",0.471629118,5297.9,1.807584751,15433.1586,13.28290501,8538,5.467857483,15430.29382,22.66971141,2822,1.480450494,637.75,0.134317565,1146.937685,0.396769613,8539,0.926480155,1143.276512,0.596647369,1234
"KIND20110710_101547",16312.94,"2011","07","10",0.477673711,15621.87,5.766476416,49245.70859,29.99187766,8540,10.24845716,49243.83666,39.40713858,4805,1.480466563,691.07,0.141545661,1208.941489,0.437019793,8541,1.04894405,1205.236713,0.684520029,1149
"KIND20110710_102528",30348.58,"2011","07","10",0.472045984,29674.27,10.47197255,89399.22965,33.84582645,8537,15.31309985,89397.87694,40.01361091,5838,1.481795482,674.31,0.138097108,1179.07311,0.517701332,8538,1.014128429,1175.37485,1.04265045,1159
"KIND20110710_103511",18190.47,"2011","07","10",0.478629887,17743.15,6.444615136,55011.2348,21.05908066,8536,10.25151808,55009.64604,25.81653419,5366,1.48074155,447.32,0.089492343,764.2646127,0.33526894,8540,0.927311521,760.3954472,0.62809572,820
"KIND20110710_104452",4812.21,"2011","07","10",0.470347107,4526.01,1.654128866,14124.60639,6.135501658,8539,3.872266131,14122.15458,8.919812499,3647,1.481304368,286.2,0.05673579,484.3534353,0.270971762,8537,0.832519904,480.3639849,0.664485149,577
"KIND20110710_105434",2364.33,"2011","07","10",0.471569284,2191.47,0.795052963,6788.162196,3.264389397,8538,2.313451429,6785.353041,5.245399053,2933,1.480644129,172.86,0.035014176,298.9860515,0.192725497,8539,0.780147784,294.8958624,0.508631807,378
"KIND20110710_110416",1562.11,"2011","07","10",0.47093093,1501.44,0.564386202,4820.422552,2.812467709,8541,1.773096664,4817.503637,4.767412937,2717,1.480307348,60.67,0.013147664,112.2547536,0.093307595,8538,0.568793908,108.0708426,0.275349705,190
"KIND20110710_111357",1254.38,"2011","07","10",0.470572047,1214.07,0.458467046,3914.39164,2.271183517,8538,1.754701503,3911.22965,4.182107279,2229,1.480666996,40.31,0.009241437,78.90339042,0.077839185,8538,0.561585802,74.69091172,0.282130331,133
"KIND20110710_112339",825.59,"2011","07","10",0.471757227,807.82,0.300834775,2568.828142,1.634519377,8539,1.420516971,2565.453649,3.32364142,1806,1.480488449,17.77,0.00460442,39.31714262,0.051598654,8539,0.508291112,35.07208675,0.273426693,69
"KIND20110710_113321",754.82,"2011","07","10",0.471648419,738.33,0.262384938,2240.242599,2.662098663,8538,1.444922028,2236.7393,6.115439768,1548,1.480127556,16.49,0.004505468,38.47219279,0.051652861,8539,0.496045463,34.22713692,0.296363493,69
