"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KDOX20110803_090019",2568.22,"2011","08","03",0.501573108,2567.06,2.447324104,2391.03565,2.673690332,977,2.653715382,2390.99756,2.684040335,901,1.486193248,1.16,0.00135586,1.324675585,0.013615679,977,0.209255102,0.837020407,0.049458075,4
"KDOX20110803_090603",3148.89,"2011","08","03",0.500341784,3145.96,2.952714517,2884.802083,2.497628202,977,3.05591689,2884.785544,2.47806137,944,1.483407568,2.93,0.003521677,3.437157062,0.029473519,976,0.268501035,2.953511382,0.081124833,11
"KDOX20110803_091148",2136.66,"2011","08","03",0.515758628,2134.56,2.092693556,2044.561604,2.517186624,977,2.312799767,2044.514994,2.548342584,884,1.497770841,2.1,0.002427999,2.369727466,0.019418168,976,0.18855806,1.885580598,0.044232029,10
"KDOX20110803_091732",3020.16,"2011","08","03",0.499005552,3014.95,2.853589326,2785.103182,4.974545707,976,3.154084453,2785.056572,5.138742779,883,1.489175434,5.21,0.006242574,6.105236885,0.053686357,978,0.351443423,5.623094766,0.24188218,16
"KDOX20110803_092316",3048.92,"2011","08","03",0.498418896,3045.19,2.843802074,2778.394626,24.40762982,977,3.521293286,2778.300403,27.11960746,789,1.486134451,3.73,0.004375661,4.270645378,0.050836701,976,0.473187017,3.785496136,0.32666213,8
"KDOX20110803_092900",1250.42,"2011","08","03",0.50280162,1245.65,1.305210913,1275.191062,2.304749519,977,1.97985119,1275.024167,2.593334124,644,1.496367128,4.77,0.003454603,3.375147136,0.044404252,977,0.481415722,2.888494332,0.330231788,6
"KDOX20110803_093444",992.19,"2011","08","03",0.496917912,987,1.025518768,1002.957355,2.4108413,978,1.881302677,1002.734327,3.010189743,533,1.486392846,5.19,0.003459447,3.379879595,0.039373875,977,0.482204465,2.893226791,0.16088289,6
"KDOX20110803_094028",960.22,"2011","08","03",0.502200448,948.17,0.98275011,961.1296079,2.872393804,978,1.964999033,960.8845273,3.818981453,489,1.484388431,12.05,0.008738044,8.537068547,0.066151915,977,0.473878165,8.055928803,0.181637943,17
"KDOX20110803_094612",1242.39,"2011","08","03",0.500589902,1237.71,1.238322357,1208.60262,3.766167508,976,2.609817518,1208.345511,5.132971151,463,1.483196465,4.68,0.004227716,4.13047899,0.03713843,977,0.331484738,3.646332122,0.124369243,11
"KDOX20110803_095156",2296.14,"2011","08","03",0.512379516,2288.6,2.17932783,2129.20329,5.159650315,977,3.633118304,2129.007326,6.255030111,586,1.497106484,7.54,0.007380303,7.210556433,0.04614267,977,0.292714079,6.732423812,0.085372905,23
"KDOX20110803_095742",4336.91,"2011","08","03",0.500529471,4318.87,3.984260305,3896.606578,6.406381845,978,5.202258753,3896.491806,6.874768333,749,1.476763428,18.04,0.01778905,17.36211301,0.105860654,976,0.43314104,16.89250057,0.321104223,39
"KDOX20110803_100326",5934.47,"2011","08","03",0.511418072,5835.6,5.481872113,5355.789055,7.267856002,977,6.383456366,5355.719891,7.467172047,839,1.497972346,98.87,0.090450596,88.37023197,0.318958969,977,0.726786907,87.9412157,0.601190412,121
