"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KILX20110730_100253",19131.89,"2011","07","30",0.471802772,18782.92,4.591818051,38704.43435,8.224219936,8429,5.79221173,38703.55878,8.852732806,6682,1.43087217,348.97,0.116943289,986.0658125,0.585403748,8432,1.32731173,982.2106803,1.517108175,740
"KILX20110730_100838",18370.85,"2011","07","30",0.472740371,18053.46,4.567645222,38523.5198,7.887209826,8434,6.006940106,38522.5069,8.553892379,6413,1.43384219,317.39,0.107842744,909.4378568,0.541520719,8433,1.220462568,905.5832258,1.406310786,742
"KILX20110730_101422",14686.3,"2011","07","30",0.474545118,14498.95,3.698843136,31177.54879,7.270923236,8429,5.08255601,31176.39857,8.100365596,6134,1.43440874,187.35,0.063776835,537.4473891,0.447816387,8427,1.185443152,533.4494186,1.559257643,450
"KILX20110730_102007",11233.7,"2011","07","30",0.47171472,11157.27,2.932566321,24739.12948,6.478174416,8436,4.465284846,24737.67805,7.554075884,5540,1.459512724,76.43,0.027999352,236.2025296,0.317890795,8436,1.110427092,232.0792622,1.700253858,209
"KILX20110730_102552",7443.67,"2011","07","30",0.471838955,7371.95,2.01469402,16991.92937,4.977130261,8434,3.658490497,16990.02987,6.243264392,4644,1.431012866,71.72,0.020646909,174.1773202,0.195658543,8436,0.939447622,170.0400196,0.962523787,181
"KILX20110730_103235",5196.04,"2011","07","30",0.478786265,5149.79,1.396694469,11774.13437,5.608582022,8430,3.22425067,11771.7392,8.170009876,3651,1.429547896,46.25,0.013744802,115.8824278,0.149012827,8431,0.90828101,111.7185643,0.845942576,123
"KILX20110730_103819",5192.57,"2011","07","30",0.47229813,5148.53,1.365345414,11515.32322,4.386688017,8434,3.433574915,11512.77669,6.427234018,3353,1.450917223,44.04,0.014306073,120.6144985,0.14711228,8431,0.862641846,116.4566492,0.790358458,135
"KILX20110730_104404",7114.93,"2011","07","30",0.473626731,7054.67,1.805402221,15219.54072,5.338902531,8430,3.893877777,15217.27435,7.304878293,3908,1.43763774,60.26,0.02051069,172.884602,0.178852742,8429,0.760231344,168.7713584,0.80954729,222
"KILX20110730_104949",12919.64,"2011","07","30",0.473071706,12772.17,3.022111699,25470.3574,7.483853054,8428,5.254500237,25468.56265,9.255505418,4847,1.434075996,147.47,0.053282401,449.383767,0.395358178,8434,0.95782754,445.3898059,1.404642654,465
"KILX20110730_105534",13872.88,"2011","07","30",0.471339541,13209.84,2.915303865,24576.01158,6.681220963,8430,4.870058575,24574.31557,8.065980402,5046,1.434991391,663.04,0.212660789,1793.15577,0.712447694,8432,1.304385851,1789.617388,1.302637732,1372
"KILX20110730_110118",14143.46,"2011","07","30",0.471177369,12893.94,2.728541332,23015.24613,5.827985877,8435,4.396951057,23013.64183,6.885159083,5234,1.431895843,1249.52,0.36973979,3116.906433,1.026563241,8430,1.553735431,3113.685804,1.610832872,2004
"KILX20110730_110705",12432.47,"2011","07","30",0.471797198,10471.01,2.15956124,18211.57994,4.685122854,8433,3.540033346,18209.93153,5.576798905,5144,1.450785401,1961.46,0.558463598,4710.081986,1.470544203,8434,2.053666533,4707.003694,2.211054768,2292
