"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KILN20110720_100355",266.7,"2011","07","20",0.479047626,230.35,0.066390265,258.5900828,0.855176456,3895,5.032618021,256.6635191,5.609391938,51,0.86391056,36.35,0.010532524,41.09790749,0.263613937,3902,3.558889815,39.14778796,3.635914149,11
"KILN20110720_100831",163.28,"2011","07","20",0.493858525,103.46,0.027196728,106.1760263,0.36160692,3904,2.895484281,104.2374341,2.457777152,36,0.861647056,59.82,0.017374528,67.69116174,0.396340535,3896,3.652642092,65.74755765,4.683337785,18
"KILN20110720_101309",2471.9,"2011","07","20",0.480768206,2213.16,0.540264655,2104.330832,6.451278853,3895,9.141278179,2102.493981,25.0747175,230,0.86234496,258.74,0.060519935,235.7251449,0.667235329,3895,4.411312897,233.7995835,3.712044868,53
"KILN20110720_101747",6170.03,"2011","07","20",0.483515704,5694.83,1.470943702,5719.029113,7.590015952,3888,7.246484073,5717.475934,15.56484702,789,0.862239379,475.2,0.114117047,444.9423675,0.92380971,3899,3.920751085,443.0448727,3.82701176,113
"KILN20110720_102225",9009.74,"2011","07","20",0.475905581,8145.8,2.221827074,8660.681936,7.802008911,3898,6.550220029,8659.390878,12.29640388,1322,0.863588121,863.94,0.227501911,884.527431,1.186358501,3888,2.99229378,882.7266652,3.210631674,295
"KILN20110720_102703",14208.12,"2011","07","20",0.476224066,10689.8,2.897026121,11292.60782,7.810815613,3898,7.178285163,11291.44256,10.97687936,1573,0.865607975,3518.32,0.930266526,3627.109185,2.356909129,3899,4.14827585,3625.593093,3.382403033,874
"KILN20110720_103138",10770.15,"2011","07","20",0.476430087,7797,2.185237178,8511.498808,4.503677184,3895,5.437911209,8510.331042,5.727376362,1565,0.863107414,2973.15,0.766773179,2988.881851,2.539730964,3898,4.609958322,2987.252993,4.594405789,648
"KILN20110720_103614",8611.82,"2011","07","20",0.499890629,6837.5,2.009763922,7824.010948,3.746972882,3893,4.849887316,7822.868241,4.48510832,1613,0.864007504,1774.32,0.48173924,1878.301297,1.672352472,3899,3.180750625,1876.642869,3.1481525,590
"KILN20110720_104052",8463.74,"2011","07","20",0.481846847,6541.91,1.904503476,7437.086073,3.661773968,3905,4.963871639,7435.879715,4.446695583,1498,0.861773212,1921.83,0.495486921,1932.398993,1.696648047,3900,3.3174159,1930.736054,3.153049891,582
"KILN20110720_104528",8745.59,"2011","07","20",0.48621689,6870.6,2.034210432,7929.352266,4.823655153,3898,5.065931627,7928.182996,6.527551574,1565,0.861980641,1874.99,0.499079398,1941.917936,2.058726358,3891,3.339516361,1940.259006,4.35035504,581
"KILN20110720_105004",7745.54,"2011","07","20",0.479740557,5988.24,1.814181851,7069.866672,3.58375847,3897,4.753637398,7068.658811,4.437526231,1487,0.861814373,1757.3,0.449390142,1753.520334,2.057306183,3902,3.597143285,1751.80878,4.756957923,487
"KILN20110720_105442",7229.36,"2011","07","20",0.487407686,5761.17,1.788275877,6970.699367,12.16852923,3898,5.212726871,6969.415826,20.34832816,1337,0.883236339,1468.19,0.419945006,1632.326239,1.858838267,3887,2.959445152,1630.654279,4.10916303,551
"KILN20110720_105920",5437.21,"2011","07","20",0.480075447,4542.3,1.361343143,5299.708854,2.684825824,3893,4.072567084,5298.409777,3.245263522,1301,0.863076001,894.91,0.262788021,1022.770979,1.161695199,3892,2.744641936,1021.0068,2.706444614,372
"KILN20110720_110359",4402.46,"2011","07","20",0.478107,4396.76,1.306314259,5086.787723,2.216975719,3894,2.968881865,5085.694634,2.497678662,1713,1.488252371,5.7,0.001957663,7.62118335,0.041693706,3893,0.945511429,5.673068573,0.532110767,6
"KILN20110720_111335",4097.88,"2011","07","20",0.486315137,4085.75,1.179235338,4588.404699,2.199566761,3891,2.98841948,4587.223902,2.619061173,1535,1.486186761,12.13,0.00305489,11.88657681,0.073957225,3891,1.242558347,9.940466778,1.131418051,8
"KILN20110720_112310",4080.61,"2011","07","20",0.483717414,4072.45,1.15195092,4483.39298,2.567348473,3892,3.154225578,4482.154546,3.426654525,1421,1.487369062,8.16,0.002690842,10.47544808,0.055035671,3893,1.06604196,8.52833568,0.623838886,8
"KILN20110720_113246",3785.39,"2011","07","20",0.484324774,3773.35,1.116553959,4350.094225,2.197385658,3896,2.840567549,4348.908917,2.71894429,1531,1.485907943,12.04,0.004271909,16.60918237,0.085241213,3888,1.62945301,14.66507709,0.743060954,9
"KILN20110720_114222",3027.92,"2011","07","20",0.487300955,3017.3,0.906629156,3528.600673,1.740857006,3892,2.607042246,3527.328159,2.070366607,1353,1.487136488,10.62,0.003830683,14.9013559,0.07368563,3890,0.996788692,12.958253,0.829411145,13
"KILN20110720_115158",2544.36,"2011","07","20",0.486317387,2535.12,0.790553224,3073.670934,1.692266689,3888,2.588304319,3072.317227,2.174757144,1187,1.487590052,9.24,0.003388501,13.18465761,0.061965564,3891,1.021822832,11.24005115,0.591178055,11
"KILN20110720_120135",3922.23,"2011","07","20",0.485584133,3916.27,1.267148943,4933.010835,3.697338196,3893,3.615647604,4931.743332,5.526183812,1364,1.485833167,5.96,0.002077054,8.088048607,0.049350252,3894,1.227786291,6.138931455,0.699950576,5
"KILN20110720_121112",4045.5,"2011","07","20",0.487348721,4037.24,1.309910442,5102.101173,2.736582178,3895,3.32740859,5100.917368,3.509792837,1533,1.485902995,8.26,0.002494409,9.710735864,0.056737544,3893,1.109017468,7.763122274,0.810631009,7
"KILN20110720_122049",4245.03,"2011","07","20",0.485034819,4235.89,1.333257797,5191.705861,3.165535839,3894,3.437424524,5190.511031,4.314519569,1510,1.487766016,9.14,0.003214988,12.52237726,0.057013998,3895,0.961433277,10.57576605,0.502912617,11
"KILN20110720_123027",4673.34,"2011","07","20",0.484874381,4665.5,1.422975168,5539.64233,4.022114138,3893,3.759965687,5538.429457,5.829374015,1473,1.486104669,7.84,0.002649971,10.32163525,0.065289351,3895,1.395419683,8.372518096,0.994198163,6
"KILN20110720_124004",3356.62,"2011","07","20",0.485001375,3354.17,0.989266221,3851.213397,2.456176214,3893,3.055471247,3849.893771,3.51172989,1260,1.485857864,2.45,0.000682816,2.659568872,0.011335448,3895,0.707945784,0.707945784,NA,1
"KILN20110720_124942",2421.51,"2011","07","20",0.487631546,2419.61,0.702612106,2735.268927,1.782044282,3893,2.638838837,2733.837035,2.613127515,1036,1.48562989,1.9,0.000501187,1.950620713,0,3892,NA,0,NA,0
"KILN20110720_125919",1693.07,"2011","07","20",0.487730835,1684.98,0.520552655,2024.949826,1.525099683,3890,2.414582581,2023.420203,2.495854415,838,1.487820518,8.09,0.002860072,11.11423916,0.076124814,3886,1.528272115,9.16963269,1.306188702,6
"KILN20110721_100034",772.44,"2011","07","21",0.479999049,661.68,0.188613413,734.8378567,1.688007036,3896,7.115891782,732.9368535,7.68330721,103,0.864704722,110.76,0.034864509,135.2742931,0.366981837,3880,2.778202991,133.3537436,1.825577495,48
"KILN20110721_100449",694.78,"2011","07","21",0.478323031,553.27,0.165771753,643.0286315,1.849043833,3879,5.882010602,641.1391556,9.425215696,109,0.865341786,141.51,0.041699884,162.504447,0.47705068,3897,3.416486726,160.5748761,2.737877943,47
"KILN20110721_100905",434.52,"2011","07","21",0.49885378,350.06,0.111432508,433.9181857,1.046440886,3894,4.595890151,432.0136742,5.000913071,94,0.862115611,84.46,0.029118385,113.0958056,0.362664504,3884,2.711457149,111.1697431,2.3052868,41
"KILN20110721_101320",1094.41,"2011","07","21",0.476411494,604.24,0.183524007,715.3765805,3.076447889,3898,5.753912096,713.4850999,16.35710158,124,0.861933419,490.17,0.162383907,631.0238645,4.945824368,3886,12.0981214,629.1023127,41.42633201,52
"KILN20110721_101735",1642.95,"2011","07","21",0.490140241,1509.32,0.387503042,1506.99933,2.619568764,3889,5.949316257,1505.177013,8.523821463,253,0.860416512,133.63,0.03813677,148.0850775,0.432993438,3883,3.109840921,146.1625233,2.462389099,47
"KILN20110721_102149",4274.9,"2011","07","21",0.480561619,3707.41,0.909958455,3545.198141,6.11227309,3896,8.259814744,3543.460525,16.7076565,429,0.863464215,567.49,0.152553993,594.5029099,2.686899992,3897,5.698095257,592.6019068,15.52976976,104
"KILN20110721_102604",7786.05,"2011","07","21",0.479634079,6214.15,1.482821154,5762.243003,5.983227593,3886,7.934792357,5760.659251,11.85626,726,0.862047626,1571.9,0.37842481,1469.423537,1.641926081,3883,4.543774955,1467.63931,3.676773244,323
