"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KPBZ20110726_100219",70.97,"2011","07","26",0.502776037,69,0.04475235,167.1052754,0.668034475,3734,1.55931102,165.2869681,3.671861842,106,1.498880777,1.97,0.001068652,3.991415272,0.025839529,3735,1.060241665,2.120483329,0.498221612,2
"KPBZ20110726_101159",1693,"2011","07","26",0.498298369,1691.29,1.043808805,3898.625886,3.038904695,3735,3.302835045,3897.345353,4.667066782,1180,1.496440841,1.71,0.001059329,3.956595423,0.017242506,3735,0.521666463,2.086665854,0.091001471,4
"KPBZ20110726_102140",3083.54,"2011","07","26",0.495739668,3042.93,1.794853332,6701.982344,3.840581561,3734,3.065510753,6701.206506,4.615586639,2186,1.497854686,40.61,0.03077792,114.9863098,0.260117722,3736,0.984100094,113.1715108,1.127334718,115
"KPBZ20110726_103122",2430.7,"2011","07","26",0.498326313,2310.74,1.309970539,4892.739964,2.284719481,3735,2.197656637,4891.983673,2.609379108,2226,1.498139531,119.96,0.089647486,334.8333611,0.475352185,3735,1.181215466,333.1027615,1.307361428,282
"KPBZ20110726_104102",2218.12,"2011","07","26",0.49495556,2071.1,1.156595418,4318.727293,2.234315369,3734,2.152473201,4317.861241,2.674036217,2006,1.498650136,147.02,0.108380057,404.9078929,0.652846459,3736,1.429704937,403.1767922,1.941628593,282
"KPBZ20110726_105043",1581.14,"2011","07","26",0.49771654,1435.41,0.792514374,2960.833702,1.603915651,3736,1.793811046,2959.788226,2.007514546,1650,1.500317494,145.73,0.101493601,379.1800917,0.485693084,3736,1.106975252,377.4785611,1.214740654,341
"KPBZ20110726_110023",986,"2011","07","26",0.497714491,907.48,0.486391409,1816.671914,1.165420225,3735,1.599443901,1815.368827,1.640419576,1135,1.499407358,78.52,0.053728448,200.7294807,0.313254948,3736,0.84670138,198.9748242,0.944670837,235
"KPBZ20110726_111005",536.23,"2011","07","26",0.501183935,512.64,0.28296081,1056.858626,1.026974677,3735,1.52725472,1055.333012,1.950641051,691,1.49749478,23.59,0.016587376,61.93726121,0.160140185,3734,0.8347488,60.10191357,0.810049464,72
"KPBZ20110726_111946",15076.92,"2011","07","26",0.502500606,15068.32,8.785166536,32715.96018,55.2546783,3724,25.96406766,32714.72525,92.63859033,1260,1.49884548,8.6,0.006206968,23.18302363,0.070696289,3735,0.609389453,21.32863086,0.41330542,35
"KPBZ20110726_112929",39023.35,"2011","07","26",0.502104162,32908.2,18.86841873,69416.9125,89.16993774,3679,59.27895433,69415.65552,150.3264244,1171,0.908139359,6115.15,3.359976466,12542.79215,37.56732626,3733,18.01906615,12541.27004,85.52123761,696
"KPBZ20110726_113349",31276.94,"2011","07","26",0.503424697,29232.14,16.66901014,61391.96436,85.88609957,3683,56.52915541,61390.66278,150.9202711,1086,0.930052339,2044.8,1.13635122,4247.680859,14.16633948,3738,8.736730449,4246.050998,38.46784035,486
"KPBZ20110726_113811",27990.01,"2011","07","26",0.505378517,26209.64,15.3541849,56810.48413,76.45541101,3700,52.31047332,56809.17403,134.1393766,1086,0.938154788,1780.37,0.975520927,3644.546183,10.3330922,3736,7.073654095,3642.931859,27.06753615,515
"KPBZ20110726_114231",90.1,"2011","07","26",0.502650978,86.16,0.04411447,164.8116606,0.251438526,3736,1.10893129,163.0128996,0.654966527,147,1.49941318,3.94,0.00235135,8.782290647,0.039446058,3735,0.628715399,6.915869389,0.384925112,11
"KPBZ20110726_115213",141.59,"2011","07","26",0.495705478,134.33,0.068998007,257.707556,0.454838439,3735,1.532451018,255.91932,1.548569221,167,1.497367399,7.26,0.004517451,16.87267868,0.069580546,3735,0.714822347,15.01126929,0.609215935,21
"KPBZ20110726_120155",106.31,"2011","07","26",0.49664086,100.54,0.04558429,170.2573249,0.368137243,3735,1.477566017,168.4425259,1.531167805,114,1.496479925,5.77,0.003681089,13.75254852,0.049229279,3736,0.594506838,11.89013676,0.327090661,20
"KPBZ20110726_121136",88.41,"2011","07","26",0.499885283,82.97,0.03400264,126.9998615,0.285375769,3735,1.508066575,125.1695258,1.207940661,83,1.499366188,5.44,0.003483842,13.01563237,0.04217024,3736,0.531129609,11.15372179,0.19524326,21
"KPBZ20110726_122118",75.1,"2011","07","26",0.496939418,67.33,0.028873655,107.8431025,0.227796312,3735,1.359105908,106.0102608,0.828042005,78,1.498821948,7.77,0.005406036,20.19154466,0.064525046,3735,0.654772985,18.33364359,0.36769002,28
"KPBZ20110726_123059",78.7,"2011","07","26",0.494843632,67.79,0.031114413,116.2123332,0.264506359,3735,1.61092934,114.3759831,1.073096091,71,1.498777597,10.91,0.007036213,26.2732204,0.086522746,3734,0.739949286,24.41832645,0.56073451,33
"KPBZ20110726_124040",30.84,"2011","07","26",0.501835991,25.23,0.01310174,48.92189857,0.122626387,3734,1.023337393,47.07352006,0.437211489,46,1.500704191,5.61,0.0032968,12.31684523,0.055492661,3736,0.746530453,10.45142634,0.536301763,14
"KPBZ20110726_125022",31.51,"2011","07","26",0.49846494,28.14,0.014303854,53.43919818,0.160223253,3736,1.322725871,51.58630897,0.864686288,39,1.499308497,3.37,0.002005764,7.485512109,0.044232045,3732,0.802655666,5.618589663,0.683604331,7
"KPBZ20110727_100426",878.4,"2011","07","27",0.496591446,873.53,0.480025537,1792.415357,2.189437663,3734,4.866109676,1790.728361,5.23069219,368,1.497427699,4.87,0.00353691,13.21035805,0.066905244,3735,0.709152671,11.34644273,0.762188832,16
"KPBZ20110727_101407",3689.31,"2011","07","27",0.501352674,3638.39,2.052804931,7669.279222,4.731370932,3736,5.457730217,7668.110954,6.399801933,1405,1.49716738,50.92,0.035787925,133.6678985,0.222387198,3735,0.879140949,131.8711423,0.702433089,150
"KPBZ20110727_102348",5589.49,"2011","07","27",0.500500214,5160.84,2.896410041,10815.19509,5.324856386,3734,4.965296256,10814.41525,6.192231504,2178,1.499470495,428.65,0.316292293,1181.035421,1.02941442,3734,1.7474108,1179.50229,1.834516759,675
"KPBZ20110727_103331",6150.81,"2011","07","27",0.498647743,5244.21,2.984714177,11141.93802,5.119299568,3733,4.685138315,11141.25891,5.759977393,2378,1.496870294,906.6,0.6254744,2336.146884,1.718417965,3735,2.327794258,2334.77764,2.653034863,1003
"KPBZ20110727_104312",5199.5,"2011","07","27",0.499182462,4277.87,2.471615654,9233.956085,4.407376303,3736,4.012706163,9233.236881,5.035731935,2301,1.498377788,921.63,0.592364156,2212.480124,1.503812953,3735,2.117941982,2211.131429,2.205156544,1044
"KPBZ20110727_105255",3071.68,"2011","07","27",0.49881782,2425.47,1.436655798,5367.346061,2.624982778,3736,2.857515898,5366.414856,3.106402834,1878,1.496221703,646.21,0.392015357,1464.177359,1.096626222,3735,1.739271014,1462.726923,1.732177385,841
