"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KIWX20110730_100144",3748.82,"2011","07","30",0.532284454,3543.93,1.467920916,7181.069122,11.99380737,4892,7.915184003,7179.071891,26.93493996,907,1.547930289,204.89,0.101530049,496.6850021,0.343004626,4892,0.752758713,494.5624742,0.621732874,657
"KIWX20110730_101051",4378.77,"2011","07","30",0.532577262,4227.61,1.753031885,8567.06682,13.70613812,4887,8.748833688,8565.108181,29.61855154,979,1.548203919,151.16,0.074772411,365.6370899,0.299940316,4890,0.743213425,363.4313649,0.635471836,489
"KIWX20110730_101956",9980.06,"2011","07","30",0.526565439,9799.94,3.73896835,18261.12142,28.95753111,4884,13.54551129,18259.34922,53.91522916,1348,1.547477766,180.12,0.083872533,410.3044299,0.505656077,4892,0.85374935,408.0921894,1.401237893,478
"KIWX20110730_102902",15640.13,"2011","07","30",0.537737987,14949.46,5.790350279,28256.90936,44.48429327,4880,14.45291222,28255.44339,69.39593346,1955,1.54495127,690.67,0.26814199,1311.750617,1.071526262,4892,1.774618814,1309.668685,2.223369149,738
"KIWX20110730_103808",13575.64,"2011","07","30",0.538194153,12582.38,5.053139122,24709.85031,28.70036814,4890,8.994822083,24708.77626,37.82956656,2747,1.549697586,993.26,0.413630039,2023.891781,1.441677248,4893,1.826553104,2021.994286,2.571149782,1107
"KIWX20110730_104717",25767.38,"2011","07","30",0.531516215,24063.49,9.456029929,46173.79414,45.54372387,4883,13.34867894,46173.08045,53.63228117,3459,1.548310948,1703.89,0.717388714,3509.465591,1.937686124,4892,2.227176605,3507.803153,2.881505262,1575
"KIWX20110730_105723",27322.55,"2011","07","30",0.539696615,25460.99,10.37091661,50610.07307,47.4162913,4880,14.08948428,50609.42754,54.79332743,3592,1.54749124,1861.56,0.817274786,3998.108254,2.156072106,4892,2.277228507,3996.53603,3.104329803,1755
"KIWX20110730_110629",24610.04,"2011","07","30",0.537961394,22349,8.69632545,42498.94247,29.3892952,4887,11.94442844,42498.2764,33.87683408,3558,1.543958793,2261.04,1.009237591,4935.171821,2.259786822,4890,2.548394274,4933.691314,2.996476419,1936
"KIWX20110730_111535",21530.85,"2011","07","30",0.53753537,19763.1,7.887543043,38491.21005,34.33548764,4880,10.75756219,38490.55751,39.71352213,3578,1.547675394,1767.75,0.853721053,4176.403392,2.150918388,4892,2.495391554,4174.79007,3.071682804,1673
"KIWX20110730_112441",24263.76,"2011","07","30",0.536956506,22653.44,8.743263448,42693.35542,35.0933602,4883,11.63290122,42692.74748,40.06344181,3670,1.544066634,1610.32,0.753844062,3686.297461,1.686716371,4890,2.087666431,3684.731251,2.258225975,1765
"KIWX20110730_113347",29395.16,"2011","07","30",0.538304172,27863.33,11.32428799,55228.55253,43.70880426,4877,14.54900178,55228.01075,49.06856398,3796,1.547351651,1531.83,0.72177355,3530.194434,1.605656689,4891,2.019816085,3528.618701,2.144268542,1747
"KIWX20110730_114253",33125.21,"2011","07","30",0.536518563,31552.16,13.32415614,64928.61285,59.56322366,4873,16.35470032,64928.16028,65.61531328,3970,1.539012319,1573.05,0.733994018,3590.698738,1.491082796,4892,1.96129186,3589.164103,1.880876841,1830
"KIWX20110730_115159",36860.11,"2011","07","30",0.537040017,34916.59,13.60063901,66425.52092,50.99988889,4884,15.84192096,66425.1746,54.71943277,4193,1.539595098,1943.52,0.897530009,4390.716804,1.905956405,4892,2.211214032,4389.259853,2.459612732,1985
