"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KDMX20110804_100540",51893.61,"2011","08","04",0.529845224,23422.44,5.41598385,25975.05855,34.68690085,4796,10.579994,25973.88527,47.91976738,2455,1.533410099,28471.17,5.925790529,28396.38821,46.8118879,4792,25.35227487,28394.54785,94.2833188,1120
"KDMX20110804_101520",38539.07,"2011","08","04",0.499619078,16940.51,3.952132487,18954.42741,28.99186499,4796,7.566179316,18953.27919,39.77693085,2505,1.529828427,21598.56,4.366167407,20927.04038,41.68849457,4793,25.05994812,20925.05668,97.29651004,835
"KDMX20110804_102500",29536.2,"2011","08","04",0.498698859,15971.42,3.762829894,18039.00651,27.27588778,4794,7.013177633,18037.89287,36.93446848,2572,1.529977308,13564.78,2.67143594,12814.8782,26.88967127,4797,32.60221622,12812.67097,88.70211643,393
"KDMX20110804_103440",10408.07,"2011","08","04",0.504476565,9763.12,2.545839686,12209.84713,8.153233851,4796,4.404340812,12208.83273,10.33647463,2772,1.52820397,644.95,0.12677393,607.8809936,1.910949651,4795,3.583210068,605.5625015,9.578495076,169
"KDMX20110804_104419",5531.21,"2011","08","04",0.503875249,5501.25,1.574144459,7549.596825,4.21447267,4796,3.033938941,7548.440085,5.460328971,2488,1.529058918,29.96,0.010517304,50.45150831,0.171282084,4797,1.232483576,48.06685946,1.468894179,39
"KDMX20110804_105359",5597.88,"2011","08","04",0.498378019,5587.61,1.708470015,8171.612084,13.80515621,4783,4.703561006,8170.085468,22.60277599,1737,1.52804797,10.27,0.003882098,18.61854148,0.095327165,4796,1.081491021,16.22236531,1.365393396,15
"KDMX20110804_110339",4914.87,"2011","08","04",0.51333343,4906.96,1.741078988,8343.25051,22.4014011,4792,6.491434122,8341.492846,42.9138355,1285,1.528545902,7.91,0.002683975,12.87502629,0.04610148,4797,0.698556596,10.47834894,0.455662545,15
"KDMX20110804_111320",7146.39,"2011","08","04",0.502282766,7109.19,2.297980892,11007.32847,9.150873703,4790,5.226012957,11005.98329,13.23640063,2106,1.528001011,37.2,0.015635002,74.98546868,0.734606713,4796,3.156230522,72.59330201,10.35650318,23
"KDMX20110804_112259",10989.51,"2011","08","04",0.49800821,10960.28,3.459045466,16544.61446,28.38168889,4783,7.001016331,16543.40159,40.07510863,2363,1.53026522,29.23,0.010538756,50.56495287,0.137918219,4798,1.17514159,48.1808052,0.937526703,41
"KDMX20110804_113239",8532.16,"2011","08","04",0.510145215,8492.39,3.133617606,15010.02833,25.15772175,4790,9.397888567,15008.42804,42.89784128,1597,1.529069224,39.77,0.013505116,64.78404065,0.209491038,4797,1.2001136,62.40590722,1.635747568,52
"KDMX20110804_114219",8164.42,"2011","08","04",0.507850431,8118,3.048740508,14569.93089,32.83806582,4779,10.16626233,14568.25392,59.3765145,1433,1.527671027,46.42,0.016833053,80.74815735,0.148907706,4797,0.825174473,78.39157498,0.676469715,95
"KDMX20110804_115158",7533.44,"2011","08","04",0.501480342,7495.8,2.785567453,13340.08253,33.44158681,4789,9.520617066,13338.38451,61.32338558,1401,1.528779508,37.64,0.0137654,66.03262517,0.195183176,4797,1.078949154,63.65800006,1.407704849,59
