"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KLOT20110803_100152",2308.94,"2011","08","03",0.482560036,1867.13,1.615920397,8152.318403,3.245653552,5045,2.398909049,8151.492947,3.709881054,3398,0.881252391,441.81,0.429393011,2170.581672,1.165269589,5055,1.260261891,2168.910714,1.715393099,1721
"KLOT20110803_100607",1850.12,"2011","08","03",0.482799816,1554.46,1.321752404,6670.884381,3.572986851,5047,2.196205794,6669.876995,4.392893727,3037,0.880666153,295.66,0.284533686,1435.187911,0.923652513,5044,1.050068896,1433.344043,1.533019505,1365
"KLOT20110803_101022",1263.31,"2011","08","03",0.483398438,1028.18,0.878308153,4431.064633,2.113661165,5045,1.699862716,4429.842237,2.693284913,2606,0.880574012,235.13,0.222893449,1124.720343,0.756322771,5046,1.000671733,1122.753684,1.340059277,1122
"KLOT20110803_101437",927.12,"2011","08","03",0.483398438,790.77,0.688310466,3473.90292,2.008434994,5047,1.56488759,3472.485562,2.793758695,2219,0.881217902,136.35,0.129063447,652.0285319,0.565386762,5052,0.864193387,649.8734268,1.230520322,752
"KLOT20110803_101851",744.85,"2011","08","03",0.483398438,621.13,0.547124204,2763.524353,1.454666064,5051,1.402732196,2761.979694,2.056585435,1969,0.878764758,123.72,0.116102659,585.9701201,0.602398209,5047,0.916420541,583.7598844,1.464556456,637
"KLOT20110803_102306",679.21,"2011","08","03",0.483398438,599.45,0.539138878,2721.573057,1.606961839,5048,1.532356435,2719.932671,2.413369353,1775,0.880582573,79.76,0.07423205,375.0945473,0.349768685,5053,0.72958543,372.8181549,0.856225699,511
"KLOT20110803_102721",776.79,"2011","08","03",0.483398438,704.57,0.61035317,3082.89386,2.207454776,5051,1.768791866,3081.235431,3.476309815,1742,0.880780849,72.22,0.062779722,316.7864754,0.353602485,5046,0.757748138,314.4654774,0.998067119,415
"KLOT20110803_103136",1241.58,"2011","08","03",0.483398438,1105.66,0.884662327,4464.006104,4.206125061,5046,2.548460704,4462.354692,6.838151744,1751,0.87787635,135.92,0.107728047,544.1343641,1.119209525,5051,1.290031824,541.813366,3.683622461,420
"KLOT20110803_103550",1838.3,"2011","08","03",0.483398438,1506.17,1.158852281,5853.362871,4.239602165,5051,2.978023515,5851.816207,6.387287678,1965,0.880427233,332.13,0.246855084,1246.371318,1.657669155,5049,1.950094955,1244.160581,4.295350609,638
"KLOT20110803_104005",3173.24,"2011","08","03",0.483398438,2444.15,1.964104022,9920.689416,4.397345348,5051,3.224869822,9919.699571,5.262092958,3076,0.88126979,729.09,0.549518793,2773.970865,2.249038263,5048,2.125839279,2772.09442,4.029812221,1304
