"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KOKX20110725_090820",3578.58,"2011","07","25",0.479957488,3346.54,1.228258431,14307.98247,2.195278808,11649,1.358987523,14307.42064,2.270425304,10528,1.488890333,232.04,0.086887236,1012.062521,0.283068509,11648,0.246883335,1008.271541,0.434901617,4084
"KOKX20110725_091650",2664.78,"2011","07","25",0.480997271,2520.45,0.948469543,11048.72171,2.542215347,11649,1.156581943,11047.67072,2.76427429,9552,1.488762059,144.33,0.054217943,631.5306056,0.472069367,11648,0.245678608,626.9718066,0.985136983,2552
"KOKX20110725_092525",19486.45,"2011","07","25",0.479209929,19363.61,6.563131628,76296.40518,48.31119467,11625,7.959873005,76295.38275,53.10037789,9585,1.487903281,122.84,0.04464057,519.9733626,0.351090179,11648,0.239411751,515.2140886,0.787961689,2152
"KOKX20110725_093400",41812.51,"2011","07","25",0.480455604,41620.95,13.71224837,159665.4201,58.48616025,11644,15.24974514,159664.8317,61.48800422,10470,1.487598719,191.56,0.076437467,890.4200579,0.393565404,11649,0.363183322,885.8041235,0.797491965,2439
"KOKX20110725_094234",52898.02,"2011","07","25",0.47861244,52496.57,17.56232297,204495.6887,51.83532781,11644,18.82840404,204495.2962,53.44890509,10861,1.487998959,401.45,0.159537183,1858.129572,0.962495872,11647,0.700536049,1853.618386,1.923562644,2646
"KOKX20110725_095109",51675.06,"2011","07","25",0.478997399,51190.07,17.74983601,206767.8397,36.06018839,11649,19.29700155,206767.3716,37.1999633,10715,1.488815821,484.99,0.223447921,2602.721379,1.037975852,11648,0.845016163,2598.424701,1.886005204,3075
"KOKX20110725_095942",49299.67,"2011","07","25",0.48371438,48789.22,17.55158992,204458.471,31.74355476,11649,18.82324402,204458.0765,32.5073947,10862,1.48801222,510.45,0.255027229,2970.557167,1.170328264,11648,0.982521505,2966.232422,2.138023162,3019
"KOKX20110725_100813",49446.27,"2011","07","25",0.482824504,48977.51,17.23255715,200724.8257,30.58896226,11648,18.56496547,200724.4067,31.35764823,10812,1.489090253,468.76,0.273170443,3182.162494,1.161930426,11649,1.1014801,3177.770089,2.130843017,2885
"KOKX20110725_101645",42001.95,"2011","07","25",0.484794837,41374.72,14.72296503,171493.0966,27.29023644,11648,16.59336609,171492.4386,28.4314047,10335,1.448045485,627.23,0.405342566,4721.835557,1.844767407,11649,1.727972699,4717.365468,3.49855054,2730
"KOKX20110725_102202",39573.73,"2011","07","25",0.492814347,38916.59,13.76167602,160296.0023,25.17597367,11648,15.88182136,160295.223,26.41623794,10093,1.445945857,657.14,0.447523617,5212.307563,2.339942178,11647,1.795835751,5207.923679,4.424279151,2900
"KOKX20110725_102719",44669.58,"2011","07","25",0.479132214,35592.6,12.75142992,148490.4014,25.60132459,11645,14.7662694,148489.605,27.00466649,10056,0.865733973,9076.98,4.154586059,48400.92758,8.571642365,11650,5.703434106,48399.34183,9.593573237,8486
"KOKX20110725_103117",41443.1,"2011","07","25",0.47037694,33488.67,11.94054586,139035.716,24.41311661,11644,13.88266595,139034.8995,25.80677136,10015,0.897286714,7954.43,3.703992932,43166.33363,7.435785225,11654,5.312561839,43164.56494,8.412072031,8125
"KOKX20110725_103515",39040.7,"2011","07","25",0.477145726,31047.28,11.01232147,128304.5574,22.1400486,11651,13.02839701,128303.6538,23.5301265,9848,0.868986478,7993.42,3.602586377,41952.11836,7.495413329,11645,5.216402957,41950.31258,8.540273303,8042
"KOKX20110725_103914",38989.4,"2011","07","25",0.470172407,30133.6,10.58939096,123366.4047,21.65991228,11650,12.69583574,123365.4359,23.14616305,9717,0.900709219,8855.8,3.924656254,45737.94398,8.29950804,11654,5.655515797,45736.15625,9.459314188,8087
"KOKX20110725_104313",34574.03,"2011","07","25",0.474978793,27934.22,9.897802548,115299.5019,21.84156376,11649,12.1302922,115298.4273,23.61333621,9505,0.917232954,6639.81,2.972265426,34620.94768,6.341539023,11648,4.562323783,34618.91286,7.381107416,7588
"KOKX20110725_104712",36859.91,"2011","07","25",0.472264958,26832.88,9.220016743,107385.535,20.95362132,11647,11.41780025,107384.4113,22.77352394,9405,0.89829594,10027.03,4.108945407,47869.21399,8.920531968,11650,5.804232867,47867.50845,10.12795514,8247
"KOKX20110725_105111",32500.56,"2011","07","25",0.477897727,25151.28,8.882852663,103458.585,23.1005007,11647,11.15684192,103457.3952,25.39472896,9273,0.870136247,7349.28,3.164438473,36846.72158,7.797406359,11644,4.893049096,36844.65969,9.250039517,7530
"KOKX20110725_105510",29314.02,"2011","07","25",0.473217528,24289,8.2529645,96138.78346,19.39602483,11649,10.43159332,96137.56408,21.27923774,9216,0.891646127,5025.02,2.187815062,25481.48202,5.113216964,11647,3.609460629,25479.18258,6.165140137,7059
"KOKX20110725_105908",28768.21,"2011","07","25",0.468069171,22594.66,7.862467743,91582.02427,20.60108518,11648,10.06824376,91580.74524,22.83156556,9096,0.870074834,6173.55,2.582852903,30082.48776,6.551189219,11647,4.151294788,30080.28203,7.904279694,7246
"KOKX20110725_110307",25937.99,"2011","07","25",0.478457938,20168.12,7.025822543,81843.80681,19.48195071,11649,9.210265815,81842.42203,21.85073966,8886,0.868041195,5769.87,2.355927227,27425.34885,6.115097299,11641,3.908641798,27423.03086,7.481946059,7016
"KOKX20110725_110705",24166.19,"2011","07","25",0.470545377,19111,6.555668271,76373.53535,17.89547594,11650,8.593693099,76372.15057,20.0576773,8887,0.868615528,5055.19,2.07198753,24134.51075,5.564954685,11648,3.547270689,24132.0825,6.913334049,6803
"KOKX20110725_111103",22349.73,"2011","07","25",0.475540083,17071.16,5.973928992,69608.22061,15.74639654,11652,8.026605982,69606.72707,17.79566824,8672,0.882731846,5278.57,2.152231415,25069.19153,5.941995487,11648,3.740742002,25066.71215,7.445431748,6701
"KOKX20110725_111501",21651.97,"2011","07","25",0.476199392,16752.12,5.881969609,68489.65413,15.93362049,11644,7.976720417,68488.1215,18.09980534,8586,0.898066071,4899.85,1.990924994,23192.28525,5.56813649,11649,3.613222739,23189.66354,7.100438724,6418
"KOKX20110725_111859",20226.88,"2011","07","25",0.476254353,15668.91,5.545996968,64605.31868,14.83907716,11649,7.587943089,64603.74746,16.90542825,8514,0.866900154,4557.97,1.871793736,21798.90985,5.427808909,11646,3.567288917,21796.13528,7.078871548,6110
"KOKX20110725_112258",20454.66,"2011","07","25",0.475373449,15360.39,5.373048158,62601.38409,14.16706228,11651,7.454126426,62599.75373,16.21559902,8398,0.905287111,5094.27,2.110981196,24592.93093,6.37964695,11650,3.884717949,24590.26461,8.247457082,6330
"KOKX20110725_112656",18752.72,"2011","07","25",0.479540071,14213.4,4.955112965,57741.93138,13.90268084,11653,7.151367058,57740.13763,16.22548087,8074,0.88184713,4539.32,1.877209352,21865.73453,5.488999316,11648,3.685581548,21862.86974,7.245751847,5932
"KOKX20110725_113054",18640.89,"2011","07","25",0.475766764,13670.54,4.850376889,56502.04038,13.40055784,11649,7.084664454,56500.19902,15.69979632,7975,0.86901101,4970.35,1.957742771,22807.70328,6.046894615,11650,3.791334845,22804.87909,7.992093739,6015
"KOKX20110725_113453",17008.88,"2011","07","25",0.469318372,13111.46,4.646038046,54107.75908,13.73956379,11646,6.78614301,54105.91822,16.16254389,7973,0.885052632,3897.42,1.591884816,18540.68245,6.745512684,11647,3.402638692,18537.57559,9.545900116,5448
"KOKX20110725_113852",16532.01,"2011","07","25",0.480254501,13115.29,4.58472857,53398.33365,14.32968761,11647,6.78912119,53396.43816,17.00372093,7865,0.867596018,3416.72,1.426386912,16618.83392,4.375337188,11651,3.135619999,16615.65038,6.061020628,5299
"KOKX20110725_114250",16906.67,"2011","07","25",0.470102301,13214.84,4.579924984,53337.80636,13.17581648,11646,6.831802524,53335.8823,15.60751909,7807,0.891465085,3691.83,1.491207626,17372.56884,5.21582383,11650,3.32809843,17369.3457,7.390547205,5219
"KOKX20110725_114649",16569.99,"2011","07","25",0.478512638,13001.79,4.585528198,53416.81797,14.74012075,11649,7.007057614,53414.80019,17.75011765,7623,0.869373911,3568.2,1.443666129,16804.27374,4.913209008,11640,3.300135821,16800.99146,7.005124067,5091
"KOKX20110725_115048",18409.16,"2011","07","25",0.473831251,14138.99,4.959916154,57787.98311,15.48235154,11651,7.63455374,57785.93726,18.67009434,7569,0.898159667,4270.17,1.707122145,19891.38724,8.211516145,11652,3.854289444,19888.13353,12.00017487,5160
"KOKX20110725_115446",16578.23,"2011","07","25",0.475439436,12445.83,4.420840148,51467.421,13.53899664,11642,7.0839955,51465.22731,16.57978919,7265,0.871432888,4132.4,1.686110485,19644.87326,6.00837934,11651,4.020774253,19641.48222,8.759243494,4885
"KOKX20110725_115844",18236.55,"2011","07","25",0.471370579,12776.97,4.648988979,54114.23171,15.08235817,11640,7.646169959,54111.9448,18.7416395,7077,0.900164149,5459.58,2.283961094,26610.43071,7.778794372,11651,5.009838672,26607.25318,10.91325555,5311
"KOKX20110726_090315",3507.97,"2011","07","26",0.477389302,2139.55,1.016931838,11844.20512,9.333510725,11647,2.058631888,11841.25062,13.20097671,5752,1.449559907,1368.42,1.139828639,13273.3045,16.07159522,11645,5.06635387,13268.78079,33.59936514,2619
"KOKX20110726_090941",6424.3,"2011","07","26",0.485613438,3640.24,2.100562672,24463.15288,25.80826726,11646,5.034942532,24459.75082,39.77644754,4858,1.444802196,2784.06,2.08023376,24213.92096,22.81486688,11640,8.686574794,24209.48395,46.01251382,2787
"KOKX20110726_091506",10632.21,"2011","07","26",0.481603903,5636.35,3.764483367,43788.47053,35.18543222,11632,9.341794279,43784.98978,54.96120325,4687,1.443669585,4995.86,3.590249938,41790.50928,39.67557433,11640,15.51653366,41786.02516,81.3683357,2693
"KOKX20110726_092031",11823.06,"2011","07","26",0.479867151,7397.63,4.13805494,48129.717,35.96413245,11631,10.1297135,48126.26883,55.73266832,4751,1.451603417,4425.43,3.094779996,36013.95482,30.89920921,11637,12.42137821,36009.57544,60.97258437,2899
