"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KCLE20110719_100051",2414.06,"2011","07","19",0.459684775,1050.91,0.55840537,4927.927394,2.261999155,8825,2.064863626,4924.699748,3.97834844,2385,0.856244536,1363.15,0.716558447,6323.628292,2.773472384,8825,2.663461707,6320.394632,4.840310026,2373
"KCLE20110719_100504",1601.68,"2011","07","19",0.461247157,609.56,0.315393561,2783.663572,1.304255263,8826,1.350957987,2780.271537,2.428757846,2058,0.856075034,992.12,0.505815144,4462.807012,1.82051863,8823,1.977612069,4459.515214,3.171860253,2255
"KCLE20110719_100917",1078.61,"2011","07","19",0.460332252,500.58,0.278705511,2459.854844,1.423382308,8826,1.428077562,2456.293407,2.959627269,1720,0.857995141,578.03,0.283848863,2505.817765,1.00788015,8828,1.303989089,2502.355063,1.828817574,1919
"KCLE20110719_101330",970.66,"2011","07","19",0.462774805,475.97,0.251666418,2221.711138,1.272942537,8828,1.36079975,2218.103592,2.696410042,1630,0.857330585,494.69,0.226611715,2000.528224,0.802467284,8828,1.106375837,1997.008386,1.475610894,1805
"KCLE20110719_101743",800.35,"2011","07","19",0.459158287,391.28,0.269529643,2378.060044,2.535169004,8823,1.574531737,2374.39386,5.963954638,1508,0.868698343,409.07,0.191121032,1685.878628,0.721495163,8821,1.105269686,1682.220462,1.417045484,1522
"KCLE20110719_102157",683.35,"2011","07","19",0.459785919,380.11,0.299410221,2643.792251,2.183375976,8830,1.934103215,2640.050888,5.2624968,1365,0.857706955,303.24,0.158515906,1399.536937,0.810095765,8829,1.131978847,1395.729919,1.897394545,1233
"KCLE20110719_102610",818.53,"2011","07","19",0.461843881,460.76,0.395397337,3490.963092,4.140343745,8829,2.395101538,3487.267839,9.960798463,1456,0.853665572,357.77,0.17131385,1512.358671,0.868106163,8828,1.268738521,1508.530101,2.05096191,1189
"KCLE20110719_103023",974.91,"2011","07","19",0.460392857,625.54,0.486601668,4295.719529,3.679924928,8828,3.043972853,4292.001722,8.777651364,1410,0.859788794,349.37,0.17219438,1519.6154,0.789839961,8825,1.324970088,1515.76578,1.813276198,1144
"KCLE20110719_103436",833.18,"2011","07","19",0.462414302,533.63,0.513390886,4533.241526,4.161950122,8830,3.452342683,4529.4736,10.31999291,1312,0.854156529,299.55,0.155308139,1371.370863,0.704449168,8830,1.165842517,1367.533273,1.5999237,1173
"KCLE20110719_103849",802.8,"2011","07","19",0.460332624,531.41,0.53769094,4747.273311,3.94621785,8829,3.539940239,4743.51992,9.593532002,1340,0.854107685,271.39,0.165801387,1463.860448,0.966380645,8829,1.295474981,1460.000304,2.420257335,1127
"KCLE20110719_104303",913.21,"2011","07","19",0.461535308,639.59,0.617827212,5453.560805,8.584831377,8827,3.827142216,5449.850516,21.09081338,1424,0.854276916,273.62,0.188944724,1668.192966,2.218235155,8829,1.664269171,1664.269171,6.405091324,1000
"KCLE20110719_104716",710.04,"2011","07","19",0.458894063,416.24,0.396794962,3504.889901,2.568943958,8833,2.45009035,3501.17911,5.98194422,1429,0.851799505,293.8,0.186493666,1646.179594,1.384449699,8827,1.586738496,1642.274343,3.759956858,1035
"KCLE20110719_105132",714.88,"2011","07","19",0.463224053,409.27,0.367929294,3246.976019,2.549434617,8825,2.198842233,3243.292293,5.906082398,1475,0.854127567,305.61,0.205102988,1810.033867,1.449311571,8825,1.652478213,1806.158687,3.81838754,1093
"KCLE20110719_105545",807.66,"2011","07","19",0.460330261,473.54,0.413013182,3644.841333,3.743331247,8825,2.530326313,3641.139564,8.979138577,1439,0.853989472,334.12,0.193986707,1712.708632,1.303781042,8829,1.60905453,1708.815911,3.444578646,1062
