"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KBUF20100724_100729",1197.21,"2010","07","24",0.533414786,1185.68,0.120393959,977.3581578,0.485583853,8118,0.681599522,974.0057164,0.978660821,1429,1.537665677,11.53,0.001492711,12.11633545,0.013549058,8117,0.097467436,8.089797215,0.093540593,83
"KBUF20100724_101711",1846.77,"2010","07","24",0.534534715,1823.54,0.179926468,1461.182843,0.600156373,8121,0.735674094,1458.106055,1.033252529,1982,1.538104207,23.23,0.003271266,26.55613685,0.018808682,8118,0.081683494,22.62632775,0.063366546,277
"KBUF20100724_102651",1827.6,"2010","07","24",0.533820663,1797.18,0.175343039,1423.610131,0.540736636,8119,0.616087046,1420.696729,0.870838086,2306,1.543026471,30.42,0.004441755,36.07149511,0.02721751,8121,0.077427518,32.20984747,0.094162058,416
"KBUF20100724_103633",1539.43,"2010","07","24",0.533600098,1481.95,0.143569996,1165.644797,0.476325315,8119,0.53041709,1162.67426,0.797218695,2192,1.537138047,57.48,0.008230796,66.82583156,0.039079074,8119,0.08766326,63.11754722,0.10153673,720
"KBUF20100724_104613",1030.78,"2010","07","24",0.533124249,1002.24,0.101703837,826.3436763,0.346555941,8125,0.434188703,823.221781,0.608778286,1896,1.5441203,28.54,0.004294389,34.87044042,0.020554421,8120,0.075993344,31.00528448,0.054789398,408
"KBUF20100724_105554",723.41,"2010","07","24",0.53329417,700.48,0.07379381,599.2795315,0.257920956,8121,0.343957269,596.0779475,0.468009343,1733,1.535954444,22.93,0.003162161,25.67041981,0.020217969,8118,0.090885212,21.72156559,0.077323437,239
"KBUF20100724_110536",415.02,"2010","07","24",0.534254527,388.38,0.044916415,364.6314591,0.220348793,8118,0.276371747,361.2178729,0.487716896,1307,1.537229342,26.64,0.003949387,32.08877235,0.025040849,8125,0.095795834,28.16397513,0.092756033,294
"KBUF20100724_111517",240.57,"2010","07","24",0.533875887,212.32,0.025933455,210.6055842,0.126518269,8121,0.266655108,206.9243639,0.321805894,776,1.538618276,28.25,0.004229134,34.34479544,0.030757296,8121,0.113046369,30.40947328,0.127945991,269
"KBUF20100724_112458",204.01,"2010","07","24",0.533398546,157.08,0.020448341,165.9996324,0.126049432,8118,0.282610934,162.218676,0.388567814,574,1.539786911,46.93,0.006980594,56.69638833,0.069278471,8122,0.169715803,52.78161485,0.313218108,311
"KBUF20100724_113539",144.04,"2010","07","24",0.534859075,120.82,0.015731788,127.8207812,0.112397825,8125,0.248992422,123.9982262,0.385259089,498,1.543439709,23.22,0.003402136,27.61853698,0.033980224,8118,0.218555808,23.60402724,0.200594734,108
"KBUF20100724_114519",93.21,"2010","07","24",0.533366547,76.91,0.008280362,67.24482047,0.053128968,8121,0.196695842,63.33606123,0.18526005,322,1.544366931,16.3,0.002279045,18.51268563,0.021584641,8123,0.150933914,14.4896557,0.131277437,96
"KBUF20100724_115500",94.27,"2010","07","24",0.534662335,80.21,0.008418861,68.40324506,0.073229946,8125,0.204080614,64.48947396,0.31360085,316,1.531812191,14.06,0.001819679,14.77761384,0.019053941,8121,0.134344591,10.7475673,0.139119324,80
"KBUF20100724_120441",54.07,"2010","07","24",0.533343424,45.61,0.005038544,40.92808959,0.035735631,8123,0.161448548,36.97171757,0.142152717,229,1.544847692,8.46,0.001098398,8.917892454,0.007642967,8119,0.078706886,4.879826912,0.040063091,62
"KBUF20100724_121422",67.13,"2010","07","24",0.533405989,59.56,0.006306933,51.19968546,0.03788687,8118,0.16246355,47.27689298,0.121647285,291,1.536073604,7.57,0.000999838,8.119688457,0.007883658,8121,0.076907733,4.076109856,0.061594537,53
"KBUF20100724_122403",99.55,"2010","07","24",0.534286649,92.17,0.010267415,83.37141108,0.049099551,8120,0.170312259,79.53582519,0.121517311,467,1.531359669,7.38,0.000854044,6.935690144,0.007051587,8121,0.08009976,2.88359136,0.071049997,36
"KBUF20100724_123344",87.57,"2010","07","24",0.533351243,81.8,0.009421805,76.47679459,0.05072128,8117,0.15489065,72.64371462,0.148686627,469,1.543885631,5.77,0.000667814,5.421317845,0.00453795,8118,0.080070592,1.361200065,0.061107865,17
"KBUF20100724_124325",116.79,"2010","07","24",0.533230781,109.85,0.012496304,101.4325033,0.062513233,8117,0.188826848,97.62348036,0.167911475,517,1.545544521,6.94,0.000747025,6.06734033,0.00568569,8122,0.100336068,2.006721363,0.057892348,20
"KBUF20100724_125306",133.18,"2010","07","24",0.534053258,125.48,0.014059733,114.1650314,0.060795583,8120,0.176372419,110.4091343,0.139363014,626,1.537966903,7.7,0.000894991,7.269118983,0.009778681,8122,0.145886472,3.209502391,0.122045907,22
"KBUF20100725_100406",208443.88,"2010","07","25",0.53319169,169684.48,14.75169449,117630.0119,84.04526953,7974,122.2728665,117626.4975,213.1739584,962,1.501593363,38759.4,3.40692262,27667.6186,29.08090101,8121,43.91089556,27663.8642,95.58281326,630
"KBUF20100725_100951",286148.31,"2010","07","25",0.533775162,202220.39,18.67950572,147530.7362,98.04303393,7898,109.767449,147527.4514,215.6765668,1344,1.500840749,83927.92,7.479571866,60457.3794,54.65811609,8083,68.93246048,60453.76784,152.7152324,877
"KBUF20100725_101535",379620.01,"2010","07","25",0.53352674,237320.43,23.20721558,180366.4795,111.9116694,7772,113.7221811,180363.3792,226.0624604,1586,1.499028459,142299.58,13.38325872,107360.5014,78.65503947,8022,94.67111928,107357.0493,189.9878338,1134
"KBUF20100725_102120",394966.52,"2010","07","25",0.533367865,240941.31,25.08860214,192856.0846,111.7861195,7687,111.6694253,192853.0976,214.4112641,1727,1.501348846,154025.21,15.71515211,124778.3078,80.90179511,7940,80.91770505,124775.1012,168.6414544,1542
"KBUF20100725_102704",601268.79,"2010","07","25",0.533342998,372890.42,38.29767397,288075.1036,145.4810319,7522,138.1642104,288072.3786,250.1547053,2085,1.499294868,228378.37,23.96897021,188803.5783,100.5423755,7877,84.36137271,188800.7521,174.6247058,2238
"KBUF20100725_103249",832731.48,"2010","07","25",0.533353365,458319.53,50.1076937,369343.8103,167.0312162,7371,149.2288309,369341.3565,261.3698801,2475,1.501112201,374411.95,40.27267366,313039.4924,137.3467149,7773,108.844589,313037.0381,208.6365602,2876
"KBUF20100725_103833",1037122.89,"2010","07","25",0.532953757,531321.12,62.58325089,438395.6725,182.6895405,7005,166.75294,438393.4793,267.5318471,2629,1.501531428,505801.77,57.35069877,432137.5153,160.672877,7535,128.1540418,432135.4288,220.5004445,3372
"KBUF20100725_104418",1297570.01,"2010","07","25",0.533029266,588418.76,74.32066371,494529.6963,201.0561988,6654,197.6529238,494527.6154,288.3497728,2502,1.500009098,709151.25,82.06438211,594556.4484,195.802376,7245,161.0822723,594554.6672,250.0646502,3691
"KBUF20100725_105002",1447047.94,"2010","07","25",0.533560071,571217.32,80.42726451,499131.6035,208.0879029,6206,206.5079456,499129.7045,291.8240261,2417,1.502134812,875830.62,108.8561869,763408.4385,223.4955096,7013,197.0590772,763406.8653,270.2747365,3874
"KBUF20100725_105547",1819617.8,"2010","07","25",0.533517333,762807.74,114.5804043,669722.463,255.2883758,5845,282.7018662,669720.7209,336.5865051,2369,1.501528668,1056810.06,139.9848002,967854.9084,250.7538998,6914,233.161533,967853.5237,288.1143717,4151
"KBUF20100725_110131",2015024.45,"2010","07","25",0.533206778,879537.05,141.7147247,795586.4646,280.5360861,5614,315.3329035,795584.9154,346.9694886,2523,1.503437385,1135487.4,158.2839611,1050847.218,263.8035128,6639,258.0029294,1050845.932,296.1626613,4073
"KBUF20100725_110715",2053817.97,"2010","07","25",0.532113173,946853.99,158.7941586,864157.8112,284.4468444,5442,321.1283658,864156.4324,333.9241834,2691,1.500905974,1106963.98,169.1743916,1057001.599,270.8441726,6248,273.6924917,1057000.403,300.1264498,3862
"KBUF20100725_111259",2099998.92,"2010","07","25",0.532196324,977642.59,165.7303099,869752.6663,289.3118073,5248,315.8138767,869751.4164,334.8320125,2754,1.503510341,1122356.33,181.1613908,1079721.889,284.3280406,5960,289.9357595,1079720.768,312.809321,3724
"KBUF20100725_111843",2227022.8,"2010","07","25",0.533985972,1065226.86,191.9149193,944989.0627,311.706335,4924,356.4647015,944987.9235,349.0285567,2651,1.500228242,1161795.94,187.8466466,1074482.818,293.2290568,5720,301.7359551,1074481.736,322.1097055,3561
"KBUF20100725_112428",2036500.24,"2010","07","25",0.534744763,967746.44,177.4337223,812291.5808,300.3292276,4578,327.8008589,812290.5283,342.5739134,2478,1.5001611,1068753.8,172.6111455,935034.5752,288.93511,5417,276.8828998,935033.5528,324.1143656,3377
"KBUF20100725_113013",2024483.02,"2010","07","25",0.532643871,1048749.64,185.9803906,836167.8362,306.3310523,4496,308.5486867,836166.941,343.3261978,2710,1.502707174,975733.38,151.535545,812533.5921,264.9040772,5362,230.9643741,812532.6679,297.68577,3518
"KBUF20100725_113557",2348050.2,"2010","07","25",0.533572494,1176810.09,206.1345544,908228.8466,313.4666653,4406,302.0379599,908228.1455,339.1406404,3007,1.498418606,1171240.11,169.7971657,976333.703,267.7873982,5750,228.8637973,976332.9592,288.3403364,4266
"KBUF20100725_114239",2654091.24,"2010","07","25",0.539190258,1251633.81,223.9897667,985554.9736,305.2857877,4400,296.4073488,985554.4348,319.16938,3325,1.500743621,1402457.43,197.3928829,1181199.011,278.8771501,5984,245.7757847,1181198.421,291.4540556,4806
"KBUF20100725_114824",3046602.57,"2010","07","25",0.534386827,1435292.91,258.0387807,1169689.793,326.6308394,4533,316.4743975,1169689.373,335.1962115,3696,1.499217667,1611309.66,218.6751994,1365407.945,274.397667,6244,256.510893,1365407.484,280.3873083,5323
"KBUF20100725_115408",3268444.22,"2010","07","25",0.53218196,1455129.12,273.0572586,1206913.083,333.1927604,4420,327.6093144,1206912.714,339.5971526,3684,1.499502024,1813315.1,248.7373744,1534709.6,282.5483962,6170,281.8566091,1534709.237,284.831166,5445
"KBUF20100725_115953",3439251.77,"2010","07","25",0.534216563,1504960.76,296.3655918,1280299.356,332.3371074,4320,341.2310959,1280299.072,334.4534529,3752,1.50081773,1934291.01,264.9097584,1627340.646,292.0840571,6143,294.4346548,1627340.337,293.4765668,5527
