"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KBOX20110725_090035",39.08,"2011","07","25",0.52734375,36.76,0.030424293,92.30730525,0.267594169,3034,0.936446581,90.83531835,1.185538559,97,1.452205492,2.32,0.001799876,5.464423179,0.02587532,3036,0.438592158,3.947329422,0.196798553,9
"KBOX20110725_090620",45.36,"2011","07","25",0.52734375,43.27,0.033184257,100.647852,0.229373475,3033,0.918350735,99.18187939,0.81902381,108,1.451171191,2.09,0.001562586,4.740887197,0.026326968,3034,0.537215376,3.223292253,0.274680025,6
"KBOX20110725_091206",40.93,"2011","07","25",0.52734375,37.39,0.03074205,93.27138088,0.395598437,3034,1.27481756,91.78686429,2.25336653,72,1.451761426,3.54,0.002559011,7.764037896,0.036950152,3034,0.568086263,6.248948889,0.247014858,11
"KBOX20110725_091751",12.19,"2011","07","25",0.52734375,11.06,0.007726084,23.43321332,0.076588287,3033,0.707375782,21.92864924,0.285977802,31,1.451733471,1.13,0.000840258,2.547661833,0.01353438,3032,0.514532258,1.029064515,0.164649937,2
"KBOX20110725_092434",425.83,"2011","07","25",0.531514788,423.32,0.241123276,731.3268975,1.292268266,3033,2.840216349,729.9356018,3.516964834,257,1.452644771,2.51,0.001797929,5.451320914,0.030645909,3032,0.655788057,3.934728345,0.234658332,6
"KBOX20110725_093018",2416.77,"2011","07","25",0.52734375,2414,1.364100731,4138.681618,6.654101993,3034,11.00358899,4137.349462,15.86713571,376,1.451568151,2.77,0.002091839,6.352915157,0.030920329,3037,0.48358214,4.835821401,0.253120679,10
"KBOX20110725_093603",3805.86,"2011","07","25",0.52734375,3803.14,2.110460379,6401.026328,6.679244402,3033,9.58060033,6399.84102,11.45091238,668,1.493814621,2.72,0.001953647,5.925411375,0.032298496,3033,0.441032237,4.410322368,0.369486623,10
"KBOX20110725_094542",4129.16,"2011","07","25",0.527615151,4127.51,2.39728819,7278.166944,6.868212363,3036,9.01740991,7277.049797,10.85636983,807,1.494055586,1.65,0.000947718,2.877271627,0.017647663,3036,0.67833478,1.35666956,0.164039517,2
"KBOX20110725_095521",3684.33,"2011","07","25",0.527575499,3681.99,2.240146113,6796.603307,6.404781706,3034,7.985322227,6795.509215,10.02223644,851,1.494010223,2.34,0.001429146,4.334600488,0.027053006,3033,0.704126089,2.816504358,0.283592896,4
"KBOX20110725_100459",2529.62,"2011","07","25",0.527539352,2525.76,1.574434498,4775.259831,4.584002,3033,6.24885162,4774.122637,7.365855009,764,1.493910535,3.86,0.002515189,7.626054071,0.045487215,3032,0.872851813,6.109962689,0.399318365,7
"KBOX20110725_101439",1708.21,"2011","07","25",0.527570142,1707.09,1.114174515,3379.291305,3.48179225,3033,5.118336345,3378.101988,5.937384627,660,1.494053719,1.12,0.000855559,2.59576622,0.015288531,3034,0.538083264,1.076166528,0.362385113,2
"KBOX20110725_102419",813.94,"2011","07","25",0.527778565,812.2,0.495400451,1502.054169,2.266011352,3032,3.019685431,1500.783659,4.872533392,497,1.494031921,1.74,0.001313791,3.983412811,0.02674858,3032,0.616454467,2.465817868,0.466564758,4
"KBOX20110725_103359",200.74,"2011","07","25",0.527742331,199.36,0.11382089,345.104939,0.664948389,3032,1.462566461,343.7031183,1.935682397,235,1.49385113,1.38,0.001002243,3.042810349,0.01980255,3036,0.761104141,1.522208283,0.184055365,2
"KBOX20110725_104339",74.8,"2011","07","25",0.527640776,72.45,0.041786606,126.7387772,0.265573206,3033,1.052758971,125.2783176,0.859896003,119,1.494194923,2.35,0.001352552,4.104994072,0.033998992,3035,1.292446596,2.584893192,0.413581943,2
"KBOX20110725_105319",82.08,"2011","07","25",0.52764239,81.32,0.047725698,144.8474919,0.372506563,3035,1.706767719,143.3684884,1.485742664,84,1.494309005,0.76,0.000501187,1.520602067,0,3034,NA,0,NA,0
"KBOX20110725_110300",243.64,"2011","07","25",0.527544719,239.86,0.134864397,409.1785797,0.858745268,3034,2.303653603,407.7466878,2.772164518,177,1.494750574,3.78,0.002256554,6.848640958,0.048649714,3035,0.888424138,5.330544827,0.701393457,6
"KBOX20110725_111241",455,"2011","07","25",0.527604553,454.24,0.2499684,758.154157,1.209717699,3033,2.44915509,756.788923,3.000595465,309,1.494423255,0.76,0.000501187,1.519599692,0,3032,NA,0,NA,0
"KBOX20110725_112222",1000.23,"2011","07","25",0.527553634,998.02,0.600387763,1822.777248,2.164106516,3036,3.724950357,1821.500725,4.179222925,489,1.494053719,2.21,0.001688067,5.121595794,0.021235837,3034,0.36060056,3.606005599,0.091483054,10
"KBOX20110725_113203",2405.87,"2011","07","25",0.5276261,2403.77,1.545478387,4690.526906,5.506784566,3035,6.485986391,4689.368161,9.764469841,723,1.494638522,2.1,0.001612749,4.893079182,0.02002683,3034,0.337748899,3.377488987,0.095943096,10
"KBOX20110725_114143",2570.21,"2011","07","25",0.527624475,2568.48,1.750365272,5308.85787,5.693910331,3033,5.990724403,5307.781821,9.254364435,886,1.493863522,1.73,0.001311558,3.977956366,0.017563111,3033,0.3516234,2.461363797,0.111238122,7
"KBOX20110725_115124",1908.88,"2011","07","25",0.527734955,1907.34,1.35525172,4110.478466,4.274612538,3033,4.756240036,4109.391391,6.928465111,864,1.494363247,1.54,0.001151451,3.494653316,0.01905269,3035,0.493888703,1.975554811,0.207296539,4
"KBOX20110726_090333",26.19,"2011","07","26",0.52734375,24.88,0.01366797,41.454953,0.116292638,3033,0.929218678,39.95640317,0.325222207,43,1.451870058,1.31,0.000909892,2.760611519,0.016529937,3034,0.620505913,1.241011827,0.245821884,2
"KBOX20110726_090918",35.92,"2011","07","26",0.52734375,35.16,0.021021494,63.80023389,0.14115426,3035,0.865489113,62.31521611,0.332686466,72,1.451563626,0.76,0.000501187,1.521103254,0,3035,NA,0,NA,0
"KBOX20110726_091504",61.71,"2011","07","26",0.52734375,58.75,0.039340267,119.3583694,0.293769795,3034,1.062102695,117.8933991,1.133096957,111,1.451722901,2.96,0.002655258,8.058708582,0.03967269,3035,0.594828944,6.543118388,0.300646375,11
"KBOX20110726_092049",136.21,"2011","07","26",0.52734375,125.26,0.104870508,318.3868624,0.563411664,3036,1.553762256,316.9675002,1.576153569,204,1.451532369,10.95,0.010395081,31.51788657,0.10849188,3032,0.789929789,30.01733199,0.576373649,38
"KBOX20110726_092635",641.32,"2011","07","26",0.52734375,593.4,0.53857743,1635.121077,5.843121969,3036,4.167846781,1633.795938,15.80673099,392,1.451675008,47.92,0.04650931,141.0627377,0.317000888,3033,1.292562639,139.596765,1.105664211,108
"KBOX20110726_093221",1249.66,"2011","07","26",0.52734375,1159.57,1.002462839,3041.472254,5.563888246,3034,5.067087273,3040.252364,11.66704701,600,1.452412138,90.09,0.087529585,265.4772319,1.12447833,3033,2.315914618,264.0142664,5.35931814,114
"KBOX20110726_093902",1445.25,"2011","07","26",0.531900867,1342,1.083212273,3286.466037,5.970184291,3034,4.305803199,3285.327841,11.31275082,763,1.452205669,103.25,0.098491161,298.7236902,1.659563236,3033,2.584880225,297.2612259,8.171205035,115
"KBOX20110726_094448",1094.58,"2011","07","26",0.52734375,1028.29,0.791430337,2399.616783,4.639981121,3032,3.843605647,2398.409924,9.643423858,624,1.451675496,66.29,0.062487332,189.461592,0.711525753,3032,1.938047499,187.9906074,3.508923912,97
"KBOX20110726_095033",646.92,"2011","07","26",0.52734375,582.33,0.442327403,1341.579013,2.744114539,3033,2.971806979,1340.284948,6.57297623,451,1.495987371,64.59,0.059968969,181.9458526,0.860682674,3034,2.541701898,180.4608348,5.069519948,71
"KBOX20110726_095619",832.13,"2011","07","26",0.52734375,787.28,0.652392015,1980.009766,8.035533098,3035,5.362259081,1978.673601,22.51728387,369,1.45233647,44.85,0.039354362,119.4404872,0.351054566,3035,1.340494186,117.9634884,1.591928115,88
"KBOX20110726_100204",819.98,"2011","07","26",0.52734375,684.09,0.603557778,1829.987183,5.248718958,3032,6.035047667,1828.619443,15.60797358,303,1.451687685,135.89,0.113725213,344.9285709,1.875669621,3033,3.400585049,343.4590899,9.766398745,101
"KBOX20110726_100750",1653.9,"2011","07","26",0.52734375,1262.38,1.048426243,3178.828368,11.04314892,3032,8.900525748,3177.487692,31.11619015,357,1.452005848,391.52,0.349714139,1061.032699,4.887698482,3034,7.358224079,1059.584267,21.3252444,144
"KBOX20110726_101336",1339.9,"2011","07","26",0.52734375,1019.74,0.892777152,2709.578655,12.92391101,3035,9.535915103,2708.199889,41.32758242,284,1.451550039,320.16,0.272565975,826.6926018,2.548748552,3033,4.941653887,825.2561992,9.769460164,167
"KBOX20110726_101921",1922.51,"2011","07","26",0.483219195,978.76,0.817954583,2481.674204,5.268989543,3034,6.232042901,2480.353075,13.35196247,398,1.451357293,943.75,0.797455684,2420.278001,9.121684142,3035,10.65581792,2418.870667,31.80411264,227
"KBOX20110726_102507",5157.93,"2011","07","26",0.482657929,2123.84,1.751727246,5314.740464,16.90989267,3034,13.41772306,5313.418332,45.15193974,396,1.452178502,3034.09,2.446439441,7420.050826,31.48457119,3033,28.97913683,7418.659029,104.9504447,256
"KBOX20110726_103052",7618.72,"2011","07","26",0.52734375,5081.31,4.081887595,12380.36507,43.12328058,3033,26.67904639,12379.07752,107.5812317,464,1.451325459,2537.41,2.054890381,6232.482525,18.91340066,3033,17.80325097,6231.13784,53.16540838,350
"KBOX20110726_103638",12869.33,"2011","07","26",0.52734375,6477.19,5.398088825,16361.60723,42.52544933,3031,30.75254654,16360.35476,97.66282724,532,1.451940328,6392.14,5.867979506,17733.03407,59.77247286,3022,46.17633316,17731.71193,162.2181822,384
"KBOX20110726_104224",16904.68,"2011","07","26",0.52734375,8467.25,7.572840419,22703.37558,64.01572775,2998,37.96349954,22702.17273,139.3441282,598,1.45292912,8437.43,7.624282886,22949.09149,65.15218502,3010,60.07270776,22947.77437,174.2555242,382
"KBOX20110726_104810",21823.28,"2011","07","26",0.52734375,13672.51,12.34735875,37177.89718,84.97367457,3011,63.33335997,37176.6823,183.9939251,587,1.451617715,8150.77,6.88232881,20784.63301,51.16547849,3020,52.35092794,20783.31839,132.5591107,397
"KBOX20110726_105356",23049.02,"2011","07","26",0.52734375,13889.88,10.86604986,32706.81009,68.0821363,3010,59.03534147,32705.57917,149.5735786,554,1.451309894,9159.14,7.027575279,21300.58067,52.39732248,3031,50.8335837,21299.27157,132.9259941,419
