"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KTYX20110804_100416",424.99,"2011","08","04",0.504578627,423.58,0.152676568,131.7598781,0.886622368,863,4.378079637,131.3423891,2.057002572,30,1.453106816,1.41,0.000501187,0.434028144,0,866,NA,0,NA,0
"KTYX20110804_100935",906.4,"2011","08","04",0.483958575,898.57,0.322584006,278.3899969,1.64504059,863,5.91448996,277.9810281,4.11359522,47,1.452745257,7.83,0.002804607,2.428789272,0.067784742,866,1.995262315,1.995262315,NA,1
"KTYX20110804_101454",963.17,"2011","08","04",0.496651887,961.76,0.34166589,295.5409951,2.083115255,865,6.863465563,295.1290192,6.591089169,43,1.483465111,1.41,0.000501187,0.434028144,0,866,NA,0,NA,0
"KTYX20110804_102014",77.93,"2011","08","04",0.492466921,76.52,0.027957468,24.18321005,0.320501841,865,3.393313058,23.7531914,1.212792013,7,1.454272419,1.41,0.000501187,0.434529332,0,867,NA,0,NA,0
"KTYX20110804_102533",35.48,"2011","08","04",0.507857005,29.32,0.010323776,8.91974266,0.173731816,864,2.829406817,8.488220452,1.030278666,3,1.460475104,6.16,0.002337099,2.016916588,0.053933331,863,1.584893192,1.584893192,NA,1
"KTYX20110804_103052",27.55,"2011","08","04",0.484435964,15.39,0.005826402,5.028184549,0.113356715,863,2.298331171,4.596662341,0.735464253,2,1.478924878,12.16,0.004638937,4.01268009,0.086566183,865,1.790077754,3.580155507,0.290174789,2
"KTYX20110804_103611",32.1,"2011","08","04",0.493830994,30.69,0.011818016,10.19894776,0.196635692,863,3.255975579,9.767926736,0.907173487,3,1.448515611,1.41,0.000501187,0.433526957,0,865,NA,0,NA,0
"KTYX20110804_104131",9.66,"2011","08","04",0.490207804,8.25,0.003085737,2.672248096,0.07605781,866,2.238721139,2.238721139,NA,1,1.455041476,1.41,0.000501187,0.434028144,0,866,NA,0,NA,0
"KTYX20110804_104650",44.86,"2011","08","04",0.52734375,43.45,0.014160035,12.26259,0.266136449,866,3.943355138,11.83006541,2.719376759,3,1.459619423,1.41,0.000501187,0.433526957,0,865,NA,0,NA,0
"KTYX20110804_105211",18.95,"2011","08","04",0.49656933,17.54,0.00566458,4.899861691,0.151859937,865,4.466835922,4.466835922,NA,1,1.478440869,1.41,0.000501187,0.432524583,0,863,NA,0,NA,0
"KTYX20110804_105731",2.82,"2011","08","04",0.484553721,1.41,0.000501187,0.432524583,0,863,NA,0,NA,0,1.481202443,1.41,0.000501187,0.43302577,0,864,NA,0,NA,0
"KTYX20110804_110250",2.82,"2011","08","04",0.488729477,1.41,0.000501187,0.43302577,0,864,NA,0,NA,0,1.475729645,1.41,0.000501187,0.434028144,0,866,NA,0,NA,0
"KTYX20110804_110810",2.82,"2011","08","04",0.527381809,1.41,0.000501187,0.434028144,0,866,NA,0,NA,0,1.457141057,1.41,0.000501187,0.434028144,0,866,NA,0,NA,0
"KTYX20110804_111328",25.77,"2011","08","04",0.483671193,24.36,0.008885703,7.695018584,0.142491701,866,2.420831334,7.262494002,0.157712055,3,1.449854775,1.41,0.000501187,0.432524583,0,863,NA,0,NA,0
"KTYX20110804_111847",28.23,"2011","08","04",0.489516114,26.82,0.00962083,8.293155411,0.20604984,862,3.931067195,7.86213439,2.393338746,2,1.47870458,1.41,0.000501187,0.434028144,0,866,NA,0,NA,0
