"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KGRB20110804_100129",6973.32,"2011","08","04",0.538757696,6825.82,3.139997581,30373.1966,16.27961923,9673,3.926596677,30372.2253,18.12037651,7735,1.54678586,147.5,0.100136129,968.8170457,0.572288795,9675,0.470959,964.9949919,1.17154444,2049
"KGRB20110804_101114",9969.8,"2011","08","04",0.534686334,9883.42,4.433926259,42880.50085,22.41652898,9671,6.148429761,42879.14915,26.19760757,6974,1.547854969,86.38,0.06089189,589.1290387,0.311978504,9675,0.445497419,584.938111,0.739179444,1313
"KGRB20110804_102058",14486.79,"2011","08","04",0.539033121,14267.28,6.349436128,61418.09567,20.26438607,9673,9.063849429,61416.64373,23.69878886,6776,1.54636344,219.51,0.121027519,1170.94125,0.685252386,9675,0.961038472,1166.700705,1.713892116,1214
"KGRB20110804_103042",17906.99,"2011","08","04",0.538359037,16615.35,7.478406028,72346.09992,21.95243265,9674,9.407686029,72345.10556,24.25088372,7690,1.54605023,1291.64,0.654365024,6329.018511,2.612188955,9672,3.066022771,6325.204977,4.96049542,2063
"KGRB20110804_104026",24324.07,"2011","08","04",0.53861456,22752.23,10.82982436,104767.7208,33.33509349,9674,12.44560363,104767.0913,35.45330811,8418,1.546753586,1571.84,0.773469795,7481.773331,2.208891717,9673,1.808268437,7478.998257,3.088948805,4136
"KGRB20110804_105009",22675.28,"2011","08","04",0.538666197,21676.89,11.04335007,106844.4119,29.13552835,9675,12.63974914,106843.7995,30.84527934,8453,1.547772942,998.39,0.525493487,5083.098504,1.662223095,9673,1.262178335,5080.267798,2.389845914,4025
"KGRB20110804_105954",15134.76,"2011","08","04",0.540814067,14743.79,7.611043208,73636.84304,17.72740203,9675,9.075186183,73636.06068,19.01153758,8114,1.545959435,390.97,0.240189708,2323.595231,0.831554922,9674,0.760496843,2320.275868,1.34069474,3051
"KGRB20110804_110938",8640.22,"2011","08","04",0.539043837,8462.39,4.373379005,42308.0685,10.10281498,9674,5.525278517,42307.0576,11.07212379,7657,1.545664164,177.83,0.117295329,1134.715018,0.4878882,9674,0.536745389,1130.922534,0.93181321,2107
"KGRB20110804_111922",5285.84,"2011","08","04",0.540324082,5168.73,2.696710807,26090.67706,6.928756439,9675,3.644282173,26089.41607,7.837658278,7159,1.547481945,117.11,0.075685494,732.257155,0.361955085,9675,0.446763867,728.2251037,0.782512854,1630
"KGRB20110804_112906",4470.92,"2011","08","04",0.538708897,4375.33,2.270208039,21957.45216,6.475407005,9672,3.202923459,21956.04031,7.495141517,6855,1.547137677,95.59,0.060522431,585.4939976,0.393300388,9674,0.408831365,581.3582005,0.954276966,1422
"KGRB20110804_113851",6333.95,"2011","08","04",0.539540687,6259.83,2.699084808,26110.94643,14.69057838,9674,4.040442064,26109.33662,17.82363184,6462,1.548209168,74.12,0.051078386,494.1323024,0.251356614,9674,0.388513731,489.9158142,0.594978932,1261
"KGRB20110804_114835",4533.02,"2011","08","04",0.538473768,4470.51,1.863643441,18025.15936,11.63963603,9672,3.024043449,18023.29896,14.7093974,5960,1.546289055,62.51,0.042578884,411.8655452,0.310352224,9673,0.386665856,407.5458124,0.867007996,1054
"KGRB20110804_115819",1758.81,"2011","08","04",0.537887127,1706.82,0.900825611,8713.686134,2.740191979,9673,1.589995283,8711.584155,3.487363508,5479,1.546479865,51.99,0.033718206,326.1562086,0.269916929,9673,0.355537899,321.7617989,0.815537503,905
"KGRB20110804_120802",1135.99,"2011","08","04",0.538395946,1105.04,0.66388941,6422.466151,2.775032399,9674,1.353857928,6419.994295,3.844200875,4742,1.5451738,30.95,0.020602757,199.3522788,0.111322289,9676,0.281168996,194.8501139,0.316268998,693
"KGRB20110804_121746",810.37,"2011","08","04",0.538469764,778.66,0.485926008,4700.848205,1.895719384,9674,1.051530668,4698.239024,2.68093968,4468,1.547764694,31.71,0.020434339,197.7022305,0.104291627,9675,0.271743443,193.2095881,0.28273274,711
