"fname","sum_birds","year","month","day","LO_elevation","LO_birds","LO_MeanZ","LO_SumZ","LO_SDZ","LO_Volumes","LO_MeanZ_m33","LO_SumZ_m33","LO_SDZ_m33","LO_Volumes_m33","HI_elevation","HI_birds","HI_MeanZ","HI_SumZ","HI_SDZ","HI_Volumes","HI_MeanZ_m33","HI_SumZ_m33","HI_SDZ_m33","HI_Volumes_m33"
"KMPX20110811_100102",4000.41,"2011","08","11",0.509941287,3982,1.241516926,5955.556694,2.337342218,4797,2.363801107,5954.414989,2.784290717,2519,1.512967946,18.41,0.007745697,37.13287236,0.079625146,4794,0.579337533,"34.760252",0.422601253,60
"KMPX20110811_101040",3126.13,"2011","08","11",0.528666921,3081.72,0.974347669,4671.997075,1.86949128,4795,1.930085436,4670.806756,2.254214874,2420,1.50828243,44.41,0.018948039,90.8747937,0.131001202,4796,0.69712402,"88.53475051",0.420596051,127
"KMPX20110811_102019",2636.55,"2011","08","11",0.528190174,2614.78,0.823819804,3951.039781,1.462573821,4796,1.755450559,3949.763759,1.710275492,2250,1.518177372,21.77,0.009514086,45.60101287,0.080713555,4793,0.584269058,"43.23591031",0.295852576,74
"KMPX20110811_102957",2029.12,"2011","08","11",0.528430008,2012.16,0.642825539,3081.705634,1.631565128,4794,1.75209558,3080.184029,2.30601529,1758,1.509601464,16.96,0.007380813,35.38361802,0.076193238,4794,0.687603821,"33.00498341",0.338675224,48
"KMPX20110811_104031",1274.4,"2011","08","11",0.529069813,1267.68,0.399830739,1917.588225,1.244148927,4796,1.570324574,1915.79598,2.061503119,1220,1.512145742,6.72,0.002751393,13.19568141,0.032074295,4796,0.432180685,"10.80451711",0.111525497,25
"KMPX20110811_105009",998.13,"2011","08","11",0.512399045,993.06,0.300410703,1440.769731,2.350308507,4796,1.83281461,1438.759469,5.565379371,785,1.510457408,5.07,0.001892152,9.070974369,0.029297223,4794,0.445053372,"6.675800579",0.287705006,15
"KMPX20110811_105947",2680.61,"2011","08","11",0.528587874,2670.55,0.720302902,3453.852414,2.913726591,4795,3.826941565,3451.901292,5.768153634,902,1.508497056,10.06,0.003304904,15.85362342,0.063318764,4797,0.841090453,"13.45744725",0.728500866,16
"KMPX20110811_110925",3012.35,"2011","08","11",0.52857158,3003.91,0.807549849,3873.009075,2.967319131,4796,3.32290924,3871.189264,5.282722362,1165,1.506381388,8.44,0.003196147,15.32552508,0.045716253,4795,0.517394479,"12.93486198",0.374983463,25
"KMPX20110811_111904",3605.6,"2011","08","11",0.528652574,3569.58,0.961112842,4606.613854,3.853892631,4793,3.247476972,4604.922347,6.542096466,1418,1.507980054,36.02,0.013340881,63.98286739,0.112142841,4796,0.64195091,"61.6272874",0.476751221,96
"KMPX20110811_112842",5522.86,"2011","08","11",0.528379309,5497.84,1.757989921,8420.771722,18.81044304,4790,5.782349425,8419.100764,33.78348863,1456,1.51263065,25.02,0.010333904,49.55106739,0.096198496,4795,0.518609699,"47.19348264",0.476098435,91
"KMPX20110811_113820",2589.4,"2011","08","11",0.513006282,2566.98,0.821155941,3935.800423,10.2839862,4793,4.966913098,3933.795173,24.90174852,792,1.516437487,22.42,0.009419048,45.16433709,0.070895674,4795,0.480963483,"42.80574997",0.211375545,89
"KMPX20110811_114759",2013.56,"2011","08","11",0.528490498,1979.26,0.6778524,3250.30226,15.83838897,4795,9.072844951,3248.078493,57.37806939,358,1.505837079,34.3,0.014381853,68.97536593,0.092792223,4796,0.520592374,"66.63582392",0.244427203,128
"KMPX20110811_115737",1881.61,"2011","08","11",0.528301074,1849.57,0.628990534,3017.267592,7.698716784,4797,12.10838632,3014.988193,31.7278791,249,1.504089037,32.04,0.013781066,66.08021186,0.090203884,4795,0.522443967,"63.73816392",0.233857298,122
"KMPX20110811_120715",2704.53,"2011","08","11",0.511939979,2669.54,0.934060212,4478.818718,12.32577526,4795,13.6481095,4476.579915,45.31283768,328,1.502370633,34.99,0.01453406,69.69081995,0.096722093,4795,0.514147196,"67.3532827",0.293923981,131
"KMPX20110811_121653",994.3,"2011","08","11",0.528629725,961.08,0.311427231,1493.916427,2.171177387,4797,6.189348622,1491.633018,7.594242962,241,1.504972265,33.22,0.013606809,65.2310404,0.091396808,4794,0.487542651,"62.89300196",0.283134346,129
"KMPX20110811_122631",2529.25,"2011","08","11",0.528725635,2491.88,0.838385206,4019.21868,13.17157133,4794,14.19419726,4016.957824,52.52122593,283,1.502870791,37.37,0.014556283,69.78281974,0.113147981,4794,0.548307107,"67.44177417",0.456267994,123
"KMPX20110811_123608",4441.68,"2011","08","11",0.528740239,4393.43,1.494871084,7167.90685,10.34112174,4795,13.05242042,7165.778809,28.00706831,549,1.503333314,48.25,0.018034949,86.49561681,0.138460918,4796,0.62805285,"84.15908193",0.552706315,134
"KMPX20110811_124546",3671.99,"2011","08","11",0.528755132,3614.91,1.201005929,5758.823427,8.510496769,4795,6.780737035,5756.845743,19.27651374,849,1.50383815,57.08,0.021918217,105.0978512,0.151231964,4795,0.622893056,"102.7773543",0.540591254,165
"KMPX20110811_125524",4158.74,"2011","08","11",0.528447656,4086.43,1.331727906,6381.640125,5.699327203,4792,5.485658914,6379.821317,10.54144878,1163,1.505168195,72.31,0.02672746,128.1581683,0.16652505,4795,0.687686846,"125.8466928",0.52320613,183
"KMPX20110812_100327",13423.66,"2011","08","12",0.52742967,11105.46,2.078850335,9968.087355,24.32045356,4795,31.14326419,9965.844542,89.33628023,320,1.451673977,2318.2,0.486685421,2334.143277,3.247733469,4796,7.087855543,"2331.904474",10.35709377,329
"KMPX20110812_100911",9480.55,"2011","08","12",0.527351771,7566.24,1.414343624,6780.363334,16.79502494,4794,23.78281923,6778.103481,65.01252813,285,1.451592636,1914.31,0.377357454,1811.31578,2.91263644,4800,7.665374413,"1809.028361",10.82328344,236
"KMPX20110812_101455",7015.61,"2011","08","12",0.527393011,5378.41,1.013912133,4861.708679,8.96425775,4795,18.90830463,4859.434291,34.13447296,257,1.451999636,1637.2,0.325042442,1558.578512,3.043351396,4795,8.944037503,"1556.262526",13.38390495,174
"KMPX20110812_102039",7974.73,"2011","08","12",0.527367803,6005.75,1.125421571,5397.521855,13.90114262,4796,29.32179554,5395.210379,65.05447484,184,1.451757914,1968.98,0.379024564,1817.422783,6.298647289,4795,17.12332751,"1815.072716",39.01171023,106
"KMPX20110812_102622",6598.57,"2011","08","12",0.52734375,6148.49,1.154994986,5542.820938,21.3931532,4799,28.12443896,5540.514475,102.1819194,197,1.451555437,450.08,0.098283439,471.5639411,1.338935893,4798,6.093478392,"469.1978362",8.726183665,77
"KMPX20110812_103206",1943.46,"2011","08","12",0.527462769,1849.65,0.407877635,1957.81265,4.801552787,4800,5.539897648,1955.58387,16.90593305,353,1.451212608,93.81,0.025131419,120.5051557,0.374749356,4795,2.624989251,"118.1245163",2.884941504,45
"KMPX20110812_103750",719.38,"2011","08","12",0.527673615,701.33,0.235191827,1127.98,1.002007541,4796,2.588032925,1125.794322,2.23399038,435,1.451309984,18.05,0.006196536,29.71239044,0.097534199,4795,1.300939171,"27.31972258",0.715770775,21
"KMPX20110812_104333",629.97,"2011","08","12",0.527496052,615.29,0.227231349,1090.028779,1.054583665,4797,2.349582362,1087.856633,2.559057621,463,1.451667023,14.68,0.004954142,23.77987984,0.105885865,4800,1.781682947,"21.38019537",1.199597798,12
"KMPX20110812_105014",574.75,"2011","08","12",0.532359198,569.83,0.203541893,975.983375,0.747971817,4795,1.767434367,973.8563364,1.451948744,551,1.451531395,4.92,0.001622779,7.786094342,0.03297405,4798,0.897400853,"5.384405119",0.28113416,6
"KMPX20110812_105558",539.5,"2011","08","12",0.527364375,534.81,0.180497819,865.306542,0.847177776,4794,2.105144725,863.1093372,2.085694485,410,1.450968756,4.69,0.001375829,6.59572627,0.030898795,4794,1.048759855,"4.195039421",0.247877556,4
"KMPX20110812_110142",948.13,"2011","08","12",0.527447913,943.7,0.280514008,1346.186724,1.537625109,4799,3.00672384,1344.005557,4.149784612,447,1.451872028,4.43,0.001335826,6.402612777,0.031136004,4793,1.000606779,"4.002427115",0.464794624,4
"KMPX20110812_110726",1087.88,"2011","08","12",0.527399849,1085.01,0.305760129,1467.0371,1.366220569,4798,3.007959922,1464.876482,3.206267152,487,1.45189345,2.87,0.000834561,4.000885946,0.016427043,4794,0.799598361,"1.599196723",0.129616317,2
"KMPX20110812_111310",973.45,"2011","08","12",0.527398785,954.2,0.258672774,1239.301262,1.066604519,4791,2.632203471,1237.135632,2.31501091,470,1.451562016,19.25,0.006301842,30.21733301,0.099367044,4795,1.209811632,"27.82566753",0.793738337,23
"KMPX20110812_111854",626.44,"2011","08","12",0.527375827,519.55,0.139936999,670.9979085,0.678089128,4795,2.129783721,668.7520885,1.670935074,314,1.451927525,106.89,0.033857703,162.449258,0.267385022,4798,1.468799918,"160.099191",1.02426856,109
"KMPX20110812_112437",523.18,"2011","08","12",0.52734375,341.88,0.092719922,444.4993057,0.673204353,4794,2.105723159,442.2018634,2.476941837,210,1.451910207,181.3,0.058814876,281.8408862,0.342871034,4792,1.479015457,"279.5339213",0.94072422,189
"KMPX20110812_113021",462.96,"2011","08","12",0.527458334,161.17,0.043473997,208.4143399,0.31912974,4794,1.823613119,206.0682824,1.04115276,113,1.451741231,301.79,0.098886669,474.359352,0.507817073,4797,1.66231512,"472.0974941",1.327762314,284
"KMPX20110812_113605",417.99,"2011","08","12",0.527415893,114.22,0.030873984,148.1024989,0.32990318,4797,1.844783514,145.7378976,1.817628893,79,1.45165481,303.77,0.104642604,501.7612876,0.464635297,4795,1.464894427,"499.5289996",1.022834198,341
"KMPX20110812_114149",320.15,"2011","08","12",0.527364371,82.31,0.020703587,99.27369904,0.202228723,4795,1.699983753,96.89907393,0.772113188,57,1.451780496,237.84,0.082592846,396.1152899,0.455561068,4796,1.600954829,"393.834888",1.273494081,246
"KMPX20110812_114733",256.63,"2011","08","12",0.527371244,74.53,0.018522724,88.81646178,0.188371378,4795,1.543595276,86.44133548,0.834731512,56,1.451951061,182.1,0.064701321,309.9193272,0.384021094,4790,1.530444671,"307.619379",1.130267591,201
"KMPX20110812_115317",184.32,"2011","08","12",0.527653127,31.48,0.008696036,41.68879532,0.145331205,4794,1.571945336,39.2986334,1.28808225,25,1.451906054,152.84,0.053486584,256.4146859,0.357847318,4794,1.628783202,"254.0901795",1.173970256,156
"KMPX20110812_115900",132.29,"2011","08","12",0.52756366,33.63,0.008438484,40.47097112,0.115738646,4796,1.586637735,38.07930564,0.424947982,24,1.451818501,98.66,0.0345279,165.4576984,0.295541211,4792,1.51027905,"163.1101374",1.289200003,108
