ou_id,City,Radar,year,longitude,latitude,start_date,start_mo,start_day,end_date,end_mo,end_day,radius (m),good date,,Done,Comments
1,Davie Road/Nova Drive Fl,KAMX,2010,-80.358,25.975,6/27/2010,6,27,7/21/2010,7,21,34809,avg,,x,
1,Davie Road/Nova Drive Fl,KAMX,2011,-80.328,25.902,6/8/2011,6,8,7/30/2011,7,30,34809,avg,,x,
1,Davie Road/Nova Drive Fl,KAMX,2012,-80.317,25.915,6/8/2012,6,8,7/30/2012,7,30,34809,avg,,x,
1,Davie Road/Nova Drive Fl,KAMX,2013,-80.317,25.925,6/11/2013,6,11,8/16/2013,8,16,34809,avg,,x,
1,Davie Road/Nova Drive Fl,KAMX,2014,-80.333,25.947,6/6/2014,6,6,8/15/2014,8,15,23576,8/1/2014,12793,x,
1,Davie Road/Nova Drive Fl,KAMX,2015,-80.337,25.947,6/1/2015,6,1,7/31/2015,7,31,46043,6/23/2015,39306.83,x,
2,"Harlington, TX",KBRO,2010,-97.668,26.177,7/21/2010,7,21,9/24/2010,9,24,34866,avg,,x,
2,"Harlington, TX",KBRO,2011,-97.685,26.158,8/16/2011,8,16,9/1/2011,9,1,34866,avg,,x,
2,"Harlington, TX",KBRO,2012,-97.688,26.162,8/11/2012,8,11,9/16/2012,9,16,34866,avg,,x,
2,"Harlington, TX",KBRO,2013,-97.6917,26.1483,8/11/2013,8,11,9/29/2013,9,29,34600,9/2/2013,22732.61,x,
2,"Harlington, TX",KBRO,2014,-97.68,26.17,7/14/2014,7,14,9/27/2014,9,28,35400,8/16/2014,14679.89,x,
2,"Harlington, TX",KBRO,2015,-97.66,26.15,8/1/2015,8,1,9/19/2015,9,19,34600,9/9/2015,38674.87,x,
3,"McAllan-Pharr, TX",KBRO,2010,-98.176,26.18,7/18/2010,7,18,9/24/2010,9,24,30416,avg,,-,
3,"McAllan-Pharr, TX",KBRO,2011,-98.172,26.18,7/3/2011,7,3,8/31/2011,8,31,30416,avg,,x,
3,"McAllan-Pharr, TX",KBRO,2012,-98.193,26.197,7/1/2012,7,1,9/7/2012,9,7,30416,avg,,x,
3,"McAllan-Pharr, TX",KBRO,2013,-98.15,26.19,7/11/2013,7,11,9/9/2013,9,9,25500,8/24/2013,56222.87,x,
3,"McAllan-Pharr, TX",KBRO,2014,-98.215,26.19,7/24/2014,7,24,8/27/2014,8,27,33750,8/22/2014,11919.06,x,
3,"McAllan-Pharr, TX",KBRO,2015,-98.233,26.177,8/9/2015,8,9,9/15/2015,9,15,32000,9/5/2015,51144.42,x,
5,"Citrus, FL",KTBW,2010,-82.723,28.812,6/6/2010,6,6,7/24/2010,7,24,35496,avg,,x,
5,"Citrus, FL",KTBW,2011,-82.695,28.792,6/5/2011,6,5,7/29/2011,7,29,35496,avg,,x,
5,"Citrus, FL",KTBW,2012,-82.712,28.742,6/2/2012,6,2,7/22/2012,7,22,35496,avg,,x,
5,"Citrus, FL",KTBW,2013,-82.746,28.785,6/11/2013,6,11,8/21/2013,8,21,35496,avg,,x,
5,"Citrus, FL",KTBW,2014,-82.711,28.781,6/13/2014,6,13,8/26/2014,8,26,38355,7/4/2014,313273,x,
5,"Citrus, FL",KTBW,2015,-82.697,28.704,6/16/2015,6,16,9/28/2015,9,28,32637,7/3/2015,,x,
8,"Gulf Roost, LA",KLIX,2010,-89.235,29.333,6/23/2010,6,23,7/23/2010,7,23,21320,,,-,
8,"Gulf Roost, LA",KLIX,2011,-89.18,29.335,6/21/2011,6,21,7/26/2011,7,26,21320,,,x,
8,"Gulf Roost, LA",KLIX,2012,-89.192,29.297,6/16/2012,6,16,7/28/2012,7,28,21320,,,x,
8,"Gulf Roost, LA",KLIX,2013,-89.183,29.258,7/10/2013,7,10,8/5/2013,8,5,21320,,,x,
8,"Gulf Roost, LA",KLIX,2014,-89.159,29.317,6/29/2014,6,29,8/3/2014,8,3,21320,,,x,
